,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
2010-11-01,3982,63,41,6240,11428,66,476,3938,3478,648,426,8117,6865,151,2758,5194,6478,1403
2010-11-02,4380,76,50,6450,11915,96,450,4241,3680,683,408,8147,6692,178,2947,5799,6297,1321
2010-11-03,3747,35,54,5879,11066,87,507,3910,3423,666,1053,7964,6472,160,2933,5439,6176,1330
2010-11-04,3761,35,38,5684,11401,99,509,4056,3988,639,1439,8409,6834,133,3297,5845,7172,1172
2010-11-05,3290,32,42,5182,10560,55,332,3211,3514,567,513,6890,6002,142,2800,5048,6226,1050
2010-11-06,2486,39,32,4326,8208,50,266,2763,2330,446,294,5108,4248,78,1946,3581,4269,686
2010-11-07,2901,37,43,4893,8889,67,320,3284,2362,466,352,5881,4667,95,1822,3661,4259,767
2010-11-08,4350,59,53,6579,12321,61,462,4206,3590,628,445,8159,6353,140,3125,5731,6891,1307
2010-11-09,5643,64,59,6352,12054,91,507,4342,3468,624,394,17703,6221,159,4287,6391,10790,1295
2010-11-10,5277,49,40,6230,12162,75,462,4115,3437,649,427,14057,6323,210,3569,5927,8361,1232
2010-11-11,3991,42,48,5988,11951,89,402,4064,3322,621,326,9052,5861,151,3248,5717,7251,1285
2010-11-12,3474,28,33,5455,10826,51,378,3482,3195,522,332,7140,7460,115,2860,5238,6113,1060
2010-11-13,2668,41,40,4387,8342,53,251,2783,2538,412,262,5052,4479,106,2049,3700,5150,669
2010-11-14,2843,33,27,4306,8217,49,290,2716,2223,438,280,5585,4767,76,2011,3537,4873,778
2010-11-15,3762,38,54,5975,11062,71,434,3811,3320,554,706,7229,6267,144,2694,4970,6212,1234
2010-11-16,4182,35,54,5664,11267,89,392,3760,3504,846,599,7871,6231,122,3061,5348,6778,1166
2010-11-17,4064,38,40,5687,11276,96,542,4219,3434,816,435,7808,6107,124,3234,5506,7383,1233
2010-11-18,4103,57,42,5919,11847,76,461,4057,3643,699,422,8355,6187,115,3198,5802,7338,1276
2010-11-19,3416,37,43,5242,10376,77,393,3470,3679,568,356,6700,5514,152,2754,5117,6402,1141
2010-11-20,2843,37,36,4488,8670,43,351,2998,2681,607,332,5261,4422,94,2191,3825,5535,694
2010-11-21,3265,37,48,4890,8833,81,367,3186,2269,538,302,6086,4455,93,1929,3552,5005,764
2010-11-22,4446,37,55,6512,12221,88,555,4276,3540,648,420,8834,6116,138,3142,5552,7677,1176
2010-11-23,4141,32,60,6250,11973,74,505,4012,3844,661,415,8292,5943,149,3324,5637,7035,1146
2010-11-24,3886,40,53,5944,11460,182,435,3845,3228,690,402,7765,5231,124,2996,5225,6419,1082
2010-11-25,3487,35,40,5499,10236,121,392,3216,2393,506,346,7551,4326,103,2529,4743,5316,806
2010-11-26,2975,18,31,4888,9622,61,528,3189,2123,793,279,6150,4478,81,2400,4036,5521,800
2010-11-27,2778,41,42,4685,8799,47,453,2793,1984,562,289,5082,5101,91,2031,3617,4694,671
2010-11-28,3387,45,41,5059,10119,61,410,3067,2257,561,367,6519,4624,104,2079,3781,4757,788
2010-11-29,4125,54,46,6443,34864,78,901,4177,3316,707,468,8774,6021,125,3093,5631,6557,1241
2010-11-30,4055,51,67,6392,22094,75,503,3885,3631,764,475,8450,6150,131,3168,5950,6999,1342
2010-12-01,4103,55,54,6191,18214,63,525,4020,3315,594,397,8308,5672,115,3262,5802,6799,1318
2010-12-02,3697,51,42,5941,14811,81,428,3540,3072,533,377,8208,5485,122,4334,5760,6696,1276
2010-12-03,3023,50,49,5585,13378,67,369,3402,3049,529,430,6776,5035,105,4000,5100,6356,1086
2010-12-04,2851,41,39,4905,10968,51,286,2562,2314,435,294,5524,4060,97,2411,3786,4539,926
2010-12-05,3240,38,42,4762,11393,56,317,3037,2119,610,350,6620,5004,87,2073,4116,4879,975
2010-12-06,4073,32,54,6479,14096,55,433,3884,2992,681,450,8335,5666,132,3071,5602,6354,1371
2010-12-07,3947,37,40,6192,14481,96,468,3810,3256,653,439,8170,5490,131,3080,5908,6607,1427
2010-12-08,4293,46,54,6412,15425,64,417,4084,3183,711,473,8732,5811,148,3331,6160,7706,1428
2010-12-09,3836,32,46,5893,14027,73,463,4590,3162,809,414,8186,5468,147,3433,5813,6863,1358
2010-12-10,3378,44,34,5602,13158,57,452,3865,3107,1190,597,7519,5523,146,2738,5394,6357,1665
2010-12-11,2857,24,43,4852,10903,43,287,2936,2102,553,326,5871,3994,101,1952,3922,4773,944
2010-12-12,3539,35,27,5060,11453,59,341,2916,2151,481,326,6660,4139,108,2148,4064,4856,994
2010-12-13,3908,48,49,6407,14219,68,431,3734,2736,561,428,7971,5316,174,2927,5435,6258,1337
2010-12-14,3718,56,44,6434,14418,60,481,3712,3076,856,432,8060,5284,155,3066,5682,6766,1325
2010-12-15,3516,30,51,5955,13821,61,385,3777,3018,677,438,7758,5174,131,3017,5876,7062,1310
2010-12-16,3668,39,50,5760,14662,55,400,4087,2833,563,409,7232,4973,132,2747,5517,6293,1281
2010-12-17,2827,25,33,5079,12014,31,348,2895,2391,439,256,5851,3979,120,2546,4565,5369,919
2010-12-18,2476,28,19,4392,11014,17,234,2112,1878,336,210,4438,3305,70,1788,3294,4612,635
2010-12-19,2739,29,28,4760,11409,43,242,2354,1706,360,172,4783,3432,66,1660,3209,4152,687
2010-12-20,3701,39,35,6359,14396,60,334,3089,2520,561,280,6415,4706,127,2453,4742,5660,942
2010-12-21,3135,29,36,5980,14363,44,369,3165,2668,499,289,5946,4610,108,2576,4719,5979,951
2010-12-22,2766,26,28,5738,13683,54,302,2977,2613,419,315,5598,4413,84,2416,4682,6007,766
2010-12-23,2572,28,21,4977,12472,31,318,2564,2348,412,247,5197,3763,77,2137,4254,5439,859
2010-12-24,2318,22,24,3804,9403,29,216,2097,1726,326,169,4419,2848,43,1518,3051,3781,540
2010-12-25,1906,11,9,2975,7554,24,187,1830,1136,206,131,3478,2384,50,1152,2290,3194,405
2010-12-26,2392,23,25,3771,9784,13,247,2267,1497,257,256,4254,3024,97,1498,2721,3777,508
2010-12-27,2552,23,15,4550,12317,31,271,2565,1926,313,255,4848,3615,84,1801,3482,4809,740
2010-12-28,2869,20,24,5008,13876,32,355,2775,2093,392,217,5174,3789,86,1987,3901,5113,802
2010-12-29,3261,17,24,5377,14912,28,296,3230,2555,427,247,5964,4310,112,2465,4316,5862,896
2010-12-30,2920,23,22,4941,14024,40,284,2960,2187,430,208,5111,3976,84,2285,4111,5382,765
2010-12-31,2422,7,22,4307,11826,29,230,2431,1796,313,200,4559,3578,58,1714,3161,4337,681
2011-01-01,2210,19,15,4200,10116,23,213,2305,1444,354,191,4417,3007,63,1386,2512,3442,507
2011-01-02,2932,10,24,5135,12535,35,277,2678,1855,375,241,6044,3935,90,1706,3246,4434,695
2011-01-03,3416,22,34,5917,15481,52,3822,3383,2649,440,273,6926,4519,93,2585,4363,5713,926
2011-01-04,3480,35,34,6317,16725,40,577,3446,3326,532,261,7438,4894,138,6508,5951,7113,1048
2011-01-05,3698,38,42,6172,17020,47,475,3795,3290,547,306,7331,5264,164,5118,5980,7260,1078
2011-01-06,6168,47,61,6528,17594,68,461,3725,3909,601,343,7775,5467,202,4153,6061,7814,1191
2011-01-07,4849,37,70,6040,16601,42,449,3519,3597,537,239,7106,5488,138,3514,5572,6835,1087
2011-01-08,3275,25,43,5098,12020,41,280,2705,2353,554,185,6199,3853,85,2233,3990,4916,778
2011-01-09,3602,33,43,5442,12954,49,334,4721,2278,464,257,6643,4033,118,2105,3952,4957,878
2011-01-10,4257,36,51,6607,15920,48,445,4576,2989,609,254,7515,5285,119,2965,5460,7201,1258
2011-01-11,4252,55,63,6266,16683,83,479,4038,2974,758,336,7541,5332,137,3284,5995,7805,1342
2011-01-12,4051,43,47,5992,16820,85,393,4283,2535,670,261,7891,5225,162,3064,5382,6792,1280
2011-01-13,4033,68,44,5855,16325,66,434,4059,2778,989,341,7803,5433,170,3305,6032,7141,1265
2011-01-14,3552,48,37,6076,18071,50,414,3523,2636,1265,317,7478,5376,177,3860,5539,7047,1209
2011-01-15,2836,32,30,4593,13355,30,272,3042,2010,586,231,5682,4235,126,2399,3797,4999,867
2011-01-16,3592,41,30,5259,13276,48,348,3400,2116,642,252,6584,4525,125,2233,4158,5368,960
2011-01-17,4257,41,48,6391,15117,65,476,3775,3026,590,345,7866,5190,177,3031,5579,8091,1221
2011-01-18,4338,59,47,6743,16529,77,526,4015,3405,721,431,8503,5911,193,3599,6648,9684,1322
2011-01-19,4597,58,56,6550,17191,72,477,4248,3466,710,349,9031,6306,288,3687,6913,9139,1487
2011-01-20,4200,51,58,6128,15358,64,505,4032,3488,655,328,14243,10321,336,3372,7716,9496,1296
2011-01-21,3824,23,45,5401,13312,61,368,3386,2988,521,337,22875,6406,174,3059,6943,7978,1207
2011-01-22,3422,27,44,4760,11075,38,310,2922,2224,493,223,10404,4732,150,2262,4744,5898,854
2011-01-23,3507,43,41,5083,11851,56,349,3080,2242,498,272,7853,4295,118,2325,4553,5382,923
