Week,Date_and_Year,Measles,Q-Fever,Typhoid-Fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionellosis,Hepatitis_A,Hepatitis_B,Hepatitis_C,Haemophilus
,18 December 2010,0,0,3,277,6,3,14,102,25,13,35,5,34
,24 December 2010,2,3,1,277,8,8,8,103,21,7,23,3,15
,1 January 2011,0,1,2,200,4,2,13,61,21,16,19,2,3
(1st Week,"ng January 8, 201",0,1,1,136,10,4,7,35,20,6,17,6,30
(2nd Week,"g January 15, 201",3,0,0,117,3,1,15,28,28,19,10,0,32
(3rd Week,"g January 22, 201",0,1,0,95,6,6,8,25,14,13,7,3,36
(4th Week,"g January 29, 201",2,2,4,163,5,3,12,42,19,15,34,4,35
(5th Week,"g February 5, 201",1,0,5,184,20,5,10,33,21,18,24,4,26
(6th Week,"February 12, 201",5,1,3,119,12,5,12,36,23,12,17,5,27
(7th Week,"February 19, 201",1,0,2,106,13,3,5,41,23,19,15,7,30
(8th Week,"February 26, 201",1,0,8,121,5,7,7,33,23,9,27,14,24
(9th Week,"ding March 5, 201",2,0,2,100,9,5,5,34,26,14,20,5,19
10th Week,"ng March 12, 2011",0,1,5,154,7,6,8,49,29,16,24,11,24
11th Week,"ng March 19, 2011",5,1,2,222,6,2,9,37,19,11,14,7,31
12th Week,"ng March 26, 2011",6,0,3,181,8,6,11,79,23,14,20,7,32
13th Week,"ing April 2, 2011",1,0,4,101,7,3,7,45,21,12,23,13,30
14th Week,"ing April 9, 2011",2,0,5,90,10,7,7,49,21,19,25,13,38
15th Week,"ng April 16, 2011",6,0,6,95,8,4,12,72,21,9,19,11,19
16th Week,"ng April 23, 2011",0,0,2,111,8,3,5,48,19,11,12,9,27
17th Week,"ng April 30, 2011",2,2,3,203,17,4,10,52,15,6,16,10,22
18th Week,"nding May 7, 2011",2,1,3,131,8,9,7,40,15,14,14,7,31
19th Week,"ding May 14, 2011",19,0,4,69,5,4,15,125,24,19,18,12,36
20th Week,"ding May 21, 2011",2,0,4,183,8,2,16,154,18,12,9,8,43
21st Week,"ding May 28, 2011",1,0,1,69,9,8,12,177,23,14,18,12,40
22nd Week,"ding June 4, 2011",7,0,3,61,3,1,8,147,26,4,20,2,37
23rd Week,"ing June 11, 2011",2,1,2,76,12,5,15,233,38,12,24,6,36
24th Week,"ing June 18, 2011",4,1,10,67,10,6,13,283,17,12,15,11,31
25th Week,"ing June 25, 2011",1,0,4,84,5,6,14,361,23,12,29,7,18
26th Week,"ding July 2, 2011",1,0,3,81,2,3,15,586,24,7,17,10,22
27th Week,"ding July 9, 2011",3,2,0,85,6,4,10,469,34,11,13,9,28
28th Week,"ing July 16, 2011",2,0,1,79,8,2,21,697,63,10,12,10,31
29th Week,"ing July 23, 2011",1,1,4,93,7,4,13,767,53,9,27,4,20
30th Week,"ing July 30, 2011",0,0,1,97,2,5,11,528,39,13,19,13,17
31st Week,"ng August 6, 2011",1,1,3,122,8,11,22,461,35,5,20,15,26
32nd Week,"g August 13, 2011",1,2,4,259,4,9,15,491,35,9,22,11,16
33rd Week,"g August 20, 2011",0,0,2,115,0,14,17,549,47,13,11,10,25
34th Week,"g August 27, 2011",1,2,3,103,2,10,20,425,50,24,43,17,19
35th Week,"September 3, 2011",3,2,5,100,1,2,19,259,62,11,14,5,20
36th Week,"eptember 10, 2011",0,2,0,162,0,14,15,280,60,11,24,18,18
37th Week,"eptember 17, 2011",0,0,3,147,5,18,18,372,62,15,30,9,25
38th Week,"eptember 24, 2011",5,1,1,77,5,18,19,372,86,14,73,10,12
39th Week,"g October 1, 2011",0,2,3,95,2,23,16,324,68,11,24,15,20
40th Week,"g October 8, 2011",0,0,2,148,6,9,10,356,75,13,20,8,25
41st Week,"October 15, 2011",1,0,1,90,3,9,16,314,77,12,13,9,28
