,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
1/1/11,0.2003713382,0.1088435374,0,0.8369330454,0.4551679288,0.0203624972,1,0.157304379,0.5702698058,0.1195444104,0.0211661116,0.5037202647,0.0925641503,0.0396224344,0.2084016941,0.498711263,0.5412446076,0.3774115242
1/8/11,0.2040709669,0.2222222222,0.0123615761,0.8661191315,0.4721827925,0.0460953233,0.2316992746,0.270683776,0.5177865613,0.3035987749,0.0239035954,0.5758540512,0.1077911198,0.0484030293,0.1555699696,0.5785829887,0.6186571967,0.5662450492
1/15/11,0.2126254986,0.2188208617,0.0087561164,0.8584176424,0.4430743064,0.0449765048,0.2741261816,0.2256595477,0.5850146073,0.2189892802,0.0329909127,1,0.1726162773,0.097903633,0.1627430781,0.7405442666,0.8306837953,0.6109620544
1/22/11,0.2111951589,0.201814059,0.0162245686,0.7570194384,0.4163045042,0.0443052137,0.2703890965,0.2010723259,0.5069943289,0.1983154671,0.0395100751,0.6999284564,0.1095597133,0.0529030842,0.1616747428,0.6987052688,0.6489262817,0.532515651
1/29/11,0.1731811305,0.1893424036,0.0077259851,0.6383994544,0.32657783,0.0331170284,0.20839745,0.1953741924,0.5194363293,0.311542879,0.0273748377,0.4933106779,0.079315213,0.0602568324,0.1288488687,0.5711802434,0.5400052435,0.4529193816
2/5/11,0.1551643515,0.2063492063,0.0033479269,0.6442253041,0.3040726868,0.0431863952,0.1736645417,0.1653356066,0.4743770407,0.185585758,0.0209403398,0.4427830442,0.0708911229,0.048073757,0.1360855686,0.4505784331,0.4987725529,0.4540692475
2/12/11,0.1767294732,0.1825396825,0.0059232552,0.7419290667,0.327934767,0.0355784292,0.2462079578,0.1353867552,0.58350232,0.2012825421,0.0216458768,0.4180826328,0.0771432561,0.2085391285,0.1076856551,0.4145237667,0.5249183688,0.4494697841
2/19/11,0.2305322514,0.2029478458,0.0242080865,0.6900647948,0.3150219799,0.0534795256,0.2545614421,0.1390209978,0.5081285444,0.1752488515,0.0229722865,0.4021463066,0.1070309349,0.0493908462,0.1124804456,0.4281304322,0.5153371309,0.4731059154
2/26/11,0.4826433778,0.246031746,0.0507339686,0.680260316,0.3237513991,0.0747370776,0.2664321829,0.1750269203,0.5334937274,0.1804173047,0.0336964497,0.4340368449,0.1277653666,0.1683679069,0.1115265748,0.4781813822,0.5383845365,0.4944423151
3/5/11,0.2229679549,0.2426303855,0.0195724955,0.6469819257,0.277659315,0.0472141419,0.303143548,0.1531765973,0.4657157587,0.1879785605,0.0283908111,0.4516544446,0.1064336467,0.1523433213,0.1139048927,0.4592399449,0.5312581929,0.5317490737
