Alabama,Alaska,Arizona,Arkansas,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Missouri,Nebraska,New_Mexico,New_York,North_Carolina,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,Bati_Virginia,Wyoming,Utah
0.4340671559,0.0965791802,0.1307146477,0.1178319599,0.0927055104,0.1208106616,0.2706245181,0.1234717591,0.1309410027,0.1910340167,0.1062915743,0.1020219645,0.2166274625,0.186183218,0.1474026477,0.1697242414,0.1604259705,0.076192304,0.1710682846,0.1770486606,0.168207024,0.1633191317,0.1917601742,0.1601555595,0.1980910537,0.1588327898,0.1932618683,0.1067316917,0.0709710479,0.1888122376
0.4063449707,0.1046888823,0.1615813482,0.1526633251,0.1093044264,0.1432852299,0.3279876638,0.1545923007,0.157615779,0.2381166929,0.1484201774,0.1188545622,0.2533078506,0.243042189,0.1977239297,0.2074535595,0.2332531776,0.0956722004,0.1762233325,0.2207956887,0.2160716023,0.2033881112,0.2116479652,0.2238819162,0.2273312628,0.1778927246,0.2607452782,0.1249600256,0.0730207533,0.224955009
0.3171744126,0.1169271601,0.169437405,0.1355025062,0.1094173442,0.1842914597,0.334464148,0.2001616652,0.1654357459,0.2208830818,0.157289357,0.1118751924,0.2054542782,0.2218176143,0.2190911202,0.2005307488,0.2291308829,0.0857883121,0.1897057657,0.2364875575,0.2454518922,0.2013593021,0.1985429576,0.2318366625,0.2133171729,0.1742381648,0.2801429301,0.1794051807,0.0727645401,0.1513197361
0.2148098732,0.1372751401,0.1569690826,0.1313397332,0.1044489612,0.1808217018,0.2826522745,0.1956148328,0.1634373099,0.231921604,0.1409368071,0.1015087755,0.2241252573,0.2116214951,0.2058527522,0.1853005654,0.1944349021,0.088091354,0.1716234436,0.1898082105,0.2379608911,0.1991276121,0.2301959471,0.2029344175,0.1732444512,0.1828404363,0.2627871363,0.1949152542,0.0763515245,0.1606178764
0.2632866355,0.1907991743,0.1861632032,0.1808682355,0.1322267389,0.1790079647,0.3119506554,0.2136000808,0.1871578764,0.3571750394,0.1771064302,0.1072564918,0.2568362246,0.3057795349,0.2286134551,0.2113764855,0.2116111302,0.103540927,0.1908160837,0.1783166904,0.3239614749,0.2541083384,0.3473455033,0.2204348595,0.2326338914,0.2433374564,0.3319040327,0.202190598,0.091596208,0.1673665267
0.3134682381,0.2885579475,0.1995438419,0.2703678532,0.1777326107,0.1970664774,0.3250578258,0.2785692634,0.2478929533,0.4685740032,0.280210643,0.1582674741,0.2854307557,0.3995214066,0.2324069056,0.2929502711,0.2600480934,0.135687554,0.2648108494,0.1773656681,0.4322404903,0.3072631365,0.4432255904,0.280183843,0.3009620483,0.3072641403,0.3821337417,0.2311320755,0.1357929798,0.1645170966
0.2952338596,0.3907401946,0.2313735428,0.2852773766,0.1884598013,0.2318429146,0.3363145721,0.317975144,0.2253888261,0.4216039649,0.2673226164,0.1558041671,0.2902822699,0.3403214899,0.2185491987,0.2976808584,0.2306767434,0.1525765282,0.2947101277,0.1602472658,0.555112365,0.3048285656,0.373178697,0.2748806788,0.3900462086,0.3005172608,0.4011230219,0.2629517109,0.1445042275,0.1724655069
0.2712178489,0.4631377175,0.2931069437,0.2377453063,0.1954607046,0.2504534343,0.2734001542,0.3747600283,0.2271265966,0.4553953593,0.2991962306,0.1620650724,0.34320788,0.3324142954,0.2322520709,0.3124495212,0.2566128478,0.1946070435,0.3157268618,0.1986051672,0.6028796576,0.351998377,0.2565315693,0.3074951388,0.4001212029,0.2989992129,0.425625319,0.3674448353,0.1951063285,0.1928614277
0.3010154918,0.5303745208,0.325646224,0.2549486025,0.22233514,0.2698525353,0.2861989206,0.4357886228,0.2229559475,0.41462041,0.3816518847,0.2204659756,0.3565127904,0.3556156687,0.2495161415,0.3692165686,0.2810030917,0.3049611362,0.2986755492,0.2598668569,0.5541395077,0.3394197606,0.2426310501,0.3082906134,0.4250435573,0.3816484876,0.438489025,0.4732970899,0.2053548552,0.2024595081
0.2773700986,0.5995281628,0.2379118094,0.2038909184,0.1950090334,0.2685908051,0.2404009252,0.4289178539,0.20106004,0.3269880604,0.4034090909,0.1871086934,0.2772713908,0.2724860844,0.2234264922,0.3502942195,0.2660597733,0.3076480184,0.2974066143,0.2299096529,0.4006226287,0.2977277338,0.1725841568,0.2930882093,0.343383077,0.2703249747,0.3716181725,0.429724976,0.2236740968,0.1609178164
0.1672967163,0.5176938956,0.1713127217,0.1557641662,0.1611336947,0.2563677943,0.1697764071,0.4405375366,0.1570944478,0.2808064879,0.338691796,0.1741763317,0.2025874743,0.1872236383,0.1753503135,0.294796354,0.2205427688,0.3016984934,0.2924894916,0.1879854177,0.2341667477,0.2187056198,0.144322559,0.2452713452,0.2316491175,0.1820533003,0.2830015314,0.3093220339,0.2231616705,0.1667666467
0.1380920614,0.4178708346,0.2204764318,0.1307450514,0.1219512195,0.2152038483,0.1275250578,0.3727392139,0.133982101,0.1967785537,0.2695399113,0.1442060967,0.1427521317,0.1462310774,0.1366416351,0.2491058036,0.1994160082,0.2157182612,0.2277738124,0.1179267713,0.1653857379,0.1684925948,0.1265700888,0.1910906841,0.1633967124,0.1352187113,0.2233792751,0.2655900224,0.1939533692,0.1139772046
0.0926543622,0.3320554409,0.1531677648,0.1120125733,0.0894308943,0.1832663039,0.1088666153,0.2812973628,0.1160830654,0.152286551,0.2301829268,0.1133121215,0.1181270215,0.1070592519,0.1126422544,0.196723203,0.1463414634,0.1471068036,0.1911333175,0.1017593913,0.1318221617,0.1331913167,0.0976385865,0.1600671734,0.1136277555,0.0964803778,0.1772332823,0.2102654301,0.1660261337,0.0985302939
0.06159662,0.2805956945,0.0692853523,0.0806218673,0.0723803071,0.1518019084,0.0939090208,0.1911690411,0.0909722826,0.1291957648,0.1385809313,0.072257005,0.0707880035,0.0805285335,0.0973136177,0.1706472828,0.0893163861,0.1043086076,0.1480688397,0.1015216358,0.0908648701,0.1157435585,0.0703818456,0.1339932827,0.079918188,0.0801754189,0.1335375191,0.1781259994,0.1473225724,0.0806838632
0.057519828,0.2376879976,0.0539280284,0.0592982754,0.0596205962,0.1243592777,0.0701619121,0.1453975952,0.0718568077,0.1182698806,0.100748337,0.054090116,0.0617465451,0.0658065859,0.0883332043,0.1414560978,0.0862246651,0.079742827,0.1168213181,0.0889205896,0.0760774394,0.0903834449,0.0607519678,0.1116316069,0.0544655708,0.0657258518,0.1269014803,0.1576590982,0.1200358698,0.0611877624
0.0519605663,0.1925685638,0.0460719716,0.0473621612,0.0398599819,0.1036984465,0.066461064,0.109831262,0.057085759,0.0847037621,0.0770509978,0.039310274,0.0599823581,0.0591478957,0.0791205388,0.1176877812,0.0511851597,0.0693791383,0.1080180823,0.0637184974,0.0771475824,0.080137959,0.0524618992,0.0936008485,0.0531777896,0.0518947487,0.1078101072,0.134793732,0.0942864463,0.0442411518
0.0388407086,0.1688292539,0.0354282818,0.0403109337,0.0341011743,0.0865073732,0.0485736315,0.0878043852,0.0398818316,0.0626267177,0.0630543237,0.0237093298,0.0456483387,0.0423971284,0.0551211582,0.0904580593,0.034867743,0.0576720084,0.0831152351,0.0457283246,0.0537990077,0.0625887604,0.0452604254,0.0837899947,0.0379516703,0.0449229731,0.0842266462,0.1111288775,0.0766077376,0.0367426515
0.0329108294,0.1250368623,0.0281804359,0.0299464786,0.0303748871,0.0747575112,0.0430223593,0.0844700414,0.0362325137,0.0587970264,0.0541851441,0.0195011803,0.0361658336,0.0355303543,0.0538824805,0.0683050652,0.0448299553,0.0403032339,0.0774050282,0.0377238865,0.0434867205,0.055589369,0.0382682968,0.0625773378,0.0307552458,0.0422804453,0.0551301685,0.0902622322,0.0645657187,0.0406418716
0.02527611,0.1051312297,0.0368474404,0.0240846147,0.0324074074,0.0627710748,0.0365458751,0.0811356977,0.0357980711,0.061162424,0.048364745,0.0253515344,0.0265363128,0.0323570723,0.0359216536,0.0543440637,0.0316042597,0.0349294693,0.0621778095,0.0308289745,0.0342445763,0.0387502536,0.0332021437,0.0600141418,0.0195439739,0.0327223659,0.0561510975,0.0711544611,0.0530361261,0.0286442711
0.018308502,0.088469478,0.0250886974,0.0223430465,0.0319557362,0.0507057803,0.0359290671,0.0786096797,0.0317143105,0.048884884,0.0388026608,0.0257620856,0.0272713908,0.0311085679,0.0342184718,0.0458059305,0.0386465132,0.0324345072,0.0548814339,0.0321762561,0.0309368616,0.0486914181,0.0345000837,0.0429556302,0.0212862662,0.0323850219,0.0477794793,0.0563639271,0.045349731,0.025044991
0.0211251946,0.077115895,0.0235681703,0.0247217739,0.0255194219,0.0421102437,0.0305319969,0.0683035263,0.0233730124,0.0501239018,0.0267461197,0.0220671251,0.0314613349,0.0287676221,0.0405666951,0.038306219,0.0231879079,0.0235102197,0.0498850028,0.0259946109,0.0351201479,0.04017042,0.031066823,0.0410995227,0.0267403985,0.0238951985,0.0326697295,0.0499680205,0.0381757622,0.0341931614
0.017863761,0.0678265998,0.022858591,0.0291818877,0.0237127371,0.0376941882,0.0279105628,0.059411943,0.0235467895,0.0592475783,0.020094235,0.021656574,0.0266098206,0.0238776466,0.0257025625,0.0374985577,0.0264513913,0.0177526149,0.041636926,0.0211602473,0.0352174336,0.0421992291,0.0284290739,0.0349124978,0.0226497993,0.0261441583,0.0399183257,0.0430924209,0.0322828593,0.0332933413
0.0135645986,0.0551459746,0.0218955905,0.0245093875,0.0194218609,0.0354073023,0.0222050887,0.0531474184,0.0153792684,0.0439288128,0.0144124169,0.0172431489,0.0235960012,0.0150860948,0.0219865294,0.0362293758,0.0166609413,0.0120909702,0.0408438417,0.0186241877,0.0218892888,0.0244471495,0.0238234802,0.0336750928,0.0156048784,0.0190037108,0.0488004084,0.0413335465,0.0292083013,0.025194961
0.0126009933,0.047626069,0.0167764825,0.0203890918,0.0243902439,0.0296506585,0.0251349268,0.0491057896,0.0182465896,0.0319891868,0.0134423503,0.0141640152,0.0217583064,0.012485044,0.0288766742,0.0264220607,0.0123668842,0.0095960081,0.0344198588,0.0156918688,0.022181146,0.0246500304,0.0203064813,0.0280183843,0.0112112719,0.0175981109,0.0377743747,0.0424528302,0.0252369972,0.024895021
0.0100807946,0.049837806,0.0103902686,0.0166086144,0.0156955736,0.0268117656,0.0171164225,0.0430433465,0.0135546094,0.0323271007,0.010116408,0.0101611413,0.0191855337,0.0106122874,0.0329797941,0.0215760932,0.0130539334,0.0076768064,0.0290268856,0.0147408464,0.0160521452,0.0182592818,0.0197621839,0.0257203465,0.0109082645,0.0172607669,0.0314446146,0.0394147745,0.0224186523,0.0293941212
0.007264102,0.0399587142,0.0094272681,0.0127856597,0.0084688347,0.0236574403,0.0174248265,0.0460745681,0.0069510818,0.030637531,0.0078991131,0.0076978343,0.0163922376,0.0117567497,0.0159479755,0.0222683743,0.0106492614,0.0064293254,0.0242683797,0.0100649865,0.016830431,0.0152160682,0.0170406967,0.0191797773,0.0071206727,0.0082087035,0.0227667177,0.0343779981,0.0199846272,0.0287942412
0.0089689423,0.037452079,0.010897111,0.010831705,0.0071138211,0.0198722498,0.0127987664,0.0430433465,0.0037362064,0.0277089435,0.0070676275,0.0066714564,0.0130843869,0.0107163294,0.0144770458,0.015576324,0.004294057,0.004798004,0.0220477437,0.0087969567,0.0141064306,0.0115642118,0.013649305,0.0157327205,0.0055298841,0.0086022714,0.0239918326,0.0264630636,0.0172943889,0.0209958008
