en-Common_cold,en-Human_flu,en-Influenza,en-Influenza-like_illness,en-Influenza_A_virus,en-Influenza_A_virus_subtype_H1N1,en-Influenzavirus_A,en-Influenzavirus_C,en-Oseltamivir,en-Zanamivir
3454,45,7028,101,381,1083,134,54,423,95
4027,49,4968,107,353,1242,113,60,515,143
5233,79,6957,194,628,1537,167,64,632,201
5482,90,7044,187,825,1518,189,75,637,196
5024,85,6979,199,780,1535,203,66,603,186
4524,66,6518,192,666,1414,166,56,638,167
4105,52,5265,130,581,1312,137,60,611,162
3518,64,4538,122,488,921,98,50,482,118
3785,57,5346,138,407,886,107,46,484,107
4930,76,6494,176,654,1152,170,52,682,160
5248,85,6914,175,791,1324,161,67,803,186
5065,89,6485,167,855,1377,196,83,767,172
4343,80,6165,166,888,1425,178,56,809,186
3397,67,4392,127,683,1271,137,38,634,124
2640,30,3246,82,364,946,87,40,436,68
3470,98,4270,235,503,1135,192,149,633,231
4364,81,5904,256,740,1622,225,141,720,290
4936,84,6789,187,874,1743,161,45,733,145
5988,103,7315,216,898,1978,200,62,820,164
4781,94,7079,187,957,2101,212,77,880,161
3722,68,5371,143,819,1482,164,38,697,150
3164,61,4675,126,522,1296,96,29,490,117
4308,77,5687,144,588,1501,121,50,624,125
5038,119,7362,168,953,1809,194,75,836,258
5432,115,8384,236,1401,2459,277,82,967,202
5920,126,8989,222,1373,2527,267,70,1049,237
5460,155,9158,238,1317,2763,290,127,1074,267
4854,167,7357,1411,1270,2337,263,91,1023,238
3869,141,5493,570,921,1539,171,65,755,182
4129,82,5862,274,730,1584,189,49,734,134
5233,126,7808,263,1135,2108,236,85,946,195
4925,133,8357,235,1584,2503,310,98,1030,237
4578,143,8410,273,1548,2603,294,99,970,207
4587,122,8536,285,1686,2568,301,99,1093,237
3955,131,7495,210,1467,3439,276,87,888,226
3093,109,5239,188,1150,1762,199,64,749,150
3631,99,5683,168,946,1623,200,75,786,165
4119,136,7748,192,1428,2225,305,75,1040,209
4235,117,8096,234,1896,2522,349,96,1083,200
4317,146,9163,201,2029,2511,390,87,1109,317
4201,123,8511,242,1929,2543,320,91,1079,248
3789,138,7130,185,1786,2219,325,79,1059,252
3324,105,5084,167,1216,1679,219,74,818,166
3776,87,5893,176,1116,1657,242,59,914,222
4714,166,8198,239,2048,2678,400,114,1112,245
4224,168,8318,233,2299,2382,447,104,1143,188
4329,130,7985,194,2205,2512,465,97,1298,250
3821,148,7415,259,2050,2353,453,116,1232,203
3399,179,6551,188,1930,2024,404,93,1048,213
2883,123,4705,164,1250,1566,290,83,954,166
3240,129,5285,146,1086,1492,264,73,853,131
4182,142,7533,201,1765,2100,457,117,1099,220
4118,165,8871,199,1735,2271,460,120,1360,277
3845,133,7456,193,1340,1954,348,95,1182,231
3881,116,7440,176,1426,2029,304,83,1162,210
3372,140,6469,177,1458,1907,300,86,1196,167
2918,80,5406,168,989,1399,241,58,985,107
3036,100,6363,153,879,1493,239,58,940,158
3837,132,7342,203,1523,2126,370,88,1140,265
4101,141,7761,205,1768,2412,409,118,1272,245
4030,135,7823,244,1773,2279,398,117,1295,253
3828,107,7363,216,1715,2166,354,96,1215,187
3530,121,6389,182,1537,1899,361,101,1212,200
2910,87,4491,163,1053,1575,255,57,958,119
3103,104,5022,146,1082,1473,265,74,803,133
3865,126,7039,220,1626,2014,379,97,1090,213
4159,139,7607,181,1907,2288,435,109,1251,172
4663,130,7908,237,1978,2436,467,113,1251,192
4167,145,7527,197,2157,2177,458,116,1272,199
3407,156,6701,233,1904,1991,460,94,1275,178
2748,93,4701,164,1290,1384,283,84,815,112
2996,110,5068,179,1005,1312,282,98,788,132
3749,128,6688,259,1620,1844,395,95,1047,203
4043,127,7477,228,1777,2158,396,86,1183,195
3998,117,7050,191,1817,2091,395,76,1099,186
3702,151,6995,227,1747,1958,358,86,1060,207
3555,98,5976,164,1537,1580,391,114,941,167
2716,83,4221,152,1000,1137,223,83,714,133
3039,135,4745,125,885,1113,213,67,751,158
3989,123,6894,198,1310,1641,366,76,944,169
3949,120,7339,249,1321,1831,361,87,1043,209
