Haemophilus,Haemophilus_influenzae,Gram-negative_bacteria,Facultative_anaerobic_organism,Epiglottitis,Cellulitis,Meningitis,Pathogenic_bacteria,Hib_vaccine,Osteomyelitis
130,944,1431,391,300,2877,14746,195,217,1458
146,994,1769,442,318,2978,6512,195,235,1412
184,1337,2090,599,318,3846,8103,213,326,1856
195,1325,2127,537,368,3906,8277,267,354,1958
177,1310,2257,540,324,3516,7967,213,317,1702
166,1281,1838,528,287,3464,7480,191,333,1608
118,919,1345,366,290,3472,6317,169,236,1435
87,635,925,208,196,2789,5001,128,174,1022
107,687,934,250,217,3372,5197,168,168,878
126,942,1386,312,272,4394,6522,169,301,1466
115,951,1269,299,275,4354,6730,159,264,1403
128,766,1165,251,250,4231,6257,175,245,1273
96,859,994,182,249,3887,5670,183,192,1090
82,540,686,154,168,2992,4426,117,156,818
65,405,537,100,150,2397,3550,75,105,590
43,508,673,114,207,3149,4330,107,135,746
82,740,934,179,265,3764,5351,119,182,1110
95,802,982,231,244,4124,5719,103,244,1209
119,896,1041,242,294,4375,6358,153,264,1222
83,765,1008,192,279,4157,5835,118,219,1209
65,681,800,153,222,3544,5030,76,129,1076
60,507,699,144,180,3500,4448,85,117,809
70,695,875,218,214,3702,5655,97,176,986
95,926,1352,311,257,4506,6666,159,249,1398
142,1048,1384,409,291,4876,7270,141,346,1496
126,1078,1617,402,317,5101,7570,175,391,1586
127,1191,1932,385,341,5162,8304,174,434,1726
113,1087,1623,310,309,4786,10795,208,354,1599
84,778,1062,221,249,3730,12031,177,245,1239
112,878,1318,292,294,4167,6200,142,270,1255
122,1258,1726,443,353,4974,7722,225,428,1695
154,1342,1953,421,318,5015,8469,221,416,1747
158,1280,1936,456,328,4980,8452,223,349,1785
148,1265,1957,488,327,4901,7840,197,381,1681
139,1209,1759,415,333,4667,8200,219,354,1685
85,867,1214,311,280,3668,6012,148,181,1193
101,960,1543,420,271,3691,6729,146,217,1333
144,1221,1937,474,340,4504,7551,189,351,1598
170,1322,2420,509,364,4972,8557,236,461,1839
162,1487,2306,546,346,4716,8393,242,421,2006
161,1296,2265,524,353,4644,10244,223,373,1901
148,1207,1846,458,304,4135,7884,201,340,1617
126,854,1441,349,250,3260,6805,165,240,1189
103,923,1631,392,326,3569,7313,164,271,1294
146,1320,2294,553,360,4531,8971,243,413,1772
151,1264,2251,531,343,4199,9553,254,445,1768
161,1243,2308,642,364,4202,8592,245,378,1898
158,1127,1991,547,297,3664,7642,188,353,1702
150,1015,1717,414,269,3477,7187,207,336,1617
121,695,1263,289,269,2870,5549,204,222,1143
125,832,1448,396,277,3042,6317,194,247,1283
197,1226,2278,508,378,3876,8362,251,375,1705
233,1185,2277,617,349,3909,8385,302,384,1693
217,1143,2199,495,338,3214,7426,246,383,1661
229,1110,2246,529,357,3198,7365,254,357,1789
152,932,2028,459,307,3014,6573,218,309,1491
107,609,1304,330,262,2224,5075,211,206,1076
106,714,1539,435,284,2695,5577,182,215,1173
221,1150,2387,610,340,3380,7502,231,409,1629
169,1109,2392,700,319,3505,7493,236,356,1665
189,1170,2304,645,371,3563,7520,224,397,1514
180,1324,2317,623,353,3541,7601,195,383,1433
160,1056,1849,537,295,3256,7245,195,260,1370
99,691,1233,431,213,2764,6549,173,219,996
98,779,1541,456,249,2824,6529,159,212,1056
165,1161,2277,710,353,3842,7951,236,380,1461
193,1144,2371,779,329,3756,8031,238,332,1557
196,1237,2514,719,370,3735,8653,241,397,1539
177,1080,2260,691,439,3634,8887,199,373,1407
154,1004,1675,535,296,3084,7616,198,307,1380
108,728,1226,331,235,2663,5668,160,206,1012
134,827,1431,420,279,2606,5572,239,233,1120
200,1246,2000,670,362,3671,7115,219,378,1462
182,1188,2213,728,355,3699,7134,233,388,1507
203,1130,2142,709,345,3518,6993,294,398,1583
207,1197,2259,650,360,3635,6988,255,371,1478
201,965,1791,472,269,3167,6244,212,297,1294
118,629,1215,355,249,2687,5106,156,234,930
126,818,1546,501,295,2909,5584,184,228,1168
204,1293,2382,797,344,3950,6911,240,373,1575
198,1307,2340,845,326,3616,6692,224,399,1671
192,1290,2466,931,308,3722,8086,241,410,1573
177,1169,2318,773,269,4082,6211,163,369,1528
154,942,1764,578,225,3393,5661,177,313,1390
132,741,1298,355,221,2830,4336,174,276,1146
131,823,1648,498,250,7861,4938,135,260,1230
207,1294,2108,739,323,6563,6679,253,463,1618
184,1258,2124,715,305,4186,6561,208,441,1560
226,1322,2357,676,277,4148,6577,193,450,1491
191,1276,2311,727,254,4274,6635,167,424,1590
161,1026,1656,489,224,3631,5275,142,330,1167
77,665,1073,370,243,2968,4207,143,243,934
111,738,1390,450,268,3293,5205,121,230,1084
179,1165,1843,610,294,4180,6134,172,326,1397
187,1140,2092,659,308,3674,6359,169,386,1555
161,1078,2032,668,257,3482,6605,155,353,1460
191,1053,1997,609,258,3214,6153,156,324,1453
137,921,1441,375,232,3103,5163,162,283,1271
85,670,1080,311,236,2728,4327,86,251,1011
105,762,1305,395,222,2585,4230,116,220,954
198,1134,1992,606,276,3597,6158,167,395,1409
193,1134,2056,614,306,3699,5866,136,392,1523
193,1203,2167,679,321,3921,6436,171,431,1555
166,1149,2070,633,268,3653,6186,148,397,1502
155,999,1616,440,219,3261,5358,116,350,1215
97,717,1132,318,201,2665,4226,90,222,944
118,818,1288,455,237,2991,4554,157,257,984
211,1187,2211,671,333,4609,6457,156,393,1581
221,1215,2294,720,309,4381,6518,153,434,1428
180,1158,2276,677,268,4434,6373,135,386,1579
189,1175,2265,616,288,4279,6202,163,338,1528
170,905,1562,406,237,3779,5094,94,278,1199
100,634,1113,326,211,3142,4870,87,191,946
111,783,1316,440,259,3483,4863,105,244,1075
193,1266,2094,559,316,4496,6373,160,396,1566
201,1293,2213,643,336,4607,6347,176,395,1568
181,1168,2134,679,288,4201,6658,169,395,1449
153,1078,2534,614,278,4264,7071,121,353,1421
145,971,2047,456,271,3548,6111,132,356,1325
117,650,1192,278,229,2553,4335,91,242,909
114,799,1404,414,246,2875,4702,101,244,1069
211,1217,2162,660,317,4051,6577,168,418,1481
228,1214,2319,706,363,3917,6446,163,414,1629
207,1285,2156,627,283,4280,7137,179,391,1689
185,1250,2159,636,311,4086,6677,183,396,1491
132,983,1668,423,220,3323,5608,130,326,1357
130,699,1332,353,247,2711,5401,81,224,972
143,817,1524,396,256,2783,5931,119,235,1048
184,1185,2017,584,298,4055,7047,143,407,1632
207,1203,2066,641,300,3803,6306,137,453,1659
191,1341,2186,663,308,4010,6277,138,441,1728
193,1045,1890,500,377,3613,5840,131,393,1381
151,842,1440,365,283,4273,5037,121,276,1059
115,725,1119,308,189,2876,4148,94,228,918
86,652,1098,359,223,2802,4569,78,200,920
157,1118,1874,585,289,3567,6062,122,338,1285
201,1257,2240,676,299,3902,6650,141,439,1542
215,1256,2178,669,308,3694,6457,148,442,1477
159,1223,2159,619,319,3797,6559,163,372,2235
158,930,1574,473,232,2985,5264,133,311,1780
128,710,1190,315,295,2502,4242,84,248,974
124,771,1386,404,298,2761,4770,111,238,1148
175,1119,1966,557,295,3250,5972,164,408,1520
172,1233,2298,639,292,4036,6161,131,390,1464
183,1149,2205,733,342,3955,6434,166,385,1482
205,1177,2180,659,335,3648,6130,148,390,1415
172,1108,1657,511,298,3548,5375,116,328,1299
111,692,1221,360,225,2992,4378,98,221,906
111,804,1397,385,288,3048,4631,101,257,1134
144,1266,2033,593,331,4060,7586,144,431,1478
168,1211,1973,594,327,3826,6747,162,462,1400
199,1349,2048,546,284,3980,6488,167,422,1487
170,1133,1880,540,236,3932,6181,147,367,1406
138,954,1577,406,239,3471,5570,135,326,1342
123,713,1141,287,232,2725,4278,118,237,970
136,847,1279,366,290,3049,4925,103,229,1039
186,1121,1753,420,327,4130,6335,145,378,1471
194,1237,1906,435,301,4144,6654,190,459,1582
162,1109,1911,472,300,4016,6681,136,423,1576
161,990,1793,433,311,3998,6511,150,383,1458
176,911,1571,369,257,3681,5617,125,379,1255
92,640,1052,253,192,2678,4047,78,221,828
126,755,1693,349,234,3352,4862,110,249,1034
164,1072,1890,479,294,4988,6914,143,436,1651
151,989,1827,458,254,4418,6323,125,422,1455
136,1013,1924,463,313,3861,6071,122,401,1440
173,952,1706,404,293,3858,6015,111,389,1412
128,789,1345,303,254,3301,5037,137,288,1275
75,606,943,240,240,2836,3814,81,232,943
128,631,1342,273,211,2885,4163,95,212,1053
174,818,1809,417,269,3478,5353,98,325,1178
190,1098,2321,468,313,4260,5933,145,408,1463
172,986,2259,478,311,4795,5907,109,401,1474
164,935,2227,475,352,4977,5503,143,369,1362
166,792,1788,470,216,5061,5156,136,309,1303
135,609,1110,393,266,4080,4371,96,265,941
126,698,1156,362,271,3903,4402,98,232,1003
167,906,1608,486,282,5362,5833,117,407,1294
233,1033,1665,565,268,5235,6851,152,418,1447
181,920,1639,482,300,5079,6155,150,434,1460
194,981,1618,439,259,4956,6189,128,361,1477
118,776,1387,367,260,4489,5917,130,359,1284
113,622,984,290,235,3491,4592,127,219,937
112,691,1200,291,218,3820,4410,81,274,1002
158,1116,1690,487,304,5269,6014,115,479,1492
125,830,1335,389,245,4394,5603,118,371,1226
158,924,1697,458,264,5044,6205,106,444,1560
149,840,1559,454,254,4876,5679,144,410,1413
138,831,1337,321,240,4646,5074,109,308,1288
72,538,880,246,190,3577,4035,97,240,863
84,596,1058,302,207,4069,4570,106,250,989
138,904,1526,452,251,5574,5770,132,418,1338
181,1005,1531,403,274,5643,5914,179,445,1550
143,945,1629,490,308,5587,6038,141,423,1516
161,969,1590,460,282,5259,5610,121,399,1495
127,715,1285,322,233,4959,5186,99,378,1327
82,471,896,215,178,3744,4041,79,215,885
100,587,1058,297,209,3994,4414,104,243,978
164,842,1359,424,298,5560,5373,106,458,1270
152,882,1537,370,405,5663,5785,133,469,1400
116,786,1602,456,315,5442,5773,118,406,1419
124,772,1406,337,223,5325,5073,95,384,1285
127,692,1252,266,194,4739,5133,112,316,1082
93,483,912,197,169,3754,3826,192,206,739
82,504,939,244,183,3912,3938,161,175,787
135,714,1242,261,201,5242,4898,94,247,1156
158,794,1571,323,229,5794,5417,142,334,1221
118,843,1627,350,262,6095,5761,132,392,1438
165,818,1610,334,249,5724,5852,140,374,1393
123,779,1395,249,244,5371,5438,130,348,1487
78,470,932,209,173,4143,4300,85,172,1200
70,554,1032,239,193,4238,4295,90,221,996
111,815,1479,380,252,5869,5685,111,355,1412
121,833,1646,340,298,6229,6224,107,389,1484
136,774,1507,352,267,5390,5473,144,306,1343
140,755,1581,322,231,5367,5892,128,334,1314
102,625,1370,267,239,4872,5551,121,288,1177
