"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"1952.0","3922.0","4773.0","283.0","30.0","4523.0","3283.0","13.0","696.0","221.0"
"2148.0","4064.0","4856.0","316.0","36.0","4574.0","3527.0","16.0","729.0","253.0"
"2927.0","5435.0","6258.0","443.0","48.0","5188.0","4354.0","16.0","962.0","283.0"
"3066.0","5682.0","6766.0","435.0","35.0","5515.0","4638.0","16.0","1084.0","390.0"
"3017.0","5876.0","7062.0","418.0","43.0","5002.0","4703.0","14.0","999.0","287.0"
"2747.0","5517.0","6293.0","372.0","33.0","4891.0","4081.0","14.0","929.0","282.0"
"2546.0","4565.0","5369.0","347.0","34.0","4189.0","3584.0","9.0","810.0","246.0"
"1788.0","3294.0","4612.0","286.0","30.0","3587.0","2829.0","16.0","602.0","195.0"
"1660.0","3209.0","4152.0","279.0","30.0","3651.0","2734.0","15.0","687.0","181.0"
"2453.0","4742.0","5660.0","339.0","34.0","4742.0","3586.0","10.0","919.0","240.0"
"2576.0","4719.0","5979.0","355.0","39.0","4649.0","3781.0","8.0","818.0","235.0"
"2416.0","4682.0","6007.0","299.0","39.0","4374.0","3614.0","7.0","864.0","270.0"
"2137.0","4254.0","5439.0","327.0","34.0","4066.0","3632.0","11.0","791.0","226.0"
"1518.0","3051.0","3781.0","229.0","21.0","3163.0","2468.0","6.0","468.0","143.0"
"1152.0","2290.0","3194.0","164.0","23.0","2705.0","1966.0","7.0","362.0","160.0"
"1498.0","2721.0","3777.0","223.0","24.0","3277.0","2481.0","10.0","477.0","159.0"
"1801.0","3482.0","4809.0","295.0","26.0","3731.0","3003.0","5.0","662.0","168.0"
"1987.0","3901.0","5113.0","310.0","45.0","4110.0","3441.0","10.0","688.0","220.0"
"2465.0","4316.0","5862.0","304.0","34.0","4374.0","3756.0","9.0","772.0","190.0"
"2285.0","4111.0","5382.0","300.0","29.0","3991.0","3311.0","10.0","719.0","183.0"
"1714.0","3161.0","4337.0","277.0","26.0","3657.0","2627.0","7.0","615.0","152.0"
"1386.0","2512.0","3442.0","214.0","26.0","3131.0","2400.0","2.0","453.0","108.0"
"1706.0","3246.0","4434.0","313.0","25.0","4046.0","2876.0","6.0","510.0","143.0"
"2585.0","4363.0","5713.0","328.0","33.0","4815.0","3670.0","8.0","754.0","199.0"
"6508.0","5951.0","7113.0","423.0","46.0","5570.0","4594.0","7.0","803.0","250.0"
"5118.0","5980.0","7260.0","433.0","41.0","5381.0","4867.0","11.0","894.0","279.0"
"4153.0","6061.0","7814.0","415.0","43.0","5664.0","4964.0","14.0","947.0","303.0"
"3514.0","5572.0","6835.0","421.0","36.0","5207.0","4378.0","9.0","925.0","277.0"
"2233.0","3990.0","4916.0","290.0","30.0","4152.0","3201.0","12.0","689.0","209.0"
"2105.0","3952.0","4957.0","313.0","21.0","4634.0","3319.0","15.0","665.0","177.0"
"2965.0","5460.0","7201.0","422.0","48.0","5608.0","4328.0","5.0","951.0","276.0"
