"Listeriosis","Listeria_monocytogenes","Central_nervous_system","Meningitis","Meningoencephalitis","Brain_abscess","Immunodeficiency","Gastroenteritis","Gentamicin","Listeria"
"326.0","534.0","1892.0","14746.0","162.0","240.0","449.0","4347.0","887.0","676.0"
"326.0","550.0","2043.0","6512.0","165.0","264.0","475.0","4879.0","909.0","734.0"
"428.0","740.0","2840.0","8103.0","206.0","292.0","577.0","6481.0","1287.0","999.0"
"432.0","757.0","2821.0","8277.0","188.0","310.0","639.0","6548.0","1232.0","995.0"
"438.0","760.0","2574.0","7967.0","188.0","255.0","561.0","6069.0","1248.0","1044.0"
"409.0","699.0","2446.0","7480.0","185.0","283.0","557.0","5626.0","1219.0","1185.0"
"256.0","478.0","1760.0","6317.0","147.0","250.0","408.0","4867.0","910.0","824.0"
"210.0","315.0","1179.0","5001.0","153.0","189.0","320.0","4138.0","642.0","545.0"
"172.0","251.0","1258.0","5197.0","148.0","201.0","317.0","4477.0","682.0","546.0"
"280.0","356.0","1763.0","6522.0","158.0","249.0","448.0","7825.0","993.0","776.0"
"289.0","380.0","1569.0","6730.0","147.0","290.0","440.0","6578.0","1014.0","744.0"
"315.0","377.0","1474.0","6257.0","141.0","264.0","418.0","6147.0","938.0","765.0"
"247.0","285.0","1302.0","5670.0","126.0","208.0","351.0","5949.0","799.0","608.0"
"169.0","155.0","944.0","4426.0","83.0","147.0","278.0","4068.0","621.0","497.0"
"131.0","143.0","726.0","3550.0","80.0","138.0","194.0","3128.0","513.0","403.0"
"256.0","233.0","1551.0","4330.0","113.0","173.0","242.0","4473.0","700.0","762.0"
"255.0","296.0","1525.0","5351.0","133.0","231.0","319.0","5921.0","806.0","582.0"
"217.0","325.0","1187.0","5719.0","135.0","215.0","325.0","6390.0","852.0","631.0"
"247.0","362.0","1218.0","6358.0","163.0","249.0","362.0","6610.0","883.0","661.0"
"208.0","317.0","1154.0","5835.0","155.0","234.0","368.0","6323.0","858.0","574.0"
"200.0","261.0","1014.0","5030.0","112.0","172.0","305.0","5210.0","734.0","482.0"
"191.0","182.0","984.0","4448.0","104.0","159.0","270.0","4628.0","609.0","457.0"
"241.0","252.0","1299.0","5655.0","122.0","182.0","314.0","5602.0","725.0","516.0"
"273.0","462.0","1770.0","6666.0","196.0","227.0","409.0","6978.0","1004.0","698.0"
"261.0","445.0","1911.0","7270.0","166.0","276.0","410.0","7307.0","1067.0","865.0"
"306.0","539.0","2068.0","7570.0","198.0","260.0","542.0","7309.0","1169.0","831.0"
"343.0","517.0","2071.0","8304.0","203.0","305.0","598.0","7525.0","1264.0","856.0"
"239.0","448.0","1894.0","10795.0","200.0","324.0","493.0","7110.0","1122.0","721.0"
"185.0","288.0","1396.0","12031.0","152.0","233.0","438.0","5223.0","862.0","568.0"
"257.0","402.0","1637.0","6200.0","178.0","288.0","440.0","5700.0","975.0","750.0"
"254.0","448.0","2217.0","7722.0","212.0","314.0","589.0","7342.0","1144.0","725.0"
"336.0","539.0","2461.0","8469.0","205.0","357.0","601.0","7412.0","1316.0","931.0"
"261.0","547.0","2349.0","8452.0","223.0","330.0","525.0","7015.0","1254.0","826.0"
"341.0","552.0","2415.0","7840.0","216.0","329.0","540.0","6786.0","1212.0","915.0"
"317.0","445.0","2100.0","8200.0","163.0","328.0","472.0","6417.0","1177.0","812.0"
"231.0","311.0","1539.0","6012.0","137.0","251.0","362.0","4586.0","808.0","615.0"
"252.0","338.0","1928.0","6729.0","160.0","261.0","442.0","5387.0","996.0","657.0"
"345.0","469.0","2343.0","7551.0","158.0","319.0","520.0","6775.0","1133.0","1126.0"
"431.0","615.0","2715.0","8557.0","212.0","342.0","597.0","7651.0","1298.0","1541.0"
"349.0","648.0","2680.0","8393.0","174.0","295.0","595.0","7377.0","1407.0","1165.0"
"328.0","698.0","3009.0","10244.0","221.0","336.0","684.0","6884.0","1365.0","1043.0"
"337.0","517.0","2406.0","7884.0","185.0","287.0","538.0","6100.0","1204.0","1061.0"
"223.0","359.0","1954.0","6805.0","183.0","217.0","389.0","4975.0","970.0","703.0"
"272.0","475.0","2268.0","7313.0","141.0","253.0","497.0","6631.0","963.0","739.0"
"353.0","653.0","2922.0","8971.0","213.0","305.0","586.0","7821.0","1354.0","984.0"
"322.0","606.0","2818.0","9553.0","209.0","284.0","550.0","6411.0","1156.0","848.0"
"343.0","690.0","2895.0","8592.0","230.0","307.0","621.0","6450.0","1186.0","1159.0"
