"Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"3994.0","179.0","203.0","4638.0","26.0","8.0","2130.0","659.0","57.0","1537.0"
"4139.0","190.0","232.0","5071.0","56.0","7.0","2291.0","768.0","58.0","1797.0"
"5316.0","274.0","260.0","6132.0","44.0","9.0","2528.0","902.0","62.0","2171.0"
"5284.0","247.0","263.0","6201.0","54.0","4.0","2374.0","1093.0","47.0","2283.0"
"5174.0","213.0","252.0","5997.0","42.0","12.0","2462.0","890.0","56.0","2122.0"
"4973.0","257.0","255.0","5621.0","31.0","5.0","2408.0","885.0","62.0","2138.0"
"3979.0","193.0","180.0","4987.0","46.0","9.0","2106.0","648.0","57.0","1610.0"
"3305.0","123.0","151.0","4453.0","29.0","19.0","1960.0","549.0","35.0","1001.0"
"3432.0","121.0","170.0","4992.0","20.0","8.0","1953.0","598.0","37.0","1170.0"
"4706.0","186.0","199.0","6163.0","26.0","5.0","2364.0","800.0","60.0","1503.0"
"4610.0","161.0","188.0","6208.0","44.0","8.0","2381.0","803.0","46.0","1574.0"
"4413.0","114.0","190.0","5811.0","44.0","10.0","2170.0","797.0","50.0","1499.0"
"3763.0","134.0","167.0","5036.0","36.0","2.0","2122.0","696.0","26.0","1225.0"
"2848.0","87.0","124.0","3876.0","27.0","3.0","1623.0","540.0","23.0","902.0"
"2384.0","72.0","101.0","3364.0","21.0","6.0","1265.0","391.0","29.0","722.0"
"3024.0","115.0","161.0","4594.0","21.0","4.0","1995.0","470.0","36.0","859.0"
"3615.0","114.0","149.0","5491.0","40.0","4.0","2094.0","564.0","39.0","1028.0"
"3789.0","126.0","177.0","5695.0","34.0","5.0","2127.0","632.0","29.0","1246.0"
"4310.0","151.0","193.0","6094.0","29.0","8.0","2303.0","813.0","38.0","1315.0"
"3976.0","147.0","173.0","5507.0","38.0","5.0","2181.0","828.0","27.0","1215.0"
"3578.0","94.0","170.0","4852.0","30.0","4.0","1786.0","644.0","25.0","972.0"
"3007.0","99.0","134.0","4315.0","23.0","7.0","2807.0","558.0","34.0","923.0"
"3935.0","119.0","173.0","5497.0","15.0","9.0","2118.0","681.0","37.0","1140.0"
"4519.0","171.0","219.0","6307.0","27.0","5.0","2460.0","849.0","61.0","1535.0"
"4894.0","192.0","206.0","6652.0","37.0","9.0","2493.0","1054.0","43.0","1853.0"
"5264.0","203.0","227.0","6935.0","34.0","6.0","2480.0","1300.0","44.0","2150.0"
"5467.0","221.0","227.0","6826.0","36.0","6.0","2555.0","1469.0","49.0","3563.0"
"5488.0","181.0","243.0","6138.0","30.0","7.0","2489.0","1331.0","54.0","2682.0"
"3853.0","135.0","190.0","5020.0","28.0","6.0","2090.0","1013.0","24.0","1600.0"
"4033.0","238.0","204.0","5419.0","37.0","8.0","2296.0","1203.0","59.0","1878.0"
"5285.0","219.0","238.0","6334.0","33.0","13.0","2619.0","1230.0","52.0","2433.0"
"5332.0","199.0","232.0","6682.0","33.0","10.0","2629.0","1187.0","44.0","2597.0"
"5225.0","203.0","220.0","6478.0","45.0","3.0","2666.0","1494.0","62.0","2482.0"
"5433.0","222.0","223.0","6391.0","37.0","10.0","2565.0","1623.0","48.0","2535.0"
"5376.0","188.0","251.0","6067.0","50.0","9.0","2431.0","1472.0","62.0","2043.0"
"4235.0","142.0","197.0","4873.0","27.0","4.0","2071.0","971.0","44.0","1519.0"
"4525.0","170.0","213.0","5787.0","41.0","11.0","4647.0","1163.0","42.0","1893.0"
"5190.0","263.0","235.0","6371.0","50.0","6.0","2663.0","1292.0","43.0","2516.0"
"5911.0","202.0","247.0","7202.0","37.0","13.0","2791.0","1444.0","67.0","2549.0"
"6306.0","231.0","267.0","6926.0","55.0","13.0","2904.0","1628.0","56.0","2966.0"
"10321.0","223.0","355.0","6781.0","49.0","9.0","2706.0","1659.0","66.0","2669.0"
"6406.0","179.0","288.0","5705.0","44.0","8.0","2391.0","1229.0","54.0","2220.0"
"4732.0","181.0","211.0","5341.0","39.0","5.0","2290.0","1132.0","43.0","1679.0"
"4295.0","141.0","218.0","6125.0","34.0","8.0","2410.0","1119.0","45.0","2075.0"
"5315.0","250.0","280.0","7004.0","46.0","9.0","2851.0","1338.0","76.0","2573.0"
"5555.0","226.0","258.0","6655.0","56.0","17.0","2587.0","1280.0","57.0","2488.0"
"5510.0","248.0","245.0","6673.0","33.0","11.0","2360.0","1430.0","71.0","2411.0"
"4818.0","202.0","258.0","5709.0","50.0","10.0","2037.0","1153.0","61.0","1894.0"
"4540.0","176.0","212.0","5105.0","47.0","21.0","1837.0","1098.0","46.0","1574.0"
"3551.0","122.0","176.0","4413.0","40.0","11.0","1667.0","786.0","42.0","1080.0"
"3908.0","138.0","192.0","4967.0","54.0","8.0","1758.0","858.0","46.0","1309.0"
"4966.0","201.0","244.0","6045.0","52.0","10.0","2254.0","1185.0","88.0","2007.0"
"4723.0","195.0","234.0","6050.0","34.0","5.0","2075.0","1041.0","37.0","2053.0"
"4618.0","190.0","251.0","5672.0","38.0","7.0","1996.0","1132.0","39.0","2149.0"
"4733.0","216.0","230.0","5469.0","35.0","7.0","1903.0","1148.0","43.0","1990.0"
"4367.0","177.0","253.0","4959.0","39.0","6.0","1803.0","1058.0","43.0","1620.0"
"3228.0","117.0","179.0","4191.0","24.0","8.0","1542.0","780.0","27.0","1203.0"
"3628.0","142.0","231.0","4935.0","39.0","5.0","1794.0","925.0","44.0","1482.0"
"4626.0","211.0","238.0","6030.0","38.0","6.0","2357.0","1205.0","60.0","2062.0"
"4722.0","221.0","262.0","5834.0","34.0","10.0","2057.0","1192.0","43.0","1980.0"
"4558.0","199.0","219.0","5838.0","39.0","6.0","2020.0","1265.0","51.0","1899.0"
"4724.0","178.0","227.0","5526.0","35.0","9.0","1979.0","1274.0","76.0","1980.0"
"4294.0","176.0","193.0","4915.0","36.0","4.0","1723.0","1101.0","38.0","1519.0"
"3367.0","133.0","177.0","4708.0","29.0","6.0","1629.0","833.0","36.0","1059.0"
"3400.0","131.0","183.0","4779.0","44.0","13.0","1718.0","884.0","40.0","1347.0"
"4613.0","227.0","234.0","5919.0","42.0","12.0","1979.0","1085.0","59.0","1818.0"
"4578.0","197.0","210.0","5792.0","47.0","4.0","2096.0","1051.0","35.0","1850.0"
"5077.0","222.0","261.0","6013.0","44.0","9.0","2101.0","1220.0","59.0","2008.0"
"4970.0","230.0","223.0","5600.0","45.0","11.0","2026.0","1179.0","47.0","1844.0"
"4581.0","158.0","204.0","4806.0","50.0","6.0","2063.0","935.0","36.0","1545.0"
"3375.0","126.0","190.0","3954.0","25.0","13.0","1672.0","767.0","33.0","1153.0"
"3750.0","138.0","197.0","4852.0","40.0","0.0","1873.0","851.0","34.0","2061.0"
"4801.0","208.0","267.0","5857.0","40.0","7.0","2211.0","1161.0","47.0","1946.0"
"5025.0","191.0","301.0","5607.0","35.0","10.0","2137.0","1024.0","50.0","1904.0"
"5031.0","188.0","290.0","5388.0","44.0","7.0","2058.0","1081.0","49.0","1970.0"
"5599.0","237.0","301.0","5197.0","45.0","11.0","2172.0","1086.0","65.0","2010.0"
"6858.0","193.0","304.0","4593.0","37.0","8.0","1833.0","974.0","45.0","1592.0"
"4512.0","123.0","202.0","3837.0","38.0","5.0","1542.0","716.0","48.0","1209.0"
"4689.0","136.0","228.0","4456.0","30.0","10.0","1955.0","835.0","42.0","1510.0"
"6063.0","212.0","287.0","5489.0","52.0","5.0","2344.0","1118.0","38.0","2094.0"
"5406.0","216.0","287.0","5171.0","49.0","7.0","2186.0","1107.0","52.0","2174.0"
"5957.0","262.0","293.0","5344.0","53.0","9.0","2272.0","1346.0","43.0","2296.0"
"5518.0","187.0","277.0","4747.0","43.0","16.0","2086.0","1196.0","47.0","3645.0"
"4967.0","187.0","260.0","4399.0","53.0","12.0","1961.0","998.0","54.0","3020.0"
"3790.0","136.0","186.0","3671.0","38.0","8.0","1593.0","761.0","38.0","1230.0"
"4110.0","157.0","253.0","4090.0","42.0","12.0","1857.0","851.0","49.0","1511.0"
"5479.0","206.0","302.0","5420.0","40.0","8.0","2486.0","1140.0","51.0","4353.0"
