"Malaria","Malaria_vaccine","Protozoa","Plasmodium","Fever","Jaundice","Epileptic_seizure","Anopheles","Plasmodium_falciparum","Sepsis"
"5871.0","165.0","1302.0","508.0","4638.0","4523.0","1727.0","318.0","436.0","3265.0"
"6660.0","173.0","1630.0","580.0","5071.0","4574.0","1954.0","354.0","567.0","3488.0"
"7971.0","245.0","2369.0","693.0","6132.0","5188.0","2302.0","389.0","662.0","4606.0"
"8060.0","281.0","2291.0","749.0","6201.0","5515.0","2321.0","426.0","753.0","4438.0"
"7758.0","227.0","1934.0","703.0","5997.0","5002.0","2034.0","370.0","711.0","4302.0"
"7232.0","212.0","1682.0","583.0","5621.0","4891.0","5415.0","404.0","611.0","4059.0"
"5851.0","155.0","1301.0","782.0","4987.0","4189.0","2094.0","261.0","413.0","3362.0"
"4438.0","124.0","963.0","305.0","4453.0","3587.0","1535.0","205.0","309.0","2784.0"
"4783.0","124.0","1064.0","335.0","4992.0","3651.0","1698.0","246.0","310.0","3294.0"
"6415.0","176.0","1415.0","423.0","6163.0","4742.0","1983.0","318.0","555.0","4707.0"
"5946.0","139.0","1221.0","374.0","6208.0","4649.0","1909.0","266.0","403.0","3823.0"
"5598.0","171.0","1103.0","336.0","5811.0","4374.0","1788.0","253.0","460.0","3976.0"
"5197.0","155.0","921.0","283.0","5036.0","4066.0","1776.0","186.0","345.0","3386.0"
"4419.0","84.0","711.0","246.0","3876.0","3163.0","1403.0","145.0","229.0","2491.0"
"3478.0","96.0","625.0","176.0","3364.0","2705.0","1022.0","111.0","203.0","2024.0"
"4254.0","102.0","684.0","187.0","4594.0","3277.0","1455.0","144.0","273.0","2425.0"
"4848.0","140.0","813.0","252.0","5491.0","3731.0","2335.0","192.0","288.0","3267.0"
"5174.0","158.0","934.0","265.0","5695.0","4110.0","2085.0","158.0","303.0","3416.0"
"5964.0","159.0","1048.0","303.0","6094.0","4374.0","1940.0","210.0","337.0","3960.0"
"5111.0","140.0","940.0","283.0","5507.0","3991.0","1819.0","194.0","328.0","3675.0"
"4559.0","125.0","772.0","247.0","4852.0","3657.0","1584.0","143.0","262.0","3075.0"
"4417.0","118.0","727.0","236.0","4315.0","3131.0","1394.0","118.0","245.0","2534.0"
"6044.0","136.0","1172.0","313.0","5497.0","4046.0","1826.0","204.0","324.0","3278.0"
"6926.0","198.0","1401.0","485.0","6307.0","4815.0","2069.0","252.0","422.0","4221.0"
"7438.0","224.0","1686.0","405.0","6652.0","5570.0","1997.0","227.0","520.0","4364.0"
"7331.0","236.0","1800.0","468.0","6935.0","5381.0","2223.0","271.0","488.0","4498.0"
"7775.0","241.0","1871.0","529.0","6826.0","5664.0","2317.0","320.0","527.0","4905.0"
"7106.0","225.0","1787.0","486.0","6138.0","5207.0","2160.0","259.0","506.0","4398.0"
"6199.0","179.0","1316.0","349.0","5020.0","4152.0","1760.0","226.0","368.0","3507.0"
"6643.0","173.0","1540.0","431.0","5419.0","4634.0","1970.0","240.0","446.0","3646.0"
"7515.0","241.0","1986.0","473.0","6334.0","5608.0","2136.0","279.0","499.0","4229.0"
"7541.0","233.0","2090.0","513.0","6682.0","5968.0","2164.0","285.0","441.0","4633.0"
"7891.0","249.0","2199.0","667.0","6478.0","5561.0","2120.0","345.0","505.0","4513.0"
"7803.0","242.0","2077.0","564.0","6391.0","5968.0","2466.0","317.0","491.0","4395.0"
