"Measles","Sneeze","Measles_virus","Measles_vaccine","MMR_vaccine","MMRV_vaccine","Fever","Rhinitis","Conjunctivitis","Airborne_disease"
"2857.0","1007.0","24.0","43.0","983.0","38.0","4638.0","1027.0","4852.0","51.0"
"3539.0","1146.0","35.0","27.0","1013.0","31.0","5071.0","1033.0","5060.0","69.0"
"3908.0","1261.0","48.0","49.0","1774.0","74.0","6132.0","1349.0","6407.0","75.0"
"3718.0","1332.0","56.0","44.0","1663.0","35.0","6201.0","1333.0","6434.0","87.0"
"3516.0","1222.0","30.0","51.0","1699.0","65.0","5997.0","1299.0","5955.0","74.0"
"3668.0","1232.0","39.0","50.0","1591.0","65.0","5621.0","1360.0","5760.0","85.0"
"2827.0","1104.0","25.0","33.0","1109.0","45.0","4987.0","1105.0","5079.0","63.0"
"2476.0","1080.0","28.0","19.0","763.0","27.0","4453.0","849.0","4392.0","52.0"
"2739.0","1031.0","29.0","28.0","756.0","29.0","4992.0","898.0","4760.0","62.0"
"3701.0","1240.0","39.0","35.0","1156.0","62.0","6163.0","1240.0","6359.0","76.0"
"3135.0","1312.0","29.0","36.0","1201.0","61.0","6208.0","1225.0","5980.0","59.0"
"2766.0","1269.0","26.0","28.0","1079.0","51.0","5811.0","1136.0","5738.0","73.0"
"2572.0","1145.0","28.0","21.0","899.0","52.0","5036.0","1128.0","4977.0","64.0"
"2318.0","894.0","22.0","24.0","642.0","29.0","3876.0","809.0","3804.0","59.0"
"1906.0","760.0","11.0","9.0","415.0","22.0","3364.0","588.0","2975.0","53.0"
"2392.0","903.0","23.0","25.0","557.0","33.0","4594.0","854.0","3771.0","42.0"
"2552.0","1108.0","23.0","15.0","836.0","42.0","5491.0","1033.0","4550.0","45.0"
"2869.0","1219.0","20.0","24.0","936.0","42.0","5695.0","1222.0","5008.0","65.0"
"3261.0","1229.0","17.0","24.0","1076.0","51.0","6094.0","1255.0","5377.0","66.0"
"2920.0","1154.0","23.0","22.0","1038.0","40.0","5507.0","1135.0","4941.0","67.0"
"2422.0","1018.0","7.0","22.0","688.0","39.0","4852.0","904.0","4307.0","49.0"
"2210.0","884.0","19.0","15.0","596.0","21.0","4315.0","755.0","4200.0","64.0"
"2932.0","1240.0","10.0","24.0","809.0","20.0","5497.0","1058.0","5135.0","67.0"
"3416.0","1220.0","22.0","34.0","1177.0","55.0","6307.0","1306.0","5917.0","75.0"
"3480.0","1254.0","35.0","34.0","1598.0","66.0","6652.0","1391.0","6317.0","89.0"
"3698.0","1324.0","38.0","42.0","1742.0","75.0","6935.0","1475.0","6172.0","91.0"
"6168.0","1411.0","47.0","61.0","5479.0","114.0","6826.0","1513.0","6528.0","90.0"
"4849.0","1524.0","37.0","70.0","5169.0","118.0","6138.0","1423.0","6040.0","101.0"
"3275.0","1128.0","25.0","43.0","3002.0","70.0","5020.0","1112.0","5098.0","67.0"
"3602.0","1208.0","33.0","43.0","2696.0","68.0","5419.0","1179.0","5442.0","74.0"
"4257.0","1256.0","36.0","51.0","2961.0","107.0","6334.0","1501.0","6607.0","136.0"
"4252.0","1273.0","55.0","63.0","2621.0","96.0","6682.0","1488.0","6266.0","153.0"
"4051.0","1387.0","43.0","47.0","2650.0","101.0","6478.0","1442.0","5992.0","124.0"
"4033.0","1314.0","68.0","44.0","2817.0","100.0","6391.0","1415.0","5855.0","86.0"
"3552.0","1285.0","48.0","37.0","2305.0","78.0","6067.0","1302.0","6076.0","96.0"
