"Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2102.0","195.0","3468.0","4638.0","292.0","51.0","30.0","116.0","1152.0","282.0"
"2151.0","195.0","4038.0","5071.0","327.0","69.0","32.0","89.0","1165.0","279.0"
"2736.0","213.0","5096.0","6132.0","466.0","75.0","57.0","147.0","1493.0","372.0"
"3076.0","267.0","5273.0","6201.0","420.0","87.0","54.0","121.0","1498.0","369.0"
"3018.0","213.0","4769.0","5997.0","389.0","74.0","43.0","124.0","1383.0","354.0"
"2833.0","191.0","4540.0","5621.0","308.0","85.0","53.0","90.0","1335.0","374.0"
"2391.0","169.0","3900.0","4987.0","235.0","63.0","26.0","60.0","1176.0","279.0"
"1878.0","128.0","3416.0","4453.0","174.0","52.0","24.0","84.0","972.0","185.0"
"1706.0","168.0","3685.0","4992.0","152.0","62.0","13.0","62.0","881.0","182.0"
"2520.0","169.0","4939.0","6163.0","218.0","76.0","18.0","84.0","1264.0","280.0"
"2668.0","159.0","5269.0","6208.0","232.0","59.0","28.0","100.0","1302.0","324.0"
"2613.0","175.0","5086.0","5811.0","170.0","73.0","27.0","88.0","1314.0","289.0"
"2348.0","183.0","4357.0","5036.0","163.0","64.0","26.0","84.0","1135.0","252.0"
"1726.0","117.0","3271.0","3876.0","128.0","59.0","17.0","52.0","794.0","149.0"
"1136.0","75.0","2505.0","3364.0","80.0","53.0","18.0","35.0","650.0","110.0"
"1497.0","107.0","3483.0","4594.0","110.0","42.0","25.0","60.0","948.0","129.0"
"1926.0","119.0","4237.0","5491.0","184.0","45.0","22.0","80.0","1156.0","195.0"
"2093.0","103.0","4749.0","5695.0","180.0","65.0","19.0","77.0","1343.0","265.0"
"2555.0","153.0","6000.0","6094.0","196.0","66.0","21.0","81.0","1253.0","281.0"
"2187.0","118.0","4623.0","5507.0","188.0","67.0","19.0","80.0","1205.0","284.0"
"1796.0","76.0","3735.0","4852.0","158.0","49.0","31.0","62.0","963.0","202.0"
