Q_fever,Fever,Zoonosis,Infection,Echocardiography#Transesophageal_echocardiogram,Alanine_transaminase,Hepatitis,Hepatomegaly,Coxiella_burnetii,Inhalation
287,4638,599,1816,912,576,3283,426,148,200
341,5071,687,1972,780,558,3527,518,173,236
431,6132,1030,2471,1354,827,4354,566,181,361
481,6201,1025,2390,1494,823,4638,665,211,379
385,5997,962,2229,1423,778,4703,624,170,337
400,5621,876,2272,1389,711,4081,569,169,312
348,4987,628,1742,1151,632,3584,511,120,230
234,4453,483,1359,632,455,2829,338,48,197
242,4992,551,1649,598,390,2734,313,82,184
334,6163,561,2148,1171,617,3586,456,128,266
369,6208,609,2035,1269,628,3781,503,118,203
302,5811,604,1872,1131,776,3614,455,122,184
318,5036,633,1793,992,585,3632,398,98,175
216,3876,421,1332,569,412,2468,340,75,155
187,3364,290,935,372,266,1966,205,54,96
247,4594,445,1252,495,274,2481,249,69,142
271,5491,498,1593,755,398,3003,360,78,147
355,5695,475,1613,1005,561,3441,437,69,201
296,6094,531,1832,1056,604,3756,470,109,214
284,5507,485,1751,990,611,3311,482,97,167
230,4852,435,1583,687,407,2627,348,73,135
213,4315,336,1250,484,307,2400,303,82,116
277,5497,486,1526,618,363,2876,355,75,188
3822,6307,752,1976,1145,591,3670,524,128,222
577,6652,663,2108,1426,698,4594,481,122,301
475,6935,715,2303,1506,795,4867,622,138,314
461,6826,786,2449,1463,855,4964,530,163,367
449,6138,824,2283,1391,712,4378,621,157,285
280,5020,498,1702,841,483,3201,428,87,226
334,5419,613,1944,853,458,3319,410,110,270
445,6334,755,2365,1382,692,4328,602,163,345
479,6682,885,2522,1556,834,4635,598,173,344
393,6478,943,2375,1383,752,4478,602,139,294
434,6391,840,2431,1575,843,4515,670,160,360
414,6067,779,2397,1370,791,4429,604,132,303
272,4873,593,1794,866,536,3284,436,123,229
348,5787,627,1914,880,434,3427,443,113,266
476,6371,792,2230,1447,691,4368,580,149,334
526,7202,966,2547,1808,891,5073,709,146,356
477,6926,1094,2678,1916,919,5164,695,164,398
505,6781,1446,2601,1648,857,4987,739,178,368
368,5705,1155,2161,1369,766,4229,610,132,316
310,5341,769,2015,954,557,3657,520,92,245
349,6125,825,1886,944,462,3506,476,133,272
494,7004,1233,2474,1532,825,4582,674,161,316
469,6655,1437,2323,1612,824,4108,665,154,318
417,6673,1508,2460,1786,862,4472,746,153,344
475,5709,1147,2131,1452,780,3902,672,168,269
441,5105,1041,2028,1335,721,3644,519,133,240
335,4413,728,1515,763,523,2747,455,122,185
320,4967,761,1602,798,483,2840,345,128,184
422,6045,1038,2162,1455,731,4102,623,160,302
408,6050,942,2168,1548,837,4493,673,173,302
411,5672,962,2153,1381,772,4209,627,156,258
406,5469,934,2002,1544,860,4119,578,140,286
371,4959,858,1891,1333,710,3769,543,137,243
289,4191,633,1425,873,489,2759,344,94,150
308,4935,695,1798,869,489,3035,379,119,240
375,6030,995,2165,1553,798,3869,571,172,296
411,5834,963,2099,1680,785,4438,621,151,301
368,5838,867,2086,1652,842,4284,563,161,253
390,5526,826,1989,1771,837,4147,591,149,283
374,4915,622,1750,1302,719,3694,540,136,254
298,4708,593,1456,973,575,2982,434,112,178
277,4779,652,1662,807,460,2923,423,129,203
479,5919,858,2159,1530,792,3798,535,191,264
482,5792,813,2270,1585,848,4048,579,216,283
450,6013,902,2450,1710,927,4163,596,165,274
413,5600,903,2197,1598,837,3960,650,165,287
446,4806,663,1972,1403,788,3506,526,141,215
315,3954,490,1481,786,475,2847,362,116,151
343,4852,609,1612,879,522,3043,386,130,190
437,5857,832,2241,1537,842,3881,663,189,282
490,5607,809,2201,1561,823,4035,609,174,308
424,5388,899,2048,1676,935,4021,626,150,328
472,5197,907,2119,1719,944,4235,607,175,303
402,4593,684,1977,1306,742,3597,580,132,210
284,3837,535,1567,820,555,2943,441,114,188
325,4456,748,1902,804,522,3221,477,135,238
470,5489,1011,2406,1549,871,4769,649,158,339
