Week,hepatitis a symptoms,hepatitis,influenza
2010-12-05 - 2010-12-11,0.0430107527,0.1594202899,0.1595744681
2010-12-12 - 2010-12-18,0.0430107527,0.1304347826,0.1489361702
2010-12-19 - 2010-12-25,0.0430107527,0.0144927536,0.1063829787
2010-12-26 - 2011-01-01,0.0537634409,0.0289855072,0.1170212766
2011-01-02 - 2011-01-08,0.0537634409,0.2173913043,0.1808510638
2011-01-09 - 2011-01-15,0.0215053763,0.1304347826,0.170212766
2011-01-16 - 2011-01-22,0.0537634409,0.1884057971,0.2234042553
2011-01-23 - 2011-01-29,0.0215053763,0.1739130435,0.2978723404
2011-01-30 - 2011-02-05,0.0107526882,0.1304347826,0.2872340426
2011-02-06 - 2011-02-12,0.0967741935,0.1594202899,0.329787234
2011-02-13 - 2011-02-19,0.0215053763,0.1594202899,0.3723404255
2011-02-20 - 2011-02-26,0.0322580645,0.1594202899,0.3404255319
2011-02-27 - 2011-03-05,0.0322580645,0.1739130435,0.3085106383
2011-03-06 - 2011-03-12,0.0537634409,0.2028985507,0.2553191489
2011-03-13 - 2011-03-19,0.064516129,0.1739130435,0.2021276596
2011-03-20 - 2011-03-26,0.0430107527,0.1594202899,0.170212766
2011-03-27 - 2011-04-02,0.0215053763,0.2173913043,0.1489361702
2011-04-03 - 2011-04-09,0.0430107527,0.231884058,0.1276595745
2011-04-10 - 2011-04-16,0.0322580645,0.231884058,0.1170212766
2011-04-17 - 2011-04-23,0.0322580645,0.1884057971,0.085106383
2011-04-24 - 2011-04-30,0.0430107527,0.231884058,0.085106383
2011-05-01 - 2011-05-07,0.0430107527,0.2173913043,0.0744680851
2011-05-08 - 2011-05-14,0.0537634409,0.2173913043,0.0638297872
2011-05-15 - 2011-05-21,0.0322580645,0.2028985507,0.0638297872
2011-05-22 - 2011-05-28,0.0322580645,0.2028985507,0.0319148936
2011-05-29 - 2011-06-04,0.0322580645,0.1594202899,0.0319148936
2011-06-05 - 2011-06-11,0.0215053763,0.1739130435,0.0319148936
2011-06-12 - 2011-06-18,0.0215053763,0.1594202899,0.0212765957
2011-06-19 - 2011-06-25,0.064516129,0.1739130435,0.0106382979
2011-06-26 - 2011-07-02,0.0430107527,0.1594202899,0.0212765957
2011-07-03 - 2011-07-09,0.0537634409,0.1014492754,0.0106382979
2011-07-10 - 2011-07-16,0.0322580645,0.1594202899,0.0106382979
2011-07-17 - 2011-07-23,0.0430107527,0.1739130435,0.0212765957
2011-07-24 - 2011-07-30,0.0107526882,0.231884058,0.0106382979
2011-07-31 - 2011-08-06,0.0430107527,0.1739130435,0.0106382979
2011-08-07 - 2011-08-13,0.0860215054,0.1884057971,0.0212765957
2011-08-14 - 2011-08-20,0.0430107527,0.1449275362,0.0212765957
2011-08-21 - 2011-08-27,0.0430107527,0.1304347826,0.0319148936
2011-08-28 - 2011-09-03,0.0430107527,0.1449275362,0.0638297872
2011-09-04 - 2011-09-10,0.0322580645,0.1014492754,0.0744680851
2011-09-11 - 2011-09-17,0.0967741935,0.2028985507,0.1170212766
2011-09-18 - 2011-09-24,0.064516129,0.2463768116,0.1276595745
2011-09-25 - 2011-10-01,0.0752688172,0.2173913043,0.1276595745
2011-10-02 - 2011-10-08,0.0537634409,0.1884057971,0.1382978723
2011-10-09 - 2011-10-15,0.0537634409,0.2028985507,0.1382978723
2011-10-16 - 2011-10-22,0.0430107527,0.2028985507,0.1276595745
2011-10-23 - 2011-10-29,0.0537634409,0.2173913043,0.1382978723
2011-10-30 - 2011-11-05,0.0537634409,0.2463768116,0.1382978723
2011-11-06 - 2011-11-12,0.0537634409,0.231884058,0.1276595745
2011-11-13 - 2011-11-19,0.0860215054,0.2173913043,0.1276595745
2011-11-20 - 2011-11-26,0.0322580645,0.0869565217,0.085106383
2011-11-27 - 2011-12-03,0.064516129,0.1884057971,0.1276595745
2011-12-04 - 2011-12-10,0.0215053763,0.1449275362,0.1170212766
2011-12-11 - 2011-12-17,0.0537634409,0.1304347826,0.085106383
2011-12-18 - 2011-12-24,0.0215053763,0.0724637681,0.0638297872
2011-12-25 - 2011-12-31,0.0322580645,0.0289855072,0.0425531915
2012-01-01 - 2012-01-07,0.0430107527,0.115942029,0.0638297872
2012-01-08 - 2012-01-14,0.064516129,0.1739130435,0.085106383
2012-01-15 - 2012-01-21,0.0537634409,0.1884057971,0.085106383
2012-01-22 - 2012-01-28,0.0860215054,0.1884057971,0.1063829787
2012-01-29 - 2012-02-04,0.0537634409,0.2028985507,0.1382978723
2012-02-05 - 2012-02-11,0.0752688172,0.2028985507,0.1276595745
2012-02-12 - 2012-02-18,0.0430107527,0.1739130435,0.1914893617
2012-02-19 - 2012-02-25,0.0752688172,0.3768115942,0.1914893617
2012-02-26 - 2012-03-03,0.064516129,0.231884058,0.2021276596
2012-03-04 - 2012-03-10,0.0537634409,0.231884058,0.2234042553
2012-03-11 - 2012-03-17,0.0537634409,0.2028985507,0.2127659574
2012-03-18 - 2012-03-24,0.0752688172,0.1739130435,0.1914893617
2012-03-25 - 2012-03-31,0.1182795699,0.231884058,0.1595744681
2012-04-01 - 2012-04-07,0.0537634409,0.1884057971,0.1170212766
2012-04-08 - 2012-04-14,0.0860215054,0.2028985507,0.1276595745
2012-04-15 - 2012-04-21,0.0967741935,0.231884058,0.1170212766
2012-04-22 - 2012-04-28,0.0752688172,0.2028985507,0.1063829787
2012-04-29 - 2012-05-05,0.064516129,0.2173913043,0.1063829787
2012-05-06 - 2012-05-12,0.0860215054,0.2173913043,0.0957446809
2012-05-13 - 2012-05-19,0.0967741935,0.3043478261,0.0744680851
2012-05-20 - 2012-05-26,0.0752688172,0.2753623188,0.0531914894
2012-05-27 - 2012-06-02,0.064516129,0.1884057971,0.0425531915
2012-06-03 - 2012-06-09,0.0430107527,0.1884057971,0.0319148936
2012-06-10 - 2012-06-16,0.0752688172,0.2028985507,0.0319148936
2012-06-17 - 2012-06-23,0.0322580645,0.231884058,0.0319148936
2012-06-24 - 2012-06-30,0.0537634409,0.1739130435,0.0212765957
2012-07-01 - 2012-07-07,0.0537634409,0.1014492754,0
2012-07-08 - 2012-07-14,0.0322580645,0.1739130435,0.0106382979
2012-07-15 - 2012-07-21,0.064516129,0.2463768116,0.0106382979
2012-07-22 - 2012-07-28,0.0322580645,0.347826087,0.0106382979
2012-07-29 - 2012-08-04,0.0752688172,0.3333333333,0.0212765957
2012-08-05 - 2012-08-11,0.0107526882,0.1739130435,0.0212765957
2012-08-12 - 2012-08-18,0.0537634409,0.5652173913,0.0319148936
2012-08-19 - 2012-08-25,0.0430107527,0.3043478261,0.0425531915
2012-08-26 - 2012-09-01,0.064516129,0.2028985507,0.0425531915
2012-09-02 - 2012-09-08,0.0430107527,0.1739130435,0.0744680851
2012-09-09 - 2012-09-15,0.0430107527,0.1884057971,0.0957446809
2012-09-16 - 2012-09-22,0.0430107527,0.1884057971,0.1170212766
2012-09-23 - 2012-09-29,0.0537634409,0.2173913043,0.1382978723
2012-09-30 - 2012-10-06,0.0322580645,0.2173913043,0.1276595745
2012-10-07 - 2012-10-13,0.0215053763,0.1594202899,0.1276595745
2012-10-14 - 2012-10-20,0.0322580645,0.2028985507,0.1382978723
2012-10-21 - 2012-10-27,0.0430107527,0.1884057971,0.1276595745
2012-10-28 - 2012-11-03,0.0430107527,0.115942029,0.1170212766
2012-11-04 - 2012-11-10,0.0215053763,0.1014492754,0.1276595745
2012-11-11 - 2012-11-17,0.0537634409,0.1739130435,0.1595744681
2012-11-18 - 2012-11-24,0.0322580645,0.0579710145,0.1170212766
2012-11-25 - 2012-12-01,0.0537634409,0.1594202899,0.1914893617
2012-12-02 - 2012-12-08,0.0430107527,0.1739130435,0.2872340426
2012-12-09 - 2012-12-15,0.0430107527,0.1304347826,0.2872340426
2012-12-16 - 2012-12-22,0.0215053763,0.0579710145,0.3617021277
2012-12-23 - 2012-12-29,0,0,0.3936170213
2012-12-30 - 2013-01-05,0.0107526882,0.0434782609,0.5106382979
2013-01-06 - 2013-01-12,0.0215053763,0.1304347826,1
2013-01-13 - 2013-01-19,0.0322580645,0.1449275362,0.7978723404
2013-01-20 - 2013-01-26,0.0107526882,0.1304347826,0.5638297872
2013-01-27 - 2013-02-02,0.0537634409,0.1594202899,0.4361702128
2013-02-03 - 2013-02-09,0.0430107527,0.1594202899,0.3404255319
2013-02-10 - 2013-02-16,0.0215053763,0.1449275362,0.2765957447
2013-02-17 - 2013-02-23,0.0537634409,0.1739130435,0.2340425532
2013-02-24 - 2013-03-02,0.0322580645,0.1594202899,0.2234042553
2013-03-03 - 2013-03-09,0.0215053763,0.1449275362,0.2021276596
2013-03-10 - 2013-03-16,0.0322580645,0.1449275362,0.1808510638
2013-03-17 - 2013-03-23,0.0215053763,0.1739130435,0.1489361702
2013-03-24 - 2013-03-30,0.0430107527,0.2173913043,0.1489361702
2013-03-31 - 2013-04-06,0.0537634409,0.2608695652,0.1489361702
2013-04-07 - 2013-04-13,0.0860215054,0.2608695652,0.1276595745
2013-04-14 - 2013-04-20,0.064516129,0.2173913043,0.1170212766
2013-04-21 - 2013-04-27,0.0430107527,0.2173913043,0.1170212766
2013-04-28 - 2013-05-04,0.064516129,0.1884057971,0.0957446809
2013-05-05 - 2013-05-11,0.0430107527,0.2173913043,0.0744680851
2013-05-12 - 2013-05-18,0.0322580645,0.2028985507,0.0531914894
2013-05-19 - 2013-05-25,0.0537634409,0.1594202899,0.0425531915
2013-05-26 - 2013-06-01,0.2795698925,0.3623188406,0.0425531915
2013-06-02 - 2013-06-08,1,1,0.0319148936
2013-06-09 - 2013-06-15,0.311827957,0.347826087,0.0319148936
2013-06-16 - 2013-06-22,0.1397849462,0.2463768116,0.0212765957
2013-06-23 - 2013-06-29,0.1290322581,0.2463768116,0.0106382979
2013-06-30 - 2013-07-06,0.0752688172,0.1449275362,0.0106382979
2013-07-07 - 2013-07-13,0.0752688172,0.1739130435,0.0106382979
2013-07-14 - 2013-07-20,0.064516129,0.1739130435,0.0212765957
2013-07-21 - 2013-07-27,0.0752688172,0.1884057971,0.0106382979
2013-07-28 - 2013-08-03,0.0752688172,0.1884057971,0.0106382979
2013-08-04 - 2013-08-10,0.0537634409,0.1739130435,0.0106382979
2013-08-11 - 2013-08-17,0.064516129,0.1884057971,0.0212765957
2013-08-18 - 2013-08-24,0.0860215054,0.231884058,0.0425531915
2013-08-25 - 2013-08-31,0.064516129,0.2028985507,0.0638297872
2013-09-01 - 2013-09-07,0.064516129,0.1304347826,0.085106383
2013-09-08 - 2013-09-14,0.0537634409,0.1594202899,0.1063829787
2013-09-15 - 2013-09-21,0.0860215054,0.2028985507,0.1276595745
2013-09-22 - 2013-09-28,0.0860215054,0.2028985507,0.1489361702
2013-09-29 - 2013-10-05,0.0322580645,0.1304347826,0.1595744681
2013-10-06 - 2013-10-12,0.0430107527,0.1739130435,0.1489361702
2013-10-13 - 2013-10-19,0.0537634409,0.1739130435,0.170212766
2013-10-20 - 2013-10-26,0.0752688172,0.2173913043,0.170212766
2013-10-27 - 2013-11-02,0.0537634409,0.2173913043,0.1489361702
2013-11-03 - 2013-11-09,0.064516129,0.231884058,0.1489361702
2013-11-10 - 2013-11-16,0.0537634409,0.2028985507,0.1595744681
2013-11-17 - 2013-11-23,0.0537634409,0.1884057971,0.1489361702
2013-11-24 - 2013-11-30,0.0107526882,0.0724637681,0.0957446809
2013-12-01 - 2013-12-07,0.0752688172,0.2173913043,0.1595744681
2013-12-08 - 2013-12-14,0.0322580645,0.1594202899,0.1808510638
2013-12-15 - 2013-12-21,0.0215053763,0.115942029,0.2340425532
2013-12-22 - 2013-12-28,0.0322580645,0.0144927536,0.2765957447
2013-12-29 - 2014-01-04,0.0537634409,0.0724637681,0.3829787234
2014-01-05 - 2014-01-11,0.0322580645,0.1594202899,0.4680851064
2014-01-12 - 2014-01-18,0.0537634409,0.1884057971,0.4787234043
2014-01-19 - 2014-01-25,0.0322580645,0.1449275362,0.4042553191
2014-01-26 - 2014-02-01,0.0322580645,0.1594202899,0.3510638298
2014-02-02 - 2014-02-08,0.0322580645,0.115942029,0.2765957447
2014-02-09 - 2014-02-15,0.0215053763,0.1449275362,0.2340425532
2014-02-16 - 2014-02-22,0.0537634409,0.1304347826,0.2021276596
2014-02-23 - 2014-03-01,0.0860215054,0.4202898551,0.1914893617
