"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Hepatitis_A","0.272419571720732","0.220645530534315","0.25036753420037","0.306098305317289","0.122053743967132","0.0516384555777281","0.427546559511736","0.201356712386672","-0.0197193989026279","0.194706145300008","-0.0392138006844587","0.336162358834985","0.271013021052206","0.267366723730438","0.998216027557219","0.561625168580584","0.394694928106296","0.280068085689783"
"Hepatitis_B","0.549829921255983","0.149373512608115","0.524154994554207","0.547297766070512","0.401036195354954","0.0511970287885369","0.576359880149835","0.580802539894506","0.0217476408729147","0.545727956509436","-0.025072186516779","0.781718100276854","0.377947984451465","0.0360173394178488","0.546875551289826","0.987496880501225","0.698435937642453","0.729116924665252"
"Hepatitis_C","0.33426511355367","-0.282807776416644","0.0754658732197277","0.74533477678197","0.438271269623438","-0.142441517602166","0.488982677003697","0.292201126640173","0.316985997312935","0.39250903810166","-0.0240878244061327","0.565968195430971","0.316323826856633","-0.317181154363078","0.387155203946522","0.702141738779816","0.986970443823864","0.466115031816257"
"Viral_hepatitis","0.552353906604613","0.261587218136802","0.762622198223614","0.322866094259072","0.354290516142671","0.0996864526323491","0.455587239562863","0.735550664311887","-0.119328292039174","0.533061879702167","-0.0620253168346132","0.746496726835324","0.286587559247671","0.07892543939754","0.410318868267106","0.836844765381117","0.480294597977458","0.769395724738482"
"World_Hepatitis_Day","-0.0834682407172534","-0.103330641622079","-0.122015314704883","0.0260609839873705","-0.110740064019524","-0.083290672867535","-0.0521850519172583","-0.0675144254641797","0.0564478343382423","-0.0760296683282939","-0.0537006390937785","-0.115202498787105","0.141987010823032","-0.028934854924449","0.0245026996626394","0.0967129146487444","0.24950036255589","-0.187342571297722"
"Jaundice","0.486189651550491","0.0172228922872456","0.427511006884898","0.651977661620555","0.395518265353159","-0.025969558129324","0.584153615767334","0.48240876637313","0.0585429018119217","0.474624052676776","-0.0423902783295989","0.760033723398864","0.388650544652278","-0.138943677015068","0.52078539714368","0.834321270318404","0.655282925566609","0.673073023803779"
"Hepatitis","0.434003979504249","-0.102626296599339","0.142687862668943","0.781419025022022","0.409067752157633","-0.105542655089548","0.571446980122899","0.220907648647368","0.162454488923041","0.303840039030398","-0.0273513981370001","0.63104891461519","0.336026188062967","-0.158322033037441","0.57149474357106","0.763496581164799","0.780593731935501","0.494410293451931"
"Picornavirales","-0.0272380278767817","0.0840664829078373","0.0497713007744417","-0.0512213236609923","-0.0044511040665032","0.0874413719249813","-0.0255275493002876","0.0406505488948564","-0.0565824870792073","0.0377488831150018","-0.028739571914137","0.0493281303953582","-0.0257527100468534","0.0572361657823051","0.00424117774873794","0.0229133344366939","0.00267714826331113","-0.0333322440230396"
"Hepatocellular_carcinoma","0.559382543897175","0.17078339824324","0.568784712127214","0.525086298484186","0.297048796234684","0.0354802906120988","0.549311954093852","0.56407597401176","-0.00486514941481246","0.511397595501835","0.0132256564364462","0.777601404332465","0.402484600866265","-0.0194449395803912","0.448956459014215","0.862598212459988","0.611616108762277","0.743964463327879"
"Hepatitis_C_virus","0.35870167018383","0.0725585791380908","0.48198657998589","0.271980502802686","0.343058317064058","0.0133135831580437","0.450521459197813","0.605411929601222","0.154251132988656","0.417830322291796","0.0461902329157807","0.576326264637915","0.106678759796957","-0.0714015073722038","0.1994817629839","0.610720132405455","0.42547050581375","0.761661767759913"
