"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Malaria","0.549813876766526","0.0689767630897921","0.502894176758325","0.508918612674859","0.528815567952899","0.0446541350578758","0.512426066635419","0.567802776890317","0.0686333434540652","0.46429693414818","0.00187170123832829","0.991168977461168","0.122123933624752","-0.140669530551896","0.331183785637872","0.787629808877852","0.565684233333247","0.815851204280873"
"Malaria_vaccine","0.312212661352352","0.155694598383621","0.397025262250393","0.271347677077517","0.374463084794044","0.0544881802818433","0.354472580182485","0.471346490092686","0.0657363989499354","0.331657895383538","0.0010106842417982","0.682905066431752","-0.0305722085493331","-0.0141625182948872","0.184353257524131","0.540562310302181","0.358563878232647","0.680033315958086"
"Protozoa","0.343291873076755","0.166802431502051","0.456241992311142","0.1919362205242","0.479093722852567","0.0248548328492585","0.352407638525606","0.691500823888004","0.193061386592889","0.446283653458195","0.141799971789966","0.720638971129662","-0.0998577902851922","-0.00369859482511073","0.164912724153382","0.568253088372838","0.296776623138517","0.809119772895972"
"Plasmodium","0.415650712512261","0.0340823991104473","0.45458919439793","0.304064934785458","0.453472805385187","0.0684584718492985","0.445882663882046","0.632281831015706","0.202369878788296","0.469939196880566","0.120481423645458","0.733392524983195","-0.0630231878656675","-0.142702388902648","0.175535213297619","0.58916926606179","0.372455676417471","0.890856622137345"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Jaundice","0.486189651550491","0.0172228922872456","0.427511006884898","0.651977661620555","0.395518265353159","-0.025969558129324","0.584153615767334","0.48240876637313","0.0585429018119217","0.474624052676776","-0.0423902783295989","0.760033723398864","0.388650544652278","-0.138943677015068","0.52078539714368","0.834321270318404","0.655282925566609","0.673073023803779"
"Epileptic_seizure","-0.125255574184039","0.230415840568592","-0.0446821816124087","0.148915837320328","0.150051784620528","0.0338223042700938","0.114060078520094","0.271704437264714","0.272133889185188","0.119342502404883","-0.0708492583721645","0.240454860952849","0.140513378153844","0.1642501660794","0.188892929157904","0.283969383487198","0.20971744076863","0.157272131116342"
"Anopheles","0.340608657437127","0.15618925260494","0.584751928305142","0.225231533542407","0.148228750065771","0.0361068813298244","0.327790261818088","0.685762373080685","0.0522999117504303","0.500372714603699","0.0555483750932324","0.664734824891793","0.249564255122039","0.0139118170393443","0.230550851539844","0.587914071132051","0.323744683694863","0.630195388021627"
"Plasmodium_falciparum","0.42074349270382","0.0953116561030439","0.509234588156581","0.258246882296427","0.437119074330783","0.0469692674624425","0.407504664637798","0.607188020134508","0.075350794366242","0.454481016915413","0.108753188389633","0.730126447881925","-0.00437917699171186","-0.0894661524776659","0.22213343035295","0.630886930065129","0.403366136924571","0.814795355385171"
"Sepsis","0.462671988035968","0.155589350870851","0.557436064579292","0.32776521715084","0.224041233120485","0.0317169835054946","0.380993873286258","0.474753024393842","-0.0387229023010203","0.390776200101605","0.0570553292245477","0.54653885881217","0.348615865735223","-0.00213820437958567","0.318956298895317","0.605873486442998","0.384786362762506","0.545518738711257"
