"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Meningococcal_disease","0.332977188791095","-0.0697639276645215","0.429066741383946","0.285224825444451","0.18457838676326","0.0402802470760951","0.327102326043131","0.529966244340661","0.0532274088760148","0.996574809979292","0.0412719681272927","0.470025597651578","0.327187658559301","-0.124865654323303","0.194025956561143","0.556899990560848","0.396986417305443","0.512152406596196"
"Saliva","0.430821378419591","-0.0800589791344341","0.299513798825819","0.609519774335331","0.572574889535496","-0.0730983919650574","0.590827566003512","0.529003104641948","0.237594338698824","0.402227237719458","0.0298083027777729","0.800506055833367","0.0675147655863407","-0.252228235317043","0.307131225470908","0.704857462764727","0.603547887003119","0.831501966989061"
"Neisseria_meningitidis","0.425756985655879","0.145160834259609","0.481762404230541","0.227927195842979","0.421177312098549","0.126743822096403","0.513649004257727","0.591548381955062","0.152876022473401","0.480703044295478","0.0315881638999329","0.666486602187693","0.00179802064301196","-0.0235999910702783","0.180475547063771","0.634349098601345","0.346586719933232","0.864615233265161"
"Meningitis","0.405871819341547","0.0686135903630927","0.575436832469819","0.274748566432027","0.280543423246942","0.0239685845046828","0.386287229862816","0.602948534774558","-0.0457635053335447","0.577187888021342","0.00196871582459763","0.583755455666968","0.285917933002883","-0.0821086617655286","0.227471786864108","0.648546664249802","0.393254263286876","0.615016372034946"
"Meningococcal_vaccine","0.246237365434987","0.27309455599212","0.701818765621609","-0.034285734210068","-0.0485347100007607","0.109923733301746","0.210237138736397","0.666261469120464","-0.111061341177089","0.598623196821535","-0.0673149859889299","0.327712134236251","0.464900001152606","0.168769625993602","0.217065629770841","0.479678061750334","0.176984853212639","0.373899145769132"
"Common_cold","0.112442522004427","-0.086485894887294","0.168791145173538","0.288194245246983","0.763409565319605","-0.110655181836053","0.194838035930088","0.379218646273436","0.285717915963763","0.119243677560265","0.109605860193256","0.471599176087272","-0.465025868134721","-0.215886902515631","0.0401338669552746","0.320181936697415","0.244041637442535","0.635483680271369"
"Gram-negative_bacteria","0.303696276482276","-0.0520936354013263","0.33398949116669","0.265390840174475","0.530843560436416","-0.0292168390041507","0.309630382929463","0.597113675786251","0.196871587230229","0.358001970654158","0.151582314645406","0.584598710547398","-0.177033496399343","-0.197496957025341","0.115413437653586","0.465616385728654","0.291807063916818","0.775344553142296"
"Disseminated_intravascular_coagulation","0.399994249694507","0.459087763713136","0.591640446493617","0.0257742040324567","0.24196834908698","0.161923517561304","0.354780320369091","0.62383749869863","0.0342279374412981","0.406093274011209","0.0249066944793413","0.646793825718128","0.106605048129848","0.173272637464655","0.239350079672675","0.576204139736636","0.233943597252572","0.729773317841937"
"Sepsis","0.462671988035968","0.155589350870851","0.557436064579292","0.32776521715084","0.224041233120485","0.0317169835054946","0.380993873286258","0.474753024393842","-0.0387229023010203","0.390776200101605","0.0570553292245477","0.54653885881217","0.348615865735223","-0.00213820437958567","0.318956298895317","0.605873486442998","0.384786362762506","0.545518738711257"
"Rash","-0.029742634946477","-0.662230797856193","-0.635928491799259","0.651466920206754","0.177599150377187","-0.301967715502","0.196610305117457","-0.401492762752203","0.291729203803291","-0.106385157074505","0.0835557898230962","-0.0364549519540465","0.0651711097183448","-0.504280770945152","0.00624780569970555","-0.034904484938321","0.419829926698224","-0.152635769404676"
