"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Pertussis","-0.231615964712817","-0.270353785290663","-0.390877132899279","0.278511121650248","0.34579934164586","-0.175125904941953","0.208287729097172","0.0581278422020908","0.995674895323658","0.0586357659325965","-0.0179058313408577","0.0762093096574903","-0.096868507722728","-0.292752420275727","-0.0155011331586445","0.0268015048222921","0.329715284917964","0.171000144726919"
"Pathogenic_bacteria","0.132381802025564","0.0557277314273076","0.539354666304427","-0.00245628684443478","0.257095789233114","0.00332100541224674","0.114657870256316","0.707015622569279","0.174838701599244","0.42239211651449","0.203766671182102","0.43085327160351","-0.128395206319921","-0.068971843352604","0.0116805645502251","0.313732051919434","0.0698142321377986","0.634459764806977"
"Common_cold","0.112442522004427","-0.086485894887294","0.168791145173538","0.288194245246983","0.763409565319605","-0.110655181836053","0.194838035930088","0.379218646273436","0.285717915963763","0.119243677560265","0.109605860193256","0.471599176087272","-0.465025868134721","-0.215886902515631","0.0401338669552746","0.320181936697415","0.244041637442535","0.635483680271369"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Bordetella_pertussis","0.305244770101637","0.00855428783914525","0.418671008911233","0.226886169573427","0.540735064653857","0.0246155592889836","0.470883751510741","0.663362819537726","0.349381706816034","0.460833273323259","0.0041545081787363","0.641859923029183","-0.0301569513080487","-0.150055994279918","0.139910069500623","0.554877579253846","0.352326745382391","0.854401041026781"
"Airborne_disease","0.216046692990323","0.488042253243565","0.762629532623186","-0.242493263559481","0.219270695432384","0.159356168689787","0.1265156323704","0.744031093597833","-0.126299700817726","0.416776621379793","-0.0694034670573672","0.4369668079996","0.0130400562851556","0.287828356438172","0.136571927817439","0.428614568249289","-0.0328002235858748","0.609158190605926"
"Pertussis_vaccine","0.0212748279068457","0.0710207028142366","0.458614795076184","-0.126549965672856","0.308768987569079","0.0121301099570445","0.145191840653107","0.653120382155164","0.298145367081694","0.4803370940774","-0.0569861933375633","0.276087294662177","0.100370059981037","0.0301440185523303","0.0155351855253762","0.284149415384473","0.103183243972175","0.46040920736279"
"Paroxysmal_attack","0.265778640011348","0.0727698823437103","0.64360143444124","0.101917754192069","0.376514269706039","0.0433894795731416","0.249463872297416","0.831793019126965","0.0945264010291318","0.557886943767356","0.0429029941511724","0.580410971353488","0.0671672531239874","-0.0726650396096358","0.139333754908545","0.514543937835648","0.241782096134425","0.739112975387152"
"Syncope_(medicine)","0.291875750582705","-0.0177073583659616","0.525669445916295","0.287476140635003","0.381888964639906","-0.0638131713790425","0.367880794872744","0.793750548325858","0.211025566861688","0.622273496035854","0.00279347135020162","0.586786076711106","0.189029888818757","-0.124017483851731","0.19378129412636","0.599729493349026","0.41885041057388","0.762501805678781"
"Lymphocytosis","0.383315170580426","0.0635791480468197","0.560582491839324","0.371882901115421","0.342354108340698","0.0548595922125094","0.401346818507758","0.750889074630501","0.164476685588489","0.528487942366458","0.0401646946620884","0.710497654141856","0.152184752844365","-0.0832383029413556","0.263561931906554","0.659251938522825","0.440092518497419","0.807740440272207"
