"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Typhoid_fever","0.253921564358317","0.101037674709993","0.624194247019641","0.184388636977411","0.355454541222482","0.0320067657029817","0.277635244304468","0.993578886014384","0.0504211499954759","0.524730521447119","-0.0183795327644672","0.568285562038171","0.172673697407555","-0.000285840435776394","0.199450543139434","0.586053476742251","0.288222763217848","0.693620161287834"
"Gastrointestinal_bleeding","0.299908219226033","0.0741294741002711","0.601629042149184","0.228630224102559","0.39497482628998","0.000130244771576654","0.214585064386289","0.733584969620844","0.0257332274503757","0.457026805486504","-0.0279879483950008","0.563835947004962","0.0763920166645395","0.0189944784149923","0.182883087956024","0.591578660773088","0.307930250611159","0.685811375422637"
"Encephalitis","0.18674649222904","0.454519877030416","0.441243077024336","0.127833417417202","-0.0629189243290195","0.0319527888383393","0.174019999101975","0.298262419129746","-0.142660417527835","0.181721503857469","-0.00746078049072245","0.252805369080355","0.380329669647301","0.38242584352855","0.750641449103103","0.49372386392964","0.207028686095689","0.158872553360457"
"Oral_rehydration_therapy","0.279930360087624","0.0307212580601385","0.499464267989737","0.23349554328455","0.391333161127789","-0.0212521366875988","0.292241118853771","0.659134070086227","0.125873874432989","0.464001349398228","0.104692066337113","0.564661406506167","0.0639106664398586","-0.0565646980166198","0.169856109050925","0.54334548616399","0.295264133863224","0.675275890677504"
"Abdominal_pain","0.0938958354948575","-0.498592191869828","-0.0551932559287335","0.697063328510122","0.376924766957415","-0.212731670703421","0.239148026496136","0.287658068974105","0.393737279702573","0.209848869903353","0.0354186477706986","0.30441460918303","-0.00968482481052276","-0.426240139297108","0.0670273189858821","0.27609716628731","0.47944255257634","0.375460756740727"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Salmonella_enterica_subsp._enterica","0.00536980813539157","0.88871613030006","0.36049897352402","-0.542591224898549","-0.361218424120205","0.24781741381437","-0.163614505630104","0.0667472975806692","-0.311252486414986","-0.122408430674162","-0.0703411367433579","-0.0878492399609002","0.116880888389256","0.776425340673935","0.278505991547645","0.047084763367532","-0.343981100887192","-0.154197641541264"
"Typhoid_vaccine","0.267116264095913","0.306931558151088","0.739007852437368","0.0436418384107753","0.259325880876978","0.166096325144285","0.196353852596345","0.75734914490428","-0.140304614554396","0.478022533647757","-0.0915400160565336","0.483219409857758","0.240314595862358","0.218014951841521","0.230586500946139","0.570244005796959","0.158946093411983","0.539547511242776"
"Bradycardia","0.365033156435078","-0.0243172669903933","0.289387242158507","0.45082290208384","0.129297131082448","-0.0068534332323298","0.393110131603007","0.336199344068742","0.0403886347180483","0.359155373167967","-0.00150864693146932","0.468573557521545","0.369581823097048","-0.0741666016452959","0.325257073455902","0.525369393183749","0.435941939489111","0.440474431472348"
"Malaise","0.320814781309852","-0.342062535067773","0.105889843836253","0.695333535836687","0.516849365434467","-0.167232473979976","0.484748205136261","0.450321473801271","0.396420247590976","0.444330546120075","0.161934215059147","0.669932406253603","0.0598192682778639","-0.362573361579163","0.240947020618324","0.582819242046402","0.648538137409934","0.632217668063755"
