,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
1/1/11,1.6394811943,1.1325948232,0.529812879,5.164797557,3.0505597744,0.6425815922,6.067871991,1.4009738287,3.6880007734,1.1918568904,0.6470320565,3.3194454809,1.042438615,0.749244263,1.6839537798,3.2917053331,3.5272575098,2.6199402096
1/8/11,1.6599699565,1.7604926817,0.5982720182,5.3264318274,3.1447890957,0.7850915044,1.8129771578,2.0288756313,3.3973454627,2.2111608406,0.6621924034,3.7189266542,1.1267664722,0.7978717165,1.3913685667,3.7340396715,3.9559730041,3.6657114333
1/15/11,1.7073454587,1.7416557459,0.5783047692,5.2837805253,2.9835845787,0.7788954213,2.0479398767,1.7795287936,3.7696583557,1.7425884579,0.7125185036,6.067871991,1.4857720262,1.0720089857,1.4310936655,4.6309908026,5.1301888408,3.9133568516
1/22/11,1.6994241529,1.6474710671,0.6196654992,4.722231278,2.8353318316,0.7751777714,2.0272436787,1.6433633057,3.337577442,1.6280956585,0.7486220103,4.406058045,1.1365610476,0.8227932864,1.4251771614,4.3992839597,4.1236049862,3.478916032
1/29/11,1.4889002169,1.5784023027,0.572599841,4.0653067943,2.3384202064,0.71321694,1.6839302758,1.6118067054,3.4064819754,2.2551557589,0.6814163485,3.2617965737,0.9690652171,0.8635187787,1.2433855304,3.6930428303,3.5203938381,3.0381071874
2/5/11,1.3891222299,1.6725869815,0.5483538959,4.0975706944,2.2137853928,0.7689816883,1.4915773764,1.4454512417,3.1569409719,1.5575977774,0.6457817186,2.9819715514,0.9224121081,0.796048187,1.283462802,3.0251428763,3.2920447601,3.0444752125
2/12/11,1.5085511487,1.5407284312,0.5626162165,4.6386599074,2.3459350034,0.7268483229,1.8933271031,1.2795927323,3.7612832191,1.6445274954,0.6496890245,2.8451792132,0.9570367912,1.6847148999,1.1261824022,2.8254700024,3.4368418344,3.0190031123
2/19/11,1.8065141145,1.6537500457,0.6638786932,4.3514325038,2.2744232251,0.8259856532,1.9395891928,1.2997193829,3.3438587945,1.5003513777,0.6570347596,2.7569228964,1.1225565231,0.803342305,1.1527362359,2.90082452,3.3837803724,3.1499014048
2/26/11,3.2027204353,1.892351232,0.810780596,4.2971347206,2.3227672651,0.9437112329,2.0053300572,1.4991223099,3.4843326775,1.5289745775,0.7164258095,2.933534583,1.2373850317,1.4622443001,1.147453643,3.1780096401,3.5114182674,3.2680636473
3/5/11,1.7646225933,1.8735142962,0.638206516,4.1128370277,2.0675065786,0.7912875876,2.2086397674,1.3781139293,3.1089742802,1.5708492588,0.687042869,3.0311018916,1.119248706,1.3734991975,1.160624908,3.0731108402,3.4719521551,3.474670682
