"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Haemophilus","0.377910479908127","-0.060451672034511","0.355915639858036","0.392466369868171","0.568901505651961","-0.0109166580758246","0.506856363323136","0.545905889578276","0.211124093546945","0.380763258444734","0.0622399256438144","0.674208916680557","-0.0522753964992276","-0.235300824779687","0.220722605176375","0.58052163608744","0.44711028631062","0.875298453884029"
"Haemophilus_influenzae","0.479363525816403","0.0298832667684123","0.539477883556977","0.421477363123986","0.59216025279454","0.0293192285316655","0.542406814348097","0.693980882693155","0.161198484321168","0.506644615332442","0.0211771262836266","0.8182577791808","0.00532033828973608","-0.163061611827952","0.276023046070656","0.735962647800285","0.464687354506459","0.994394566335872"
"Gram-negative_bacteria","0.303696276482276","-0.0520936354013263","0.33398949116669","0.265390840174475","0.530843560436416","-0.0292168390041507","0.309630382929463","0.597113675786251","0.196871587230229","0.358001970654158","0.151582314645406","0.584598710547398","-0.177033496399343","-0.197496957025341","0.115413437653586","0.465616385728654","0.291807063916818","0.775344553142296"
"Facultative_anaerobic_organism","0.368437594140655","0.0479090387335852","0.278082991772452","0.269276436873263","0.390101579738176","0.00284434081106636","0.418228730240881","0.464811313457276","0.207593990984346","0.318150219614669","0.222269007541174","0.631424292085836","-0.125888483608786","-0.134341763588644","0.16717173523908","0.48785793584323","0.312796203174589","0.804055536453441"
"Epiglottitis","0.38978445733619","0.488597276282397","0.761829808986441","-0.0601156135252561","0.204877094182362","0.154421720075707","0.244967493555234","0.657154297303604","-0.17720848276597","0.398477464576236","-0.0788750652484733","0.549286791173265","0.126459300308327","0.279488907740264","0.246171552683651","0.557918611277554","0.111762543558941","0.658931947616032"
"Cellulitis","0.187196606896893","-0.105587037736948","0.0740917334284288","0.537423252612317","-0.0801384588876324","-0.149932436143921","0.25296406559306","0.0610588014992866","-0.0998940039742852","0.214288552574672","0.0254081143252731","0.200870539325459","0.622252305940436","-0.0630493215379766","0.406482027297077","0.413948965961938","0.454232206238912","-0.0641373262294837"
"Meningitis","0.405871819341547","0.0686135903630927","0.575436832469819","0.274748566432027","0.280543423246942","0.0239685845046828","0.386287229862816","0.602948534774558","-0.0457635053335447","0.577187888021342","0.00196871582459763","0.583755455666968","0.285917933002883","-0.0821086617655286","0.227471786864108","0.648546664249802","0.393254263286876","0.615016372034946"
"Pathogenic_bacteria","0.132381802025564","0.0557277314273076","0.539354666304427","-0.00245628684443478","0.257095789233114","0.00332100541224674","0.114657870256316","0.707015622569279","0.174838701599244","0.42239211651449","0.203766671182102","0.43085327160351","-0.128395206319921","-0.068971843352604","0.0116805645502251","0.313732051919434","0.0698142321377986","0.634459764806977"
"Hib_vaccine","0.333521735470704","0.0285680535836771","0.684644934508425","0.232504702846987","0.344072629190816","0.0375696235225609","0.353819355849928","0.837741457595953","0.0718984348225471","0.638517271343628","-0.0359475347091036","0.589480808024118","0.277784570466268","-0.0506824518228055","0.233116651639395","0.620294467958871","0.335285345770677","0.725265013995779"
"Osteomyelitis","0.500486100865455","0.241099913630269","0.599142593379071","0.385055552713886","0.0875031270468987","0.104134739082962","0.408196650108297","0.457811576799082","-0.036308345057128","0.456422436487442","-0.00531668470984309","0.614852900279462","0.46697908223755","0.0666625732832999","0.458034839968663","0.746019171063171","0.540517326292583","0.511446681782973"
