"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Legionnaires%27_disease","0.026467105917103","0.747622659345329","0.250046583090261","-0.503512827272673","-0.328526462758042","0.269679980575401","-0.139444794842556","0.00699838929979133","-0.292939485912481","-0.119076965268623","-0.0742608231100094","-0.136627447315956","0.0565869931484749","0.998880522222205","0.276600451406792","0.0477804433039283","-0.3236969842663","-0.159054074615123"
"Atypical_pneumonia","0.199634980651086","-0.00516258350898272","0.561202601812754","0.183444708156268","0.41501032743191","-0.0427276912829392","0.160390570911476","0.687586707455311","0.111818107594885","0.47392265786408","0.0616454509849145","0.431710988674583","-0.0208670471565159","-0.103575334565216","0.0747953956735656","0.449177496151163","0.241169618608128","0.676355582804314"
"Legionella","0.270067265513231","0.0812473996510021","0.298886075238703","0.331702289188981","0.22630965592669","0.00574639601875366","0.282840962002629","0.406574698669843","0.144400776878302","0.310601541225923","-0.0519729207688899","0.458802906858058","0.17616457609012","0.249051665153083","0.295109349212854","0.448054012658227","0.36782250414054","0.407463048667703"
"Legionella_pneumophila","0.472459444976885","0.258970176632719","0.612268579453528","0.235969640117746","0.36042113288345","0.125507452196313","0.487893993194082","0.636920348577699","0.0397049893165245","0.468272289526663","0.0021081441531239","0.703292713348316","0.114167947831819","0.162232799722514","0.360164408571896","0.67364235175543","0.324332186319904","0.838477777061734"
"Pontiac_fever","0.1428467264203","0.805643190966279","0.40167643618117","-0.390919397606079","-0.28114048557445","0.266978917813709","-0.0664118645260383","0.0478881936960633","-0.335479060868365","-0.0634401113744792","-0.0783934744426647","0.0564235159302446","0.100133353201762","0.690070370712531","0.265273701712198","0.124689079201697","-0.245455583221031","-0.0431548509604276"
"Influenza","0.136652492171832","-0.196243792862119","0.16543892335565","0.372386942892237","0.762875867062051","-0.10698502856178","0.212491782305833","0.354802526910845","0.281755786755689","0.184368211616876","0.0253172139785057","0.480977481107562","-0.369404821295168","-0.298585837888473","0.0630307838488971","0.338233782020338","0.326210866086481","0.61582927251223"
"Headache","0.327264102290229","-0.280310945615628","0.354243091949865","0.682991386551592","0.722500824826094","-0.135963886213263","0.443172106217458","0.666558629625046","0.218132676123507","0.499908840661687","-0.00670253421919787","0.747077325197703","0.0706660149543529","-0.351860121720347","0.271811256120664","0.705519679292477","0.636848168732338","0.770682003501807"
"Macrolide","0.414850591530211","0.0282525014500577","0.517673917570825","0.391827919499215","0.535292928907474","0.00760355459145632","0.529046561811491","0.712008578487511","0.227218142948616","0.495479330142799","0.0362867347594157","0.788070358064291","0.0154863589940026","-0.155168905106293","0.249301824724363","0.692610754708377","0.457045795368416","0.950375776541894"
"Tetracycline","0.45787231267377","-0.351284845477549","0.154141025057097","0.567663247625568","0.529241950546244","0.0203790064072948","0.438557772568668","0.315185684717547","0.194389795750375","0.273504257185479","-0.0718447739083071","0.542715099480456","-0.0369221807353852","-0.372982138036371","0.233093534976876","0.422776919064768","0.497159147755538","0.570510993877036"
"Anorexia_nervosa","0.459333430605854","-0.163153949680436","0.419021066621031","0.604582915544002","0.657231015762009","-0.063912500916228","0.565504419021677","0.66770661939108","0.208122375003533","0.518768209687254","-0.0108848728289285","0.816146687496534","0.124190021579956","-0.31563071393074","0.280321442816295","0.759897143089343","0.623629751177618","0.867341951620058"
