"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Listeriosis","-0.0175080690242374","-0.0774006148389485","-0.0226075972972422","-0.032422974705756","-0.0133366972543568","-0.0580086693588546","-0.0600120524485849","-0.0138494180687476","-0.0167114353096248","0.0448274982927329","0.999328455318019","0.00622091800218495","-0.114334832626429","-0.0746674662768907","-0.0373776250145811","-0.0225473549795065","-0.0223977310371664","0.025615844812672"
"Listeria_monocytogenes","0.144103753957195","-0.0253462342774254","0.145558850864757","0.018894603205832","0.0899411636351399","-0.0184792519230588","0.119818505414026","0.211916680169847","0.0452789367209353","0.22128972720855","0.899060548054561","0.232406918317375","-0.0643714484527964","-0.0989565408938831","0.0300137586509964","0.184974245128071","0.120713222459335","0.307510240320924"
"Central_nervous_system","0.025605651241851","-0.152042414746662","-0.214932913243379","0.39894527086785","0.476293021288161","-0.109798638103119","0.328851761841437","0.271712430490839","0.587179976090244","0.154858523594072","0.078914789534644","0.41799729417398","-0.113472341279398","-0.206247818494888","0.0994934212815547","0.300029283255899","0.375477185252229","0.515192939692295"
"Meningitis","0.405871819341547","0.0686135903630927","0.575436832469819","0.274748566432027","0.280543423246942","0.0239685845046828","0.386287229862816","0.602948534774558","-0.0457635053335447","0.577187888021342","0.00196871582459763","0.583755455666968","0.285917933002883","-0.0821086617655286","0.227471786864108","0.648546664249802","0.393254263286876","0.615016372034946"
"Meningoencephalitis","0.162485822979747","-0.0187597797948711","0.390597317652189","0.177748158535518","0.358895076707664","0.0397655052633176","0.113057215605153","0.534316498196228","0.137974197078316","0.26609533457837","-0.107884318652474","0.344902213101576","-0.0642240399939003","-0.0979243378475094","0.086471976072837","0.337203478215207","0.221405069850597","0.45225826881603"
"Brain_abscess","0.434464075006549","-0.275844822935576","0.269856202023845","0.724563207286919","0.489525263166561","-0.0984295054836063","0.481813489188461","0.387598472670351","0.213078366911549","0.375838499838141","0.149636220404527","0.634621914644741","0.101745051548321","-0.326956356523534","0.252287029624644","0.642259701858958","0.626461210466505","0.6793273021417"
"Immunodeficiency","0.0183011288723999","0.0957538614250341","0.182858046239315","0.167656288115859","0.441987776700461","-0.0204027951539739","0.24645654237621","0.632540113290133","0.389802589193122","0.31065318552825","-0.0352575255350824","0.411769573833564","-0.0183306517806485","-0.0204039279709355","0.120854026104843","0.420143565829241","0.251008606533434","0.646153929995935"
"Gastroenteritis","0.240849711494216","-0.224147414936974","0.368389474323176","0.468103787993707","0.593217880118831","-0.0744227862555933","0.325265725305389","0.586870571914915","0.174361564972561","0.42248586718378","-0.0788881862273236","0.590997129518219","-0.00244513370521819","-0.281587069147209","0.170383969585468","0.543713107387147","0.441092005981649","0.700015033845971"
"Gentamicin","0.428302437969527","0.0377579088213626","0.653482152774908","0.365185005373784","0.477127186287756","-0.0106449392915352","0.473214263591516","0.831487711331875","0.0841898488016473","0.634169330268553","-0.0165162841408797","0.785749253179942","0.217580486368433","-0.124122496094453","0.30317675026275","0.761687696842533","0.486479118355703","0.870375780287095"
"Listeria","-0.0860000224334697","-0.142335836478935","-0.108213216492945","-0.0316581844686437","-0.0354043465679142","-0.0866883295584773","-0.110677432723814","-0.06995362873853","-0.00757492766704788","-0.00425528422782023","0.973377898363397","-0.0738486280061377","-0.105609914218439","-0.117047841752404","-0.0594745966892763","-0.0975113539362279","-0.0445405979690566","-0.0647084383593149"
