"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Lyme_disease","0.218726154895551","0.05367518443853","0.194504751333485","0.281619476046649","-0.282311069192642","0.037464621649389","0.302227956134906","0.175284338683846","-0.101166546518018","0.329609820868565","-0.115547885633019","0.124458560522044","0.997190003960101","0.0499516930175633","0.272148678782896","0.38851661303378","0.323012860109463","0.0076343519114252"
"Borrelia","0.255570013470589","0.06198628476086","0.410772748946833","0.327682943191487","0.0368554626729484","0.062108721311655","0.469846097552293","0.499163849370201","0.161699124847613","0.524757243507247","-0.0115468581403179","0.48521010468135","0.569115754541697","-0.0428746712547853","0.289294186215497","0.542414563893432","0.352750730811635","0.451132997418477"
"Erythema_chronicum_migrans","0.178572175693925","0.138102717638705","0.328659651650534","0.160164027666011","-0.328606813080304","0.0465529622186176","0.208043178537008","0.272977102491298","-0.151411204873436","0.310739745064051","-0.0997623946130085","0.118205310171789","0.817631874348097","0.158173384836272","0.301968268227828","0.324200441877414","0.186077854090016","-0.054798248008787"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Ixodes","0.325298379757399","0.200536624044204","0.419413675304365","0.187499779056489","-0.225083985234767","0.0772024223445187","0.420824680505939","0.318680384576791","-0.103266529286989","0.357834578182387","-0.0911952064418957","0.308802612613445","0.717593698290839","0.122561714435805","0.315731636221916","0.45925182669634","0.235052420197359","0.245426540307568"
"Lyme_disease_controversy","-0.0812386905586266","-0.501207332094956","-0.429595256954965","0.40004384267118","-0.0777713907195376","-0.168153632486486","0.163373954240169","-0.192873288376954","0.398885822785121","-0.00384505588011474","0.0289083204488772","-0.109724821001209","0.155151501559544","-0.37848840739071","-0.0827178794332773","-0.105880754586622","0.21499338157899","-0.100574436928009"
"Headache","0.327264102290229","-0.280310945615628","0.354243091949865","0.682991386551592","0.722500824826094","-0.135963886213263","0.443172106217458","0.666558629625046","0.218132676123507","0.499908840661687","-0.00670253421919787","0.747077325197703","0.0706660149543529","-0.351860121720347","0.271811256120664","0.705519679292477","0.636848168732338","0.770682003501807"
"Delayed_onset_muscle_soreness","0.337995931352711","0.112971012317048","0.622906315740344","0.270284907932242","0.347163629840408","0.0273617836124464","0.296945535819043","0.797985943814649","0.0606161933416177","0.582736949646522","-0.0499189858992267","0.607251954978832","0.206580615968682","0.0456193645360696","0.224032530582957","0.640545078404074","0.374335563640935","0.67660664885706"
"Ixodes_ricinus","0.237572698477788","0.24907691911743","0.363365986478118","0.163290299815359","-0.255397791248586","0.0502668178189078","0.335067378031661","0.241545843629405","-0.107340318646466","0.276703961944637","-0.162920623457301","0.215799192084165","0.709260151844556","0.19879387940248","0.31714864850597","0.387250798670127","0.197542781294369","0.0912196841421955"
"Vaccine","0.286166303159975","-0.113350620219372","0.128115657340553","0.384734431479344","0.392426506867399","-0.0523593868666001","0.364627300034067","0.289862907786703","0.148811101359875","0.214221151629894","0.00584283733059586","0.495798143949585","0.0730770023404831","-0.151832068120234","0.165143029903196","0.452406605888541","0.390817612228786","0.49988578029288"
