"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Measles","0.996432740288476","0.134004766989453","0.536898587057924","0.314286411173441","0.170261097770984","0.237767240011709","0.410288633724778","0.263755632030996","-0.231393555381526","0.340962608576059","-0.0183532308585539","0.567757539607238","0.222113661197979","0.0207580141961585","0.276444403422809","0.573497169497433","0.348973860372748","0.493788756039062"
"Sneeze","0.193860041024068","-0.44899515493629","0.0802260159415283","0.711051430667957","0.648506766741778","-0.211176946290032","0.423812812409087","0.462384212328658","0.416514576733783","0.386453769978246","0.123878220824233","0.615220039358226","-0.0587111785549174","-0.474211733593789","0.110851821775785","0.492481675156774","0.59112972869329","0.666263910423238"
"Measles_virus","0.136416277197981","0.998889644208338","0.433514769110048","-0.515265817032055","-0.267466574049205","0.38123192171477","-0.0219428721454263","0.105642209699779","-0.272726932332975","-0.0666580828259908","-0.0780479331931943","0.0742803883452439","0.0560912698694075","0.741941768769621","0.225220219681142","0.158493075589161","-0.293921694301938","0.0350316108577592"
"Measles_vaccine","0.541778842676753","0.432037347349417","0.99894042538391","-0.0422014082258692","0.086371405794235","0.276737356908021","0.204451457446268","0.642601391934281","-0.39563518191571","0.438194624941502","-0.0235837402312703","0.520384085120568","0.197934575937333","0.245690623155833","0.254325027108703","0.548852220961175","0.0791832182802874","0.555122781267195"
"MMR_vaccine","0.59302752888899","0.315808053679463","0.596453507893433","0.285624411160223","0.259687161395081","0.200431553981803","0.450672940625877","0.433084661625214","-0.190626577520871","0.414913353724527","0.024987867283061","0.735924253766071","0.247446333047222","0.147589525679636","0.349628621929329","0.687780567533101","0.382358391289745","0.532735969088941"
"MMRV_vaccine","0.520797903688015","0.206001362491666","0.570682313075109","0.368440096506265","0.207721964741427","0.128307049940716","0.450146955403876","0.423097691105218","-0.0912036332902162","0.409942495425429","-0.0860345079015418","0.649089787888206","0.334452584336912","0.0361427328818266","0.324115914194621","0.648684891266628","0.413751256762126","0.521746427122764"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Rhinitis","0.384178116535893","-0.0644974820170391","0.471099885170669","0.513930571887254","0.598046022745891","-0.0618987457163039","0.450570981572161","0.699114096696076","0.206074892395643","0.481129669839903","-0.0293952104383014","0.725965103534206","0.0067084834621362","-0.141947946029743","0.241760525114741","0.69255798136122","0.539742114774513","0.8510225903061"
"Conjunctivitis","0.307443623276677","-0.506856367673096","-0.0436289453481766","0.991885908523066","0.483958701171736","-0.209709520159082","0.527825434242175","0.19347039192097","0.275625866054813","0.290611094031959","-0.0270468409659628","0.5257866877193","0.279721999295967","-0.497832471276329","0.307277588845309","0.565733073787283","0.765849976211939","0.432743635711843"
"Airborne_disease","0.216046692990323","0.488042253243565","0.762629532623186","-0.242493263559481","0.219270695432384","0.159356168689787","0.1265156323704","0.744031093597833","-0.126299700817726","0.416776621379793","-0.0694034670573672","0.4369668079996","0.0130400562851556","0.287828356438172","0.136571927817439","0.428614568249289","-0.0328002235858748","0.609158190605926"
