"","Measles","Measles_virus","Measles_vaccine","Conjunctivitis","Pneumonia","Morbillivirus","Q_fever","Typhoid-fever","Pertussis","Meningococcal","Listeriosis","Malaria","Lyme","Legionnaires","Hepatitis A","Hepatitis B","Hepatitis C","Haemophilus"
"Q_fever","0.396448504392777","-0.0236181438018796","0.197106872037176","0.515746773506912","0.316179534344037","0.0467617074942044","0.989248612422502","0.281370579034098","0.19979308299751","0.326268408208965","-0.0611280067001544","0.515952270020292","0.29748834917646","-0.142708514019634","0.421804342353853","0.583083794246499","0.49167311729794","0.544848218484948"
"Fever","0.138208605202397","-0.383641139785174","0.0336273147257232","0.610244020542832","0.80146423459547","-0.197529116059162","0.32468751396444","0.435867341957008","0.44040363005473","0.294510622098742","0.0192382387792086","0.578594664449811","-0.225593647067773","-0.435547062685852","0.114286001846207","0.435152281855943","0.523877513122421","0.636391806022044"
"Zoonosis","0.447644922402754","0.188898997753542","0.598666881881712","0.255114320919868","0.498162067349685","0.0903524517171271","0.435308381875009","0.73346273638613","0.0790937593452868","0.513588865804488","0.0220656767156963","0.811794444777498","0.0311911486953245","-0.0295629710965886","0.288289350805812","0.730152075852818","0.418966725840083","0.88134638389852"
"Infection","0.289668069708831","-0.387144585466252","0.0216273522873179","0.697032822439511","0.627717911379863","-0.198745964242667","0.448909380181952","0.361475859636115","0.408904078561434","0.31944433593134","0.137284761798733","0.581136152568717","-0.11862990134596","-0.416805429486209","0.169065791393232","0.513256117825404","0.653178416812556","0.662141522003971"
"Echocardiography#Transesophageal_echocardiogram","0.215820067800768","-0.244906683886926","0.328592661722693","0.451893407655914","0.493268750319268","-0.0936489578334587","0.373320341446879","0.712189555946879","0.369404955072595","0.504594162286022","0.0338851568200638","0.610213504129921","0.0710701170265023","-0.303286593067059","0.120906174324039","0.49439082064628","0.444890129161216","0.746038495582093"
"Alanine_transaminase","0.155592655585607","0.230258498588621","0.471708179177159","0.0737606429324355","0.349338948189937","-0.00638183797437383","0.211801169895782","0.727047665952285","0.13097840419643","0.430704709501424","-0.0242448333602754","0.395673072552285","0.0765822624998929","0.127362692485455","0.239609549407945","0.518483164948889","0.208371346999364","0.626962456257353"
"Hepatitis","0.434003979504249","-0.102626296599339","0.142687862668943","0.781419025022022","0.409067752157633","-0.105542655089548","0.571446980122899","0.220907648647368","0.162454488923041","0.303840039030398","-0.0273513981370001","0.63104891461519","0.336026188062967","-0.158322033037441","0.57149474357106","0.763496581164799","0.780593731935501","0.494410293451931"
"Hepatomegaly","0.376791063020598","-0.064748385162878","0.519377548710026","0.462049303729853","0.468804233227532","-0.00371856026157943","0.432474068153215","0.799095740441649","0.214389695073752","0.562651429104525","0.032877821792622","0.755469150586508","0.187396348009111","-0.203753314662883","0.269586087759179","0.699707696788566","0.542263724068281","0.810932070024266"
"Coxiella_burnetii","0.489501823700346","0.153834736486385","0.623846988709709","0.33296211994481","0.377801458967665","0.0822356113423778","0.567892217630938","0.696858051530012","0.0888874346402836","0.554744640011739","-0.0054428897641062","0.739209705749084","0.224860398157075","-0.0332956827585562","0.35711102728236","0.744510198522953","0.430075943560793","0.897750558556595"
"Inhalation","0.498164357151977","-0.125469089899048","0.395426073356182","0.511787005573952","0.522584690638349","-0.0493705759131194","0.522135519679185","0.470176739903509","0.154447254626565","0.449443583496155","0.122000216103665","0.74591412082651","-0.0452372274053039","-0.263966806482952","0.297821993160287","0.617826871096577","0.52264025367702","0.791148426455689"
