"Week","hepatitis c","hepatitis c symptoms","hepatitis","symptoms of hepatitis c","influenza"
"2010-12-05 - 2010-12-11","0.125","0.0864197530864198","0.159420289855073","0.0","0.159574468085106"
"2010-12-12 - 2010-12-18","0.0555555555555556","0.0493827160493827","0.130434782608696","0.0","0.148936170212766"
"2010-12-19 - 2010-12-25","0.013888888888889","0.0","0.0144927536231884","0.0","0.106382978723404"
"2010-12-26 - 2011-01-01","0.0","0.0370370370370371","0.0289855072463768","0.0","0.117021276595745"
"2011-01-02 - 2011-01-08","0.152777777777778","0.135802469135803","0.217391304347826","0.37","0.180851063829787"
"2011-01-09 - 2011-01-15","0.125","0.111111111111111","0.130434782608696","0.3","0.170212765957447"
"2011-01-16 - 2011-01-22","0.25","0.17283950617284","0.188405797101449","0.34","0.223404255319149"
"2011-01-23 - 2011-01-29","0.152777777777778","0.123456790123457","0.173913043478261","0.32","0.297872340425532"
"2011-01-30 - 2011-02-05","0.111111111111111","0.0987654320987654","0.130434782608696","0.3","0.287234042553192"
"2011-02-06 - 2011-02-12","0.125","0.0617283950617284","0.159420289855073","0.25","0.329787234042553"
"2011-02-13 - 2011-02-19","0.152777777777778","0.0864197530864198","0.159420289855073","0.27","0.372340425531915"
"2011-02-20 - 2011-02-26","0.152777777777778","0.0740740740740742","0.159420289855073","0.34","0.340425531914894"
"2011-02-27 - 2011-03-05","0.138888888888889","0.123456790123457","0.173913043478261","0.28","0.308510638297872"
"2011-03-06 - 2011-03-12","0.180555555555556","0.135802469135803","0.202898550724638","0.29","0.25531914893617"
"2011-03-13 - 2011-03-19","0.166666666666667","0.0987654320987654","0.173913043478261","0.33","0.202127659574468"
"2011-03-20 - 2011-03-26","0.152777777777778","0.111111111111111","0.159420289855073","0.38","0.170212765957447"
"2011-03-27 - 2011-04-02","0.222222222222222","0.17283950617284","0.217391304347826","0.41","0.138297872340426"
"2011-04-03 - 2011-04-09","0.222222222222222","0.123456790123457","0.231884057971015","0.32","0.127659574468085"
"2011-04-10 - 2011-04-16","0.222222222222222","0.148148148148148","0.231884057971015","0.37","0.117021276595745"
"2011-04-17 - 2011-04-23","0.166666666666667","0.123456790123457","0.188405797101449","0.25","0.0851063829787234"
"2011-04-24 - 2011-04-30","0.208333333333333","0.135802469135803","0.231884057971015","0.34","0.0851063829787234"
"2011-05-01 - 2011-05-07","0.152777777777778","0.0864197530864198","0.217391304347826","0.34","0.074468085106383"
"2011-05-08 - 2011-05-14","0.236111111111111","0.17283950617284","0.217391304347826","0.28","0.0638297872340425"
"2011-05-15 - 2011-05-21","0.208333333333333","0.0740740740740742","0.202898550724638","0.35","0.0638297872340425"
"2011-05-22 - 2011-05-28","0.222222222222222","0.185185185185185","0.202898550724638","0.25","0.0319148936170213"
"2011-05-29 - 2011-06-04","0.138888888888889","0.123456790123457","0.159420289855073","0.32","0.0319148936170213"
"2011-06-05 - 2011-06-11","0.180555555555556","0.111111111111111","0.173913043478261","0.29","0.0319148936170213"
"2011-06-12 - 2011-06-18","0.180555555555556","0.148148148148148","0.159420289855073","0.4","0.0212765957446809"
"2011-06-19 - 2011-06-25","0.208333333333333","0.160493827160494","0.173913043478261","0.3","0.0106382978723405"
"2011-06-26 - 2011-07-02","0.166666666666667","0.135802469135803","0.159420289855073","0.34","0.0212765957446809"
"2011-07-03 - 2011-07-09","0.138888888888889","0.135802469135803","0.101449275362319","0.4","0.0106382978723405"
"2011-07-10 - 2011-07-16","0.166666666666667","0.0740740740740742","0.159420289855073","0.47","0.0106382978723405"
"2011-07-17 - 2011-07-23","0.180555555555556","0.160493827160494","0.173913043478261","0.34","0.0212765957446809"
"2011-07-24 - 2011-07-30","0.222222222222222","0.123456790123457","0.231884057971015","0.31","0.0106382978723405"
"2011-07-31 - 2011-08-06","0.180555555555556","0.111111111111111","0.173913043478261","0.27","0.0106382978723405"
"2011-08-07 - 2011-08-13","0.166666666666667","0.135802469135803","0.188405797101449","0.37","0.0212765957446809"
