Week,hepatitis a symptoms,symptoms of hepatitis a,hepatitis,influenza
2010-12-05 - 2010-12-11,11,0,42,21
2010-12-12 - 2010-12-18,11,0,40,20
2010-12-19 - 2010-12-25,11,0,32,16
2010-12-26 - 2011-01-01,12,0,33,17
2011-01-02 - 2011-01-08,12,0,46,23
2011-01-09 - 2011-01-15,9,0,40,22
2011-01-16 - 2011-01-22,12,31,44,27
2011-01-23 - 2011-01-29,9,25,43,34
2011-01-30 - 2011-02-05,8,25,40,33
2011-02-06 - 2011-02-12,16,25,42,37
2011-02-13 - 2011-02-19,9,25,42,41
2011-02-20 - 2011-02-26,10,26,42,38
2011-02-27 - 2011-03-05,10,27,43,35
2011-03-06 - 2011-03-12,12,28,45,30
2011-03-13 - 2011-03-19,13,29,43,25
2011-03-20 - 2011-03-26,11,30,42,22
2011-03-27 - 2011-04-02,9,26,46,20
2011-04-03 - 2011-04-09,11,24,47,18
2011-04-10 - 2011-04-16,10,24,47,17
2011-04-17 - 2011-04-23,10,26,44,14
2011-04-24 - 2011-04-30,11,30,47,14
2011-05-01 - 2011-05-07,11,31,46,13
2011-05-08 - 2011-05-14,12,28,46,12
2011-05-15 - 2011-05-21,10,28,45,12
2011-05-22 - 2011-05-28,10,25,45,9
2011-05-29 - 2011-06-04,10,25,42,9
2011-06-05 - 2011-06-11,9,25,43,9
2011-06-12 - 2011-06-18,9,0,42,8
2011-06-19 - 2011-06-25,13,0,43,7
2011-06-26 - 2011-07-02,11,0,42,8
2011-07-03 - 2011-07-09,12,0,38,7
2011-07-10 - 2011-07-16,10,0,42,7
2011-07-17 - 2011-07-23,11,0,43,8
2011-07-24 - 2011-07-30,8,0,47,7
2011-07-31 - 2011-08-06,11,0,43,7
2011-08-07 - 2011-08-13,15,24,44,8
2011-08-14 - 2011-08-20,11,25,41,8
2011-08-21 - 2011-08-27,11,25,40,9
2011-08-28 - 2011-09-03,11,27,41,12
2011-09-04 - 2011-09-10,10,30,38,13
2011-09-11 - 2011-09-17,16,33,45,17
2011-09-18 - 2011-09-24,13,36,48,18
2011-09-25 - 2011-10-01,14,25,46,18
2011-10-02 - 2011-10-08,12,27,44,19
2011-10-09 - 2011-10-15,12,23,45,19
2011-10-16 - 2011-10-22,11,27,45,18
2011-10-23 - 2011-10-29,12,30,46,19
2011-10-30 - 2011-11-05,12,23,48,19
2011-11-06 - 2011-11-12,12,23,47,18
2011-11-13 - 2011-11-19,15,23,46,18
2011-11-20 - 2011-11-26,10,22,37,14
2011-11-27 - 2011-12-03,13,22,44,18
2011-12-04 - 2011-12-10,9,20,41,17
2011-12-11 - 2011-12-17,12,24,40,14
2011-12-18 - 2011-12-24,9,23,36,12
2011-12-25 - 2011-12-31,10,23,33,10
2012-01-01 - 2012-01-07,11,23,39,12
2012-01-08 - 2012-01-14,13,21,43,14
2012-01-15 - 2012-01-21,12,21,44,14
2012-01-22 - 2012-01-28,15,21,44,16
2012-01-29 - 2012-02-04,12,20,45,19
2012-02-05 - 2012-02-11,14,22,45,18
2012-02-12 - 2012-02-18,11,23,43,24
2012-02-19 - 2012-02-25,14,22,57,24
2012-02-26 - 2012-03-03,13,24,47,25
2012-03-04 - 2012-03-10,12,25,47,27
2012-03-11 - 2012-03-17,12,26,45,26
2012-03-18 - 2012-03-24,14,27,43,24
2012-03-25 - 2012-03-31,18,22,47,21
2012-04-01 - 2012-04-07,12,24,44,17
2012-04-08 - 2012-04-14,15,22,45,18
2012-04-15 - 2012-04-21,16,23,47,17
2012-04-22 - 2012-04-28,14,23,45,16
2012-04-29 - 2012-05-05,13,21,46,16
2012-05-06 - 2012-05-12,15,22,46,15
2012-05-13 - 2012-05-19,16,25,52,13
2012-05-20 - 2012-05-26,14,27,50,11
2012-05-27 - 2012-06-02,13,23,44,10
2012-06-03 - 2012-06-09,11,24,44,9
2012-06-10 - 2012-06-16,14,26,45,9
2012-06-17 - 2012-06-23,10,26,47,9
2012-06-24 - 2012-06-30,12,20,43,8
2012-07-01 - 2012-07-07,12,20,38,6
2012-07-08 - 2012-07-14,10,20,43,7
2012-07-15 - 2012-07-21,13,20,48,7
2012-07-22 - 2012-07-28,10,20,55,7
2012-07-29 - 2012-08-04,14,28,54,8
2012-08-05 - 2012-08-11,8,21,43,8
2012-08-12 - 2012-08-18,12,21,70,9
2012-08-19 - 2012-08-25,11,25,52,10
2012-08-26 - 2012-09-01,13,23,45,10
2012-09-02 - 2012-09-08,11,22,43,13
2012-09-09 - 2012-09-15,11,19,44,15
2012-09-16 - 2012-09-22,11,19,44,17
2012-09-23 - 2012-09-29,12,21,46,19
2012-09-30 - 2012-10-06,10,25,46,18
2012-10-07 - 2012-10-13,9,19,42,18
2012-10-14 - 2012-10-20,10,19,45,19
2012-10-21 - 2012-10-27,11,19,44,18
2012-10-28 - 2012-11-03,11,23,39,17
2012-11-04 - 2012-11-10,9,18,38,18
2012-11-11 - 2012-11-17,12,22,43,21
2012-11-18 - 2012-11-24,10,22,35,17
2012-11-25 - 2012-12-01,12,22,42,24
2012-12-02 - 2012-12-08,11,22,43,33
2012-12-09 - 2012-12-15,11,19,40,33
2012-12-16 - 2012-12-22,9,17,35,40
2012-12-23 - 2012-12-29,7,17,31,43
2012-12-30 - 2013-01-05,8,17,34,54
2013-01-06 - 2013-01-12,9,18,40,100
2013-01-13 - 2013-01-19,10,18,41,81
2013-01-20 - 2013-01-26,8,17,40,59
2013-01-27 - 2013-02-02,12,19,42,47
2013-02-03 - 2013-02-09,11,19,42,38
2013-02-10 - 2013-02-16,9,18,41,32
2013-02-17 - 2013-02-23,12,18,43,28
2013-02-24 - 2013-03-02,10,20,42,27
2013-03-03 - 2013-03-09,9,19,41,25
2013-03-10 - 2013-03-16,10,21,41,23
2013-03-17 - 2013-03-23,9,19,43,20
2013-03-24 - 2013-03-30,11,21,46,20
2013-03-31 - 2013-04-06,12,20,49,20
2013-04-07 - 2013-04-13,15,21,49,18
2013-04-14 - 2013-04-20,13,23,46,17
2013-04-21 - 2013-04-27,11,21,46,17
2013-04-28 - 2013-05-04,13,22,44,15
2013-05-05 - 2013-05-11,11,23,46,13
2013-05-12 - 2013-05-18,10,20,45,11
2013-05-19 - 2013-05-25,12,21,42,10
2013-05-26 - 2013-06-01,33,38,56,10
2013-06-02 - 2013-06-08,100,100,100,9
2013-06-09 - 2013-06-15,36,37,55,9
2013-06-16 - 2013-06-22,20,21,48,8
2013-06-23 - 2013-06-29,19,22,48,7
2013-06-30 - 2013-07-06,14,23,41,7
2013-07-07 - 2013-07-13,14,18,43,7
2013-07-14 - 2013-07-20,13,20,43,8
2013-07-21 - 2013-07-27,14,23,44,7
2013-07-28 - 2013-08-03,14,20,44,7
2013-08-04 - 2013-08-10,12,19,43,7
2013-08-11 - 2013-08-17,13,20,44,8
2013-08-18 - 2013-08-24,15,24,47,10
2013-08-25 - 2013-08-31,13,22,45,12
2013-09-01 - 2013-09-07,13,22,40,14
2013-09-08 - 2013-09-14,12,19,42,16
2013-09-15 - 2013-09-21,15,26,45,18
2013-09-22 - 2013-09-28,15,25,45,20
2013-09-29 - 2013-10-05,10,21,40,21
2013-10-06 - 2013-10-12,11,18,43,20
2013-10-13 - 2013-10-19,12,18,43,22
2013-10-20 - 2013-10-26,14,21,46,22
2013-10-27 - 2013-11-02,12,18,46,20
2013-11-03 - 2013-11-09,13,20,47,20
2013-11-10 - 2013-11-16,12,23,45,21
2013-11-17 - 2013-11-23,12,22,44,20
2013-11-24 - 2013-11-30,8,16,36,15
2013-12-01 - 2013-12-07,14,24,46,21
2013-12-08 - 2013-12-14,10,19,42,23
2013-12-15 - 2013-12-21,9,18,39,28
2013-12-22 - 2013-12-28,10,18,32,32
2013-12-29 - 2014-01-04,12,18,36,42
2014-01-05 - 2014-01-11,10,19,42,50
2014-01-12 - 2014-01-18,12,25,44,51
2014-01-19 - 2014-01-25,10,16,41,44
2014-01-26 - 2014-02-01,10,17,42,39
2014-02-02 - 2014-02-08,10,19,39,32
2014-02-09 - 2014-02-15,9,20,41,28
2014-02-16 - 2014-02-22,12,21,40,25
2014-02-23 - 2014-03-01,15,23,60,24
