Week,hepatitis c,hepatitis c symptoms,hepatitis,symptoms of hepatitis c,influenza
2010-12-05 - 2010-12-11,37,26,42,0,21
2010-12-12 - 2010-12-18,32,23,40,0,20
2010-12-19 - 2010-12-25,29,19,32,0,16
2010-12-26 - 2011-01-01,28,22,33,0,17
2011-01-02 - 2011-01-08,39,30,46,37,23
2011-01-09 - 2011-01-15,37,28,40,30,22
2011-01-16 - 2011-01-22,46,33,44,34,27
2011-01-23 - 2011-01-29,39,29,43,32,34
2011-01-30 - 2011-02-05,36,27,40,30,33
2011-02-06 - 2011-02-12,37,24,42,25,37
2011-02-13 - 2011-02-19,39,26,42,27,41
2011-02-20 - 2011-02-26,39,25,42,34,38
2011-02-27 - 2011-03-05,38,29,43,28,35
2011-03-06 - 2011-03-12,41,30,45,29,30
2011-03-13 - 2011-03-19,40,27,43,33,25
2011-03-20 - 2011-03-26,39,28,42,38,22
2011-03-27 - 2011-04-02,44,33,46,41,19
2011-04-03 - 2011-04-09,44,29,47,32,18
2011-04-10 - 2011-04-16,44,31,47,37,17
2011-04-17 - 2011-04-23,40,29,44,25,14
2011-04-24 - 2011-04-30,43,30,47,34,14
2011-05-01 - 2011-05-07,39,26,46,34,13
2011-05-08 - 2011-05-14,45,33,46,28,12
2011-05-15 - 2011-05-21,43,25,45,35,12
2011-05-22 - 2011-05-28,44,34,45,25,9
2011-05-29 - 2011-06-04,38,29,42,32,9
2011-06-05 - 2011-06-11,41,28,43,29,9
2011-06-12 - 2011-06-18,41,31,42,40,8
2011-06-19 - 2011-06-25,43,32,43,30,7
2011-06-26 - 2011-07-02,40,30,42,34,8
2011-07-03 - 2011-07-09,38,30,38,40,7
2011-07-10 - 2011-07-16,40,25,42,47,7
2011-07-17 - 2011-07-23,41,32,43,34,8
2011-07-24 - 2011-07-30,44,29,47,31,7
2011-07-31 - 2011-08-06,41,28,43,27,7
2011-08-07 - 2011-08-13,40,30,44,37,8
2011-08-14 - 2011-08-20,38,30,42,31,8
2011-08-21 - 2011-08-27,38,25,41,29,9
2011-08-28 - 2011-09-03,38,33,41,42,12
2011-09-04 - 2011-09-10,36,27,38,41,13
2011-09-11 - 2011-09-17,41,35,45,29,17
