Week,poison oak,lyme disease,lyme,lyme symptoms
2010-12-05 - 2010-12-11,10,27,33,25
2010-12-12 - 2010-12-18,9,23,29,22
2010-12-19 - 2010-12-25,8,20,27,18
2010-12-26 - 2011-01-01,10,21,29,24
2011-01-02 - 2011-01-08,12,28,36,26
2011-01-09 - 2011-01-15,12,25,33,24
2011-01-16 - 2011-01-22,13,28,34,25
2011-01-23 - 2011-01-29,12,26,33,22
2011-01-30 - 2011-02-05,12,26,33,24
2011-02-06 - 2011-02-12,14,28,34,23
2011-02-13 - 2011-02-19,17,29,36,25
2011-02-20 - 2011-02-26,17,31,38,29
2011-02-27 - 2011-03-05,15,33,39,30
2011-03-06 - 2011-03-12,18,31,38,27
2011-03-13 - 2011-03-19,21,35,41,33
2011-03-20 - 2011-03-26,24,37,42,35
2011-03-27 - 2011-04-02,25,37,43,33
2011-04-03 - 2011-04-09,32,40,47,34
2011-04-10 - 2011-04-16,43,47,52,45
2011-04-17 - 2011-04-23,48,49,54,46
2011-04-24 - 2011-04-30,53,54,60,53
2011-05-01 - 2011-05-07,60,59,66,60
2011-05-08 - 2011-05-14,69,69,75,72
2011-05-15 - 2011-05-21,59,78,81,77
2011-05-22 - 2011-05-28,71,93,95,87
2011-05-29 - 2011-06-04,94,96,98,100
2011-06-05 - 2011-06-11,83,83,87,92
2011-06-12 - 2011-06-18,81,81,86,93
2011-06-19 - 2011-06-25,81,85,87,95
2011-06-26 - 2011-07-02,86,86,92,95
2011-07-03 - 2011-07-09,92,82,87,86
2011-07-10 - 2011-07-16,81,83,86,89
2011-07-17 - 2011-07-23,68,78,83,79
2011-07-24 - 2011-07-30,67,68,74,78
2011-07-31 - 2011-08-06,64,64,70,68
2011-08-07 - 2011-08-13,64,59,64,68
2011-08-14 - 2011-08-20,56,60,64,64
2011-08-21 - 2011-08-27,53,59,64,64
2011-08-28 - 2011-09-03,51,53,57,62
2011-09-04 - 2011-09-10,44,51,55,55
2011-09-11 - 2011-09-17,39,55,60,58
2011-09-18 - 2011-09-24,37,46,50,52
2011-09-25 - 2011-10-01,34,47,51,48
2011-10-02 - 2011-10-08,27,45,49,48
2011-10-09 - 2011-10-15,31,46,52,44
