Week,water pollution,malaria,malaria vaccine,fever,influenza
2010-12-05 - 2010-12-11,80,66,24,50,21
2010-12-12 - 2010-12-18,58,56,21,52,20
2010-12-19 - 2010-12-25,27,45,21,52,16
2010-12-26 - 2011-01-01,18,37,21,57,17
2011-01-02 - 2011-01-08,53,51,21,62,23
2011-01-09 - 2011-01-15,56,53,21,63,22
2011-01-16 - 2011-01-22,49,100,21,68,27
2011-01-23 - 2011-01-29,61,65,22,70,34
2011-01-30 - 2011-02-05,61,60,23,73,33
2011-02-06 - 2011-02-12,65,64,19,75,37
2011-02-13 - 2011-02-19,73,62,26,87,41
2011-02-20 - 2011-02-26,68,62,25,83,38
2011-02-27 - 2011-03-05,70,65,23,74,35
2011-03-06 - 2011-03-12,71,63,20,70,30
2011-03-13 - 2011-03-19,57,58,19,66,25
2011-03-20 - 2011-03-26,75,58,22,68,22
2011-03-27 - 2011-04-02,90,64,23,67,20
2011-04-03 - 2011-04-09,83,66,23,65,18
2011-04-10 - 2011-04-16,95,65,18,63,17
2011-04-17 - 2011-04-23,81,62,20,60,14
2011-04-24 - 2011-04-30,88,77,20,60,14
2011-05-01 - 2011-05-07,92,63,23,58,13
2011-05-08 - 2011-05-14,88,64,22,60,12
2011-05-15 - 2011-05-21,87,59,18,59,12
2011-05-22 - 2011-05-28,70,56,19,58,9
2011-05-29 - 2011-06-04,54,57,19,60,9
2011-06-05 - 2011-06-11,47,55,20,60,9
2011-06-12 - 2011-06-18,34,52,21,56,8
2011-06-19 - 2011-06-25,25,45,21,57,7
2011-06-26 - 2011-07-02,24,43,21,55,8
2011-07-03 - 2011-07-09,21,50,21,56,7
2011-07-10 - 2011-07-16,26,45,18,54,7
2011-07-17 - 2011-07-23,27,45,18,53,8
2011-07-24 - 2011-07-30,20,45,0,52,7
2011-07-31 - 2011-08-06,22,45,0,52,7
2011-08-07 - 2011-08-13,21,43,0,50,8
2011-08-14 - 2011-08-20,24,43,0,51,8
2011-08-21 - 2011-08-27,26,43,0,51,9
2011-08-28 - 2011-09-03,26,44,17,53,12
2011-09-04 - 2011-09-10,37,43,19,53,13
2011-09-11 - 2011-09-17,47,54,21,57,17
2011-09-18 - 2011-09-24,49,51,20,58,18
2011-09-25 - 2011-10-01,51,51,23,59,18
2011-10-02 - 2011-10-08,59,51,17,57,19
2011-10-09 - 2011-10-15,51,52,17,56,19
2011-10-16 - 2011-10-22,59,71,100,56,18
2011-10-23 - 2011-10-29,61,55,46,57,19
2011-10-30 - 2011-11-05,65,55,29,59,19
2011-11-06 - 2011-11-12,67,54,26,58,18
2011-11-13 - 2011-11-19,72,57,31,61,18
2011-11-20 - 2011-11-26,43,45,21,56,14
2011-11-27 - 2011-12-03,78,57,25,58,18
2011-12-04 - 2011-12-10,74,54,22,56,17
2011-12-11 - 2011-12-17,67,49,25,57,14
2011-12-18 - 2011-12-24,24,35,23,55,12
2011-12-25 - 2011-12-31,14,31,17,57,10
2012-01-01 - 2012-01-07,39,41,19,60,12
2012-01-08 - 2012-01-14,52,46,20,61,14
2012-01-15 - 2012-01-21,47,48,20,60,14
2012-01-22 - 2012-01-28,58,52,20,62,16
2012-01-29 - 2012-02-04,58,57,23,63,19
2012-02-05 - 2012-02-11,60,60,24,66,18
2012-02-12 - 2012-02-18,58,57,19,64,24
2012-02-19 - 2012-02-25,61,57,16,66,24
2012-02-26 - 2012-03-03,66,56,22,65,25
2012-03-04 - 2012-03-10,69,58,24,71,27
2012-03-11 - 2012-03-17,59,54,19,67,26
2012-03-18 - 2012-03-24,69,53,24,64,24
2012-03-25 - 2012-03-31,70,56,20,63,21
2012-04-01 - 2012-04-07,51,56,20,63,17
2012-04-08 - 2012-04-14,73,58,22,66,18
2012-04-15 - 2012-04-21,86,59,19,68,17
2012-04-22 - 2012-04-28,92,71,20,63,16
2012-04-29 - 2012-05-05,95,62,23,62,16
2012-05-06 - 2012-05-12,85,59,21,61,15
2012-05-13 - 2012-05-19,77,58,21,61,13
2012-05-20 - 2012-05-26,70,53,17,64,11
2012-05-27 - 2012-06-02,55,50,24,62,10
2012-06-03 - 2012-06-09,48,46,17,59,9
2012-06-10 - 2012-06-16,29,45,19,60,9
2012-06-17 - 2012-06-23,23,44,18,58,9
2012-06-24 - 2012-06-30,20,40,17,56,8
2012-07-01 - 2012-07-07,18,41,14,54,6
2012-07-08 - 2012-07-14,24,44,14,55,7
2012-07-15 - 2012-07-21,22,42,15,54,7
2012-07-22 - 2012-07-28,23,40,16,54,7
2012-07-29 - 2012-08-04,21,40,16,53,8
2012-08-05 - 2012-08-11,19,40,14,52,8
2012-08-12 - 2012-08-18,21,38,14,54,9
2012-08-19 - 2012-08-25,25,42,14,56,10
2012-08-26 - 2012-09-01,28,46,14,56,10
