Week,whooping cough,whooping,symptoms of whooping cough,pertussis vaccine
2010-12-05 - 2010-12-11,37,41,32,33
2010-12-12 - 2010-12-18,33,37,40,31
2010-12-19 - 2010-12-25,29,32,34,23
2010-12-26 - 2011-01-01,29,32,32,23
2011-01-02 - 2011-01-08,39,45,35,34
2011-01-09 - 2011-01-15,30,38,27,26
2011-01-16 - 2011-01-22,35,39,38,29
2011-01-23 - 2011-01-29,33,36,33,27
2011-01-30 - 2011-02-05,36,40,45,34
2011-02-06 - 2011-02-12,36,40,40,25
2011-02-13 - 2011-02-19,35,40,43,31
2011-02-20 - 2011-02-26,36,39,35,30
2011-02-27 - 2011-03-05,32,36,35,29
2011-03-06 - 2011-03-12,29,33,27,27
2011-03-13 - 2011-03-19,27,30,29,31
2011-03-20 - 2011-03-26,28,32,27,34
2011-03-27 - 2011-04-02,27,30,34,24
2011-04-03 - 2011-04-09,26,28,26,30
2011-04-10 - 2011-04-16,24,28,30,32
2011-04-17 - 2011-04-23,22,26,24,26
2011-04-24 - 2011-04-30,25,28,28,28
2011-05-01 - 2011-05-07,22,26,22,19
2011-05-08 - 2011-05-14,23,26,25,31
2011-05-15 - 2011-05-21,21,24,20,25
2011-05-22 - 2011-05-28,21,24,34,28
2011-05-29 - 2011-06-04,20,22,28,22
2011-06-05 - 2011-06-11,21,22,28,28
2011-06-12 - 2011-06-18,19,21,21,32
2011-06-19 - 2011-06-25,23,25,23,33
2011-06-26 - 2011-07-02,22,25,23,28
2011-07-03 - 2011-07-09,18,20,24,19
2011-07-10 - 2011-07-16,19,22,24,36
2011-07-17 - 2011-07-23,19,22,24,31
2011-07-24 - 2011-07-30,21,23,25,32
2011-07-31 - 2011-08-06,22,23,26,26
2011-08-07 - 2011-08-13,24,27,27,31
2011-08-14 - 2011-08-20,24,25,27,37
2011-08-21 - 2011-08-27,20,23,27,29
2011-08-28 - 2011-09-03,19,21,27,32
2011-09-04 - 2011-09-10,18,20,27,24
2011-09-11 - 2011-09-17,22,25,22,37
2011-09-18 - 2011-09-24,28,32,23,44
2011-09-25 - 2011-10-01,24,28,27,37
2011-10-02 - 2011-10-08,26,30,22,36
2011-10-09 - 2011-10-15,27,30,28,34
2011-10-16 - 2011-10-22,25,29,34,29
2011-10-23 - 2011-10-29,32,37,37,32
2011-10-30 - 2011-11-05,31,35,24,34
2011-11-06 - 2011-11-12,30,35,33,34
2011-11-13 - 2011-11-19,32,33,27,34
