Week,fever,typhoid vaccine,typhoid fever,typhoid
2010-12-05 - 2010-12-11,50,49,36,40
2010-12-12 - 2010-12-18,52,51,35,37
2010-12-19 - 2010-12-25,52,47,17,22
2010-12-26 - 2011-01-01,57,61,25,27
2011-01-02 - 2011-01-08,62,42,32,35
2011-01-09 - 2011-01-15,63,50,40,40
2011-01-16 - 2011-01-22,68,44,27,35
2011-01-23 - 2011-01-29,70,61,38,36
2011-01-30 - 2011-02-05,73,52,33,38
2011-02-06 - 2011-02-12,75,47,42,36
2011-02-13 - 2011-02-19,88,46,37,36
2011-02-20 - 2011-02-26,83,45,40,35
2011-02-27 - 2011-03-05,74,49,37,34
2011-03-06 - 2011-03-12,70,50,37,34
2011-03-13 - 2011-03-19,66,48,31,31
2011-03-20 - 2011-03-26,68,46,33,33
2011-03-27 - 2011-04-02,67,40,32,30
2011-04-03 - 2011-04-09,65,53,34,38
2011-04-10 - 2011-04-16,63,46,38,33
2011-04-17 - 2011-04-23,60,56,35,37
2011-04-24 - 2011-04-30,60,46,41,35
2011-05-01 - 2011-05-07,58,61,40,38
2011-05-08 - 2011-05-14,60,74,41,41
2011-05-15 - 2011-05-21,59,58,31,34
2011-05-22 - 2011-05-28,58,58,29,31
2011-05-29 - 2011-06-04,60,68,61,47
2011-06-05 - 2011-06-11,60,70,27,33
2011-06-12 - 2011-06-18,56,60,29,34
2011-06-19 - 2011-06-25,57,49,26,26
2011-06-26 - 2011-07-02,55,57,24,30
2011-07-03 - 2011-07-09,56,48,20,29
2011-07-10 - 2011-07-16,54,64,25,39
2011-07-17 - 2011-07-23,53,45,23,34
2011-07-24 - 2011-07-30,52,50,25,43
2011-07-31 - 2011-08-06,52,44,24,29
2011-08-07 - 2011-08-13,50,44,24,28
2011-08-14 - 2011-08-20,51,32,27,29
2011-08-21 - 2011-08-27,51,34,24,25
2011-08-28 - 2011-09-03,53,42,23,26
2011-09-04 - 2011-09-10,54,29,28,28
2011-09-11 - 2011-09-17,57,42,32,29
2011-09-18 - 2011-09-24,58,42,48,38
2011-09-25 - 2011-10-01,59,42,28,32
2011-10-02 - 2011-10-08,57,42,31,31
2011-10-09 - 2011-10-15,56,43,33,33
2011-10-16 - 2011-10-22,56,40,31,34
2011-10-23 - 2011-10-29,57,35,32,32
2011-10-30 - 2011-11-05,59,53,29,35
