Web Search interest: haemophilus
United States Dec 2010 - Feb 2014

Interest over time
Week,haemophilus
2010-12-05 - 2010-12-11,84
2010-12-12 - 2010-12-18,90
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,48
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,68
2011-01-16 - 2011-01-22,72
2011-01-23 - 2011-01-29,79
2011-01-30 - 2011-02-05,84
2011-02-06 - 2011-02-12,85
2011-02-13 - 2011-02-19,78
2011-02-20 - 2011-02-26,84
2011-02-27 - 2011-03-05,79
2011-03-06 - 2011-03-12,80
2011-03-13 - 2011-03-19,73
2011-03-20 - 2011-03-26,87
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,83
2011-04-10 - 2011-04-16,92
2011-04-17 - 2011-04-23,93
2011-04-24 - 2011-04-30,98
2011-05-01 - 2011-05-07,100
2011-05-08 - 2011-05-14,90
2011-05-15 - 2011-05-21,69
2011-05-22 - 2011-05-28,86
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,74
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,66
2011-07-31 - 2011-08-06,59
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,72
2011-09-18 - 2011-09-24,76
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,73
2011-10-16 - 2011-10-22,84
2011-10-23 - 2011-10-29,79
2011-10-30 - 2011-11-05,84
2011-11-06 - 2011-11-12,87
2011-11-13 - 2011-11-19,76
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,91
2011-12-04 - 2011-12-10,87
2011-12-11 - 2011-12-17,83
2011-12-18 - 2011-12-24,57
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,70
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,90
2012-02-05 - 2012-02-11,84
2012-02-12 - 2012-02-18,79
2012-02-19 - 2012-02-25,81
2012-02-26 - 2012-03-03,77
2012-03-04 - 2012-03-10,82
2012-03-11 - 2012-03-17,82
2012-03-18 - 2012-03-24,76
2012-03-25 - 2012-03-31,74
2012-04-01 - 2012-04-07,67
2012-04-08 - 2012-04-14,74
2012-04-15 - 2012-04-21,99
2012-04-22 - 2012-04-28,88
2012-04-29 - 2012-05-05,85
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,57
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,59
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,48
2012-08-19 - 2012-08-25,50
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,59
