Web Search interest: symptoms of hepatitis a
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of hepatitis a
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,25
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,25
2011-02-20 - 2011-02-26,26
2011-02-27 - 2011-03-05,27
2011-03-06 - 2011-03-12,28
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,30
2011-03-27 - 2011-04-02,26
2011-04-03 - 2011-04-09,24
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,31
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,25
2011-05-29 - 2011-06-04,25
2011-06-05 - 2011-06-11,25
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,30
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,25
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,23
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,30
2011-10-30 - 2011-11-05,23
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,23
2011-11-20 - 2011-11-26,22
2011-11-27 - 2011-12-03,22
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,24
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,23
2012-01-08 - 2012-01-14,21
2012-01-15 - 2012-01-21,21
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,20
2012-02-05 - 2012-02-11,22
2012-02-12 - 2012-02-18,23
2012-02-19 - 2012-02-25,22
2012-02-26 - 2012-03-03,24
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,22
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,22
2012-04-15 - 2012-04-21,23
2012-04-22 - 2012-04-28,23
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,20
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,20
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,28
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,22
