Web Search interest: hepatitis a symptoms
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis a symptoms
2010-12-05 - 2010-12-11,11
2010-12-12 - 2010-12-18,11
2010-12-19 - 2010-12-25,11
2010-12-26 - 2011-01-01,12
2011-01-02 - 2011-01-08,12
2011-01-09 - 2011-01-15,9
2011-01-16 - 2011-01-22,12
2011-01-23 - 2011-01-29,9
2011-01-30 - 2011-02-05,8
2011-02-06 - 2011-02-12,16
2011-02-13 - 2011-02-19,9
2011-02-20 - 2011-02-26,10
2011-02-27 - 2011-03-05,10
2011-03-06 - 2011-03-12,12
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,11
2011-03-27 - 2011-04-02,9
2011-04-03 - 2011-04-09,11
2011-04-10 - 2011-04-16,10
2011-04-17 - 2011-04-23,10
2011-04-24 - 2011-04-30,11
2011-05-01 - 2011-05-07,11
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,10
2011-05-22 - 2011-05-28,10
2011-05-29 - 2011-06-04,10
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,9
2011-06-19 - 2011-06-25,13
2011-06-26 - 2011-07-02,11
2011-07-03 - 2011-07-09,12
2011-07-10 - 2011-07-16,10
2011-07-17 - 2011-07-23,11
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,11
2011-08-07 - 2011-08-13,15
2011-08-14 - 2011-08-20,11
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,11
2011-09-04 - 2011-09-10,10
2011-09-11 - 2011-09-17,16
2011-09-18 - 2011-09-24,13
2011-09-25 - 2011-10-01,14
2011-10-02 - 2011-10-08,12
2011-10-09 - 2011-10-15,12
2011-10-16 - 2011-10-22,11
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,12
2011-11-06 - 2011-11-12,12
2011-11-13 - 2011-11-19,15
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,13
2011-12-04 - 2011-12-10,9
2011-12-11 - 2011-12-17,12
2011-12-18 - 2011-12-24,9
2011-12-25 - 2011-12-31,10
2012-01-01 - 2012-01-07,11
2012-01-08 - 2012-01-14,13
2012-01-15 - 2012-01-21,12
2012-01-22 - 2012-01-28,15
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,11
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,13
2012-03-04 - 2012-03-10,12
2012-03-11 - 2012-03-17,12
2012-03-18 - 2012-03-24,14
2012-03-25 - 2012-03-31,18
2012-04-01 - 2012-04-07,12
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,16
2012-04-22 - 2012-04-28,14
2012-04-29 - 2012-05-05,13
2012-05-06 - 2012-05-12,15
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,13
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,12
2012-07-01 - 2012-07-07,12
2012-07-08 - 2012-07-14,10
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,10
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,8
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,11
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,11
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,11
2012-09-23 - 2012-09-29,12
2012-09-30 - 2012-10-06,10
2012-10-07 - 2012-10-13,9
2012-10-14 - 2012-10-20,10
2012-10-21 - 2012-10-27,11
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,9
2012-11-11 - 2012-11-17,12
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,11
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,8
2013-01-27 - 2013-02-02,12
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,9
2013-02-17 - 2013-02-23,12
2013-02-24 - 2013-03-02,10
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,10
2013-03-17 - 2013-03-23,9
2013-03-24 - 2013-03-30,11
2013-03-31 - 2013-04-06,12
2013-04-07 - 2013-04-13,15
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,11
2013-04-28 - 2013-05-04,13
2013-05-05 - 2013-05-11,11
2013-05-12 - 2013-05-18,10
2013-05-19 - 2013-05-25,12
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,100
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,19
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,14
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,14
2013-07-28 - 2013-08-03,14
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,13
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,15
2013-09-29 - 2013-10-05,10
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,12
2013-11-03 - 2013-11-09,13
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,8
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,9
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,10
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,15


Top subregions for hepatitis a symptoms
Subregion,hepatitis a symptoms
Washington,100
North Carolina,96
Florida,89
California,86
Georgia,85
Ohio,84
Michigan,83
Pennsylvania,80
Massachusetts,77
Texas,76
Illinois,72
New York,71
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Maine,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for hepatitis a symptoms
