Web Search interest: hepatitis
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,40
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,33
2011-01-02 - 2011-01-08,46
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,43
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,42
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,45
2011-03-13 - 2011-03-19,43
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,46
2011-04-03 - 2011-04-09,47
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,44
2011-04-24 - 2011-04-30,47
2011-05-01 - 2011-05-07,46
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,45
2011-05-22 - 2011-05-28,45
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,43
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,38
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,43
2011-07-24 - 2011-07-30,47
2011-07-31 - 2011-08-06,43
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,42
2011-08-21 - 2011-08-27,41
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,45
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,46
2011-10-02 - 2011-10-08,44
2011-10-09 - 2011-10-15,45
2011-10-16 - 2011-10-22,45
2011-10-23 - 2011-10-29,46
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,37
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,33
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,44
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,57
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,45
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,44
2012-06-10 - 2012-06-16,45
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,48
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,70
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,44
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,39
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,40
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,42
2013-02-10 - 2013-02-16,40
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,41
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,46
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,49
2013-04-14 - 2013-04-20,46
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,45
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,100
2013-06-09 - 2013-06-15,55
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,43
2013-07-14 - 2013-07-20,43
2013-07-21 - 2013-07-27,44
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,44
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,45
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,43
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,47
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,39
2013-12-22 - 2013-12-28,32
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,42
2014-01-12 - 2014-01-18,44
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,40
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,60


Top subregions for hepatitis
Subregion,hepatitis
West Virginia,100
Kentucky,89
North Dakota,86
Tennessee,84
Mississippi,83
South Dakota,82
New Mexico,82
New Hampshire,81
Louisiana,78
Alabama,76
Maryland,76
Pennsylvania,76
Maine,75
Oklahoma,74
Florida,74
District of Columbia,74
Hawaii,74
Arkansas,74
Ohio,73
Delaware,73
Missouri,72
Montana,72
Alaska,72
Indiana,72
New York,72
Kansas,71
Georgia,71
Massachusetts,71
Idaho,70
North Carolina,70
South Carolina,69
Wyoming,69
New Jersey,69
Arizona,69
Texas,68
Michigan,68
Iowa,67
Connecticut,67
Nevada,67
Vermont,67
Nebraska,66
Rhode Island,66
Minnesota,65
California,65
Virginia,65
Illinois,65
Oregon,64
Washington,64
Wisconsin,64
Colorado,63
Utah,59


Top metros for hepatitis
Metro,hepatitis
Charleston-Huntington WV,100
Lexington KY,71
Knoxville TN,68
Ft. Myers-Naples FL,64
Nashville TN,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,62
Little Rock-Pine Bluff AR,61
Wilkes Barre-Scranton PA,61
Birmingham AL,60
Tulsa OK,60
Albuquerque-Santa Fe NM,60
Mobile AL-Pensacola (Ft. Walton Beach) FL,59
Wichita-Hutchinson KS,59
Dayton OH,59
West Palm Beach-Ft. Pierce FL,58
Portland-Auburn ME,58
Louisville KY,57
Honolulu HI,57
Tampa-St. Petersburg (Sarasota) FL,57
Pittsburgh PA,57
Spokane WA,57
New Orleans LA,56
Oklahoma City OK,56
Baltimore MD,56
Flint-Saginaw-Bay City MI,56
Indianapolis IN,56
Cincinnati OH,56
St. Louis MO,56
Greensboro-High Point-Winston Salem NC,56
Tucson (Sierra Vista) AZ,55
Miami-Ft. Lauderdale FL,55
Philadelphia PA,55
