Web Search interest: symptoms of hepatitis c
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of hepatitis c
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,37
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,27
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,25
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,25
2011-05-29 - 2011-06-04,32
2011-06-05 - 2011-06-11,29
2011-06-12 - 2011-06-18,40
2011-06-19 - 2011-06-25,30
2011-06-26 - 2011-07-02,34
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,47
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,31
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,37
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,29
2011-08-28 - 2011-09-03,42
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,26
2011-10-16 - 2011-10-22,26
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,30
2011-11-13 - 2011-11-19,40
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,32
2011-12-18 - 2011-12-24,22
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,28
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,30
2012-03-18 - 2012-03-24,26
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,36
2012-05-13 - 2012-05-19,68
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,38
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,100
2012-08-19 - 2012-08-25,45
2012-08-26 - 2012-09-01,35
2012-09-02 - 2012-09-08,33
