Web Search interest: legionellosis
United States Dec 2010 - Feb 2014

Interest over time
Month,legionellosis
2010-12,0
2011-01,0
2011-02,100
2011-03,31
2011-04,55
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,36
2011-11,30
2011-12,26
2012-01,26
2012-02,25
2012-03,28
2012-04,29
2012-05,30
2012-06,30
2012-07,30
2012-08,30
2012-09,30
2012-10,24
2012-11,23
2012-12,25
2013-01,26
2013-02,26
2013-03,27
2013-04,25
2013-05,26
2013-06,21
2013-07,21
2013-08,25
2013-09,29
2013-10,26
2013-11,26
2013-12,28
2014-01,23
2014-02,23









