Web Search interest: what is legionnaires disease
United States Dec 2010 - Feb 2014

Interest over time
Month,what is legionnaires disease
2010-12,0
2011-01,0
2011-02,65
2011-03,100
2011-04,71
2011-05,74
2011-06,77
2011-07,80
2011-08,40
2011-09,40
2011-10,40
2011-11,42
2011-12,44
2012-01,46
2012-02,48
2012-03,55
2012-04,43
2012-05,55
2012-06,68
2012-07,82
2012-08,95
2012-09,73
2012-10,49
2012-11,37
2012-12,44
2013-01,41
2013-02,38
2013-03,32
2013-04,32
2013-05,35
2013-06,39
2013-07,43
2013-08,37
2013-09,36
2013-10,41
2013-11,83
2013-12,34
2014-01,30
2014-02,39









