Web Search interest: measles vaccine
United States Nov 2010 - Mar 2014

Interest over time
Week,measles vaccine
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,28
2010-11-21 - 2010-11-27,28
2010-11-28 - 2010-12-04,28
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,28
2010-12-19 - 2010-12-25,28
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,25
2011-01-16 - 2011-01-22,26
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,26
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,32
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,27
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,28
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,35
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,30
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,37
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,32
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,35
2011-08-14 - 2011-08-20,28
2011-08-21 - 2011-08-27,20
2011-08-28 - 2011-09-03,26
2011-09-04 - 2011-09-10,28
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,28
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,32
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,30
2011-11-13 - 2011-11-19,26
2011-11-20 - 2011-11-26,20
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,23
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,32
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,32
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,30
2012-05-20 - 2012-05-26,24
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,30
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,23
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,25
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,19
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,16
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,29
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,21
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,29
2013-03-24 - 2013-03-30,27
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,31
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,26
2013-06-23 - 2013-06-29,27
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,26
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,32
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,70
2013-08-25 - 2013-08-31,81
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,52
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,28
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,37
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,26
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,72
2014-03-02 - 2014-03-08,51
2014-03-09 - 2014-03-15,95
2014-03-16 - 2014-03-22,94
2014-03-23 - 2014-03-29,79
2014-03-30 - 2014-04-05,100


Top subregions for measles vaccine
Subregion,measles vaccine
Massachusetts,100
Washington,79
New Jersey,78
New York,72
Pennsylvania,70
Michigan,70
North Carolina,66
California,64
Virginia,61
Texas,60
Florida,58
Illinois,52
Georgia,51
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Maine,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Vermont,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for measles vaccine
City,measles vaccine
New York,100



Top searches for measles vaccine
mmr vaccine,100
mumps vaccine,85
mumps,85
vaccine for measles,80
rubella,75
rubella vaccine,75
measles mumps rubella,55
what is measles,40
chicken pox vaccine,35
measles from vaccine,30
measles vaccine rash,30
measles rash,30
polio vaccine,30
measles vaccination,30
measles symptoms,30
measles vaccine schedule,30
measles outbreak,25
measles vaccine autism,25
german measles vaccine,20
german measles,20
varicella vaccine,15
tetanus vaccine,15
cdc measles vaccine,15
measles immunization,15
cdc measles,15
measles vaccine history,15
measles pictures,15



Rising searches for measles vaccine
measles outbreak,+100%
what is measles,+90%
measles from vaccine,+80%
measles vaccine schedule,+60%
vaccine for measles,+60%
german measles vaccine,+50%
chicken pox vaccine,+40%
measles pictures,+40%
measles rash,+40%
measles symptoms,+40%



