Week,myalgia,listeriosis,listeria monocytogenes,listeria
2010-11-07 - 2010-11-13,71,0,9,1
2010-11-14 - 2010-11-20,80,10,12,1
2010-11-21 - 2010-11-27,59,8,11,1
2010-11-28 - 2010-12-04,75,8,11,1
2010-12-05 - 2010-12-11,76,8,8,1
2010-12-12 - 2010-12-18,64,8,8,1
2010-12-19 - 2010-12-25,61,6,9,1
2010-12-26 - 2011-01-01,67,6,9,2
2011-01-02 - 2011-01-08,75,6,9,1
2011-01-09 - 2011-01-15,69,6,9,1
2011-01-16 - 2011-01-22,79,7,9,1
2011-01-23 - 2011-01-29,74,8,11,1
2011-01-30 - 2011-02-05,77,8,8,2
2011-02-06 - 2011-02-12,100,8,8,1
2011-02-13 - 2011-02-19,84,6,7,1
2011-02-20 - 2011-02-26,84,8,8,1
2011-02-27 - 2011-03-05,79,7,10,1
2011-03-06 - 2011-03-12,78,7,8,1
2011-03-13 - 2011-03-19,73,7,8,1
2011-03-20 - 2011-03-26,88,7,8,1
2011-03-27 - 2011-04-02,82,7,8,1
2011-04-03 - 2011-04-09,85,6,8,2
2011-04-10 - 2011-04-16,94,6,11,2
2011-04-17 - 2011-04-23,88,8,9,1
2011-04-24 - 2011-04-30,86,8,10,1
2011-05-01 - 2011-05-07,91,8,10,2
2011-05-08 - 2011-05-14,74,8,8,1
2011-05-15 - 2011-05-21,73,6,7,2
2011-05-22 - 2011-05-28,68,6,7,2
2011-05-29 - 2011-06-04,76,6,8,1
2011-06-05 - 2011-06-11,78,7,7,1
2011-06-12 - 2011-06-18,79,7,8,1
2011-06-19 - 2011-06-25,78,7,9,1
2011-06-26 - 2011-07-02,81,7,9,1
2011-07-03 - 2011-07-09,73,6,9,1
2011-07-10 - 2011-07-16,67,6,7,1
2011-07-17 - 2011-07-23,78,6,7,1
2011-07-24 - 2011-07-30,76,6,7,2
2011-07-31 - 2011-08-06,77,6,7,2
2011-08-07 - 2011-08-13,66,6,8,4
2011-08-14 - 2011-08-20,77,6,9,34
2011-08-21 - 2011-08-27,72,6,12,19
2011-08-28 - 2011-09-03,80,7,7,100
2011-09-04 - 2011-09-10,84,9,8,39
2011-09-11 - 2011-09-17,87,59,44,21
2011-09-18 - 2011-09-24,97,32,27,13
2011-09-25 - 2011-10-01,93,100,100,8
2011-10-02 - 2011-10-08,83,40,36,8
2011-10-09 - 2011-10-15,94,22,27,5
2011-10-16 - 2011-10-22,85,16,16,5
2011-10-23 - 2011-10-29,87,12,12,5
2011-10-30 - 2011-11-05,93,13,10,5
2011-11-06 - 2011-11-12,85,10,10,5
2011-11-13 - 2011-11-19,85,7,8,4
2011-11-20 - 2011-11-26,60,6,8,3
2011-11-27 - 2011-12-03,93,8,9,4
2011-12-04 - 2011-12-10,79,8,10,4
2011-12-11 - 2011-12-17,75,5,9,4
2011-12-18 - 2011-12-24,65,6,6,2
2011-12-25 - 2011-12-31,56,6,6,2
2012-01-01 - 2012-01-07,70,6,6,2
2012-01-08 - 2012-01-14,79,5,6,2
2012-01-15 - 2012-01-21,78,6,6,1
2012-01-22 - 2012-01-28,78,6,8,2
2012-01-29 - 2012-02-04,94,7,9,2
2012-02-05 - 2012-02-11,82,7,9,1
2012-02-12 - 2012-02-18,78,7,8,1
2012-02-19 - 2012-02-25,90,6,7,1
2012-02-26 - 2012-03-03,87,5,9,1
2012-03-04 - 2012-03-10,79,7,7,1
2012-03-11 - 2012-03-17,85,6,8,2
2012-03-18 - 2012-03-24,90,5,8,1
2012-03-25 - 2012-03-31,84,6,8,1
2012-04-01 - 2012-04-07,76,7,7,2
2012-04-08 - 2012-04-14,86,7,9,2
2012-04-15 - 2012-04-21,82,7,8,2
2012-04-22 - 2012-04-28,89,5,9,5
2012-04-29 - 2012-05-05,77,6,10,2
2012-05-06 - 2012-05-12,77,6,6,1
2012-05-13 - 2012-05-19,79,6,10,1
2012-05-20 - 2012-05-26,84,7,17,1
2012-05-27 - 2012-06-02,74,6,6,3
2012-06-03 - 2012-06-09,81,6,6,2
2012-06-10 - 2012-06-16,70,6,7,2
2012-06-17 - 2012-06-23,74,5,6,2
2012-06-24 - 2012-06-30,69,6,8,2
2012-07-01 - 2012-07-07,59,8,9,4
2012-07-08 - 2012-07-14,59,5,8,4
2012-07-15 - 2012-07-21,65,6,8,7
2012-07-22 - 2012-07-28,79,4,7,3
2012-07-29 - 2012-08-04,72,4,15,2
2012-08-05 - 2012-08-11,76,7,13,2
2012-08-12 - 2012-08-18,77,7,14,3
2012-08-19 - 2012-08-25,84,5,9,3
2012-08-26 - 2012-09-01,88,7,7,3
2012-09-02 - 2012-09-08,92,8,6,4
2012-09-09 - 2012-09-15,99,7,12,2
2012-09-16 - 2012-09-22,89,7,11,2
2012-09-23 - 2012-09-29,98,6,8,2
2012-09-30 - 2012-10-06,92,7,14,2
2012-10-07 - 2012-10-13,86,5,10,1
2012-10-14 - 2012-10-20,87,6,9,2
2012-10-21 - 2012-10-27,94,7,7,2
2012-10-28 - 2012-11-03,77,5,7,2
2012-11-04 - 2012-11-10,80,5,7,2
2012-11-11 - 2012-11-17,77,5,8,2
2012-11-18 - 2012-11-24,70,4,6,1
2012-11-25 - 2012-12-01,86,6,7,2
2012-12-02 - 2012-12-08,78,6,9,1
2012-12-09 - 2012-12-15,80,5,7,2
2012-12-16 - 2012-12-22,64,4,7,1
2012-12-23 - 2012-12-29,49,4,7,1
2012-12-30 - 2013-01-05,56,5,7,2
2013-01-06 - 2013-01-12,77,5,7,1
2013-01-13 - 2013-01-19,79,5,4,3
2013-01-20 - 2013-01-26,74,5,6,2
2013-01-27 - 2013-02-02,89,4,8,1
2013-02-03 - 2013-02-09,80,6,8,1
2013-02-10 - 2013-02-16,81,7,9,1
2013-02-17 - 2013-02-23,79,6,9,1
2013-02-24 - 2013-03-02,88,6,8,1
2013-03-03 - 2013-03-09,73,6,5,1
2013-03-10 - 2013-03-16,73,5,7,2
2013-03-17 - 2013-03-23,75,6,8,2
2013-03-24 - 2013-03-30,74,6,6,2
2013-03-31 - 2013-04-06,82,5,7,1
2013-04-07 - 2013-04-13,80,7,10,1
2013-04-14 - 2013-04-20,84,10,14,1
2013-04-21 - 2013-04-27,78,8,8,1
2013-04-28 - 2013-05-04,80,7,10,1
2013-05-05 - 2013-05-11,72,5,7,1
2013-05-12 - 2013-05-18,71,4,5,1
2013-05-19 - 2013-05-25,70,5,4,1
2013-05-26 - 2013-06-01,72,6,4,1
2013-06-02 - 2013-06-08,76,6,6,3
2013-06-09 - 2013-06-15,73,5,6,3
