Web Search interest: listeria
United States Dec 2010 - Feb 2014

Interest over time
Week,listeria
2010-12-05 - 2010-12-11,1
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,1
2010-12-26 - 2011-01-01,1
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,1
2011-01-16 - 2011-01-22,1
2011-01-23 - 2011-01-29,2
2011-01-30 - 2011-02-05,1
2011-02-06 - 2011-02-12,1
2011-02-13 - 2011-02-19,1
2011-02-20 - 2011-02-26,1
2011-02-27 - 2011-03-05,2
2011-03-06 - 2011-03-12,1
2011-03-13 - 2011-03-19,1
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,1
2011-04-10 - 2011-04-16,1
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,2
2011-05-08 - 2011-05-14,2
2011-05-15 - 2011-05-21,1
2011-05-22 - 2011-05-28,1
2011-05-29 - 2011-06-04,2
2011-06-05 - 2011-06-11,1
2011-06-12 - 2011-06-18,2
2011-06-19 - 2011-06-25,2
2011-06-26 - 2011-07-02,1
2011-07-03 - 2011-07-09,1
2011-07-10 - 2011-07-16,1
2011-07-17 - 2011-07-23,1
2011-07-24 - 2011-07-30,1
2011-07-31 - 2011-08-06,1
2011-08-07 - 2011-08-13,1
2011-08-14 - 2011-08-20,1
2011-08-21 - 2011-08-27,2
2011-08-28 - 2011-09-03,2
2011-09-04 - 2011-09-10,4
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,19
2011-09-25 - 2011-10-01,100
2011-10-02 - 2011-10-08,39
2011-10-09 - 2011-10-15,21
2011-10-16 - 2011-10-22,13
2011-10-23 - 2011-10-29,8
2011-10-30 - 2011-11-05,8
2011-11-06 - 2011-11-12,5
2011-11-13 - 2011-11-19,5
2011-11-20 - 2011-11-26,5
2011-11-27 - 2011-12-03,5
2011-12-04 - 2011-12-10,5
2011-12-11 - 2011-12-17,4
2011-12-18 - 2011-12-24,3
2011-12-25 - 2011-12-31,4
2012-01-01 - 2012-01-07,4
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,2
2012-01-22 - 2012-01-28,2
2012-01-29 - 2012-02-04,2
2012-02-05 - 2012-02-11,2
2012-02-12 - 2012-02-18,1
2012-02-19 - 2012-02-25,2
2012-02-26 - 2012-03-03,2
2012-03-04 - 2012-03-10,1
2012-03-11 - 2012-03-17,1
2012-03-18 - 2012-03-24,1
2012-03-25 - 2012-03-31,1
2012-04-01 - 2012-04-07,1
2012-04-08 - 2012-04-14,2
2012-04-15 - 2012-04-21,1
2012-04-22 - 2012-04-28,1
2012-04-29 - 2012-05-05,2
2012-05-06 - 2012-05-12,2
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,5
2012-05-27 - 2012-06-02,2
2012-06-03 - 2012-06-09,1
2012-06-10 - 2012-06-16,1
2012-06-17 - 2012-06-23,1
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,2
2012-07-08 - 2012-07-14,2
2012-07-15 - 2012-07-21,2
2012-07-22 - 2012-07-28,2
2012-07-29 - 2012-08-04,4
2012-08-05 - 2012-08-11,4
2012-08-12 - 2012-08-18,7
2012-08-19 - 2012-08-25,3
2012-08-26 - 2012-09-01,2
2012-09-02 - 2012-09-08,2
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,4
2012-10-07 - 2012-10-13,2
2012-10-14 - 2012-10-20,2
2012-10-21 - 2012-10-27,2
2012-10-28 - 2012-11-03,2
2012-11-04 - 2012-11-10,1
2012-11-11 - 2012-11-17,2
2012-11-18 - 2012-11-24,2
2012-11-25 - 2012-12-01,2
2012-12-02 - 2012-12-08,2
2012-12-09 - 2012-12-15,2
2012-12-16 - 2012-12-22,1
2012-12-23 - 2012-12-29,2
2012-12-30 - 2013-01-05,1
2013-01-06 - 2013-01-12,2
2013-01-13 - 2013-01-19,1
2013-01-20 - 2013-01-26,1
2013-01-27 - 2013-02-02,2
2013-02-03 - 2013-02-09,1
2013-02-10 - 2013-02-16,3
2013-02-17 - 2013-02-23,2
2013-02-24 - 2013-03-02,1
2013-03-03 - 2013-03-09,1
2013-03-10 - 2013-03-16,1
2013-03-17 - 2013-03-23,1
2013-03-24 - 2013-03-30,1
2013-03-31 - 2013-04-06,1
2013-04-07 - 2013-04-13,2
2013-04-14 - 2013-04-20,2
2013-04-21 - 2013-04-27,2
2013-04-28 - 2013-05-04,1
2013-05-05 - 2013-05-11,1
2013-05-12 - 2013-05-18,1
2013-05-19 - 2013-05-25,1
2013-05-26 - 2013-06-01,1
2013-06-02 - 2013-06-08,1
2013-06-09 - 2013-06-15,1
2013-06-16 - 2013-06-22,1
2013-06-23 - 2013-06-29,1
2013-06-30 - 2013-07-06,3
2013-07-07 - 2013-07-13,3
2013-07-14 - 2013-07-20,1
2013-07-21 - 2013-07-27,1
2013-07-28 - 2013-08-03,1
2013-08-04 - 2013-08-10,1
2013-08-11 - 2013-08-17,1
2013-08-18 - 2013-08-24,2
2013-08-25 - 2013-08-31,1
2013-09-01 - 2013-09-07,1
2013-09-08 - 2013-09-14,2
2013-09-15 - 2013-09-21,1
2013-09-22 - 2013-09-28,4
2013-09-29 - 2013-10-05,2
2013-10-06 - 2013-10-12,2
2013-10-13 - 2013-10-19,2
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,4
2013-11-03 - 2013-11-09,2
2013-11-10 - 2013-11-16,2
2013-11-17 - 2013-11-23,2
2013-11-24 - 2013-11-30,1
2013-12-01 - 2013-12-07,1
2013-12-08 - 2013-12-14,1
2013-12-15 - 2013-12-21,1
2013-12-22 - 2013-12-28,1
2013-12-29 - 2014-01-04,1
2014-01-05 - 2014-01-11,1
2014-01-12 - 2014-01-18,1
2014-01-19 - 2014-01-25,1
2014-01-26 - 2014-02-01,2
2014-02-02 - 2014-02-08,1
2014-02-09 - 2014-02-15,1
2014-02-16 - 2014-02-22,2
2014-02-23 - 2014-03-01,2


Top subregions for listeria
Subregion,listeria
Colorado,100
New Mexico,59
Nebraska,46
Oklahoma,42
Arkansas,41
Kansas,41
New Hampshire,38
Iowa,37
Idaho,36
Louisiana,35
Wisconsin,35
Minnesota,34
Maine,34
Pennsylvania,34
Missouri,34
District of Columbia,34
Ohio,33
Maryland,33
Utah,32
Indiana,32
West Virginia,32
Rhode Island,31
Tennessee,31
Washington,30
Texas,30
Illinois,30
Alabama,30
Massachusetts,29
Arizona,29
Connecticut,29
Kentucky,29
South Carolina,28
North Carolina,28
Georgia,28
Michigan,27
Virginia,27
Mississippi,27
New York,26
Oregon,26
Florida,26
New Jersey,26
California,25
Hawaii,25
Nevada,23
Alaska,0
Delaware,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for listeria
Metro,listeria
Denver CO,100
Detroit MI,34
Minneapolis-St. Paul MN,31
Washington DC (Hagerstown MD),30
Boston MA-Manchester NH,29
Seattle-Tacoma WA,28
Philadelphia PA,28
Dallas-Ft. Worth TX,28
Chicago IL,28
Atlanta GA,28
Houston TX,27
San Francisco-Oakland-San Jose CA,26
New York NY,25
Los Angeles CA,23
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
