Web Search interest: lyme
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,29
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,33
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,39
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,43
2011-04-03 - 2011-04-09,47
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,75
2011-05-15 - 2011-05-21,81
2011-05-22 - 2011-05-28,95
2011-05-29 - 2011-06-04,98
2011-06-05 - 2011-06-11,87
2011-06-12 - 2011-06-18,86
2011-06-19 - 2011-06-25,87
2011-06-26 - 2011-07-02,92
2011-07-03 - 2011-07-09,87
2011-07-10 - 2011-07-16,86
2011-07-17 - 2011-07-23,83
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,70
2011-08-07 - 2011-08-13,64
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,57
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,50
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,38
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,40
2012-02-26 - 2012-03-03,43
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,60
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,71
2012-04-15 - 2012-04-21,73
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,72
2012-05-06 - 2012-05-12,78
2012-05-13 - 2012-05-19,85
2012-05-20 - 2012-05-26,90
2012-05-27 - 2012-06-02,90
2012-06-03 - 2012-06-09,82
2012-06-10 - 2012-06-16,84
2012-06-17 - 2012-06-23,85
2012-06-24 - 2012-06-30,82
2012-07-01 - 2012-07-07,78
2012-07-08 - 2012-07-14,79
2012-07-15 - 2012-07-21,77
2012-07-22 - 2012-07-28,71
2012-07-29 - 2012-08-04,69
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,64
2012-08-26 - 2012-09-01,61
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,45
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,81
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,52
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,66
2013-05-05 - 2013-05-11,68
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,77
2013-05-26 - 2013-06-01,83
2013-06-02 - 2013-06-08,87
2013-06-09 - 2013-06-15,89
2013-06-16 - 2013-06-22,89
2013-06-23 - 2013-06-29,98
2013-06-30 - 2013-07-06,94
2013-07-07 - 2013-07-13,98
2013-07-14 - 2013-07-20,90
2013-07-21 - 2013-07-27,82
2013-07-28 - 2013-08-03,77
2013-08-04 - 2013-08-10,75
2013-08-11 - 2013-08-17,70
2013-08-18 - 2013-08-24,100
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,63
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,53
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,68
2013-11-17 - 2013-11-23,59
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,42
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,38
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,41


Top subregions for lyme
Subregion,lyme
Connecticut,100
New Hampshire,56
Vermont,51
Maine,41
Rhode Island,38
Massachusetts,33
Pennsylvania,21
Maryland,19
Virginia,19
Delaware,18
District of Columbia,18
New York,17
New Jersey,16
Wisconsin,13
West Virginia,13
Minnesota,12
North Carolina,11
Tennessee,11
Iowa,11
North Dakota,10
Kansas,10
Arkansas,10
Kentucky,10
Montana,10
Missouri,10
South Carolina,9
Indiana,9
Alabama,9
Mississippi,9
Illinois,9
Ohio,9
Michigan,9
South Dakota,9
Georgia,8
Florida,8
Oklahoma,8
Idaho,8
Wyoming,8
Louisiana,8
Nebraska,8
New Mexico,7
Washington,7
California,7
Colorado,7
Oregon,7
Utah,7
Arizona,6
Alaska,6
Texas,6
Nevada,6
Hawaii,5


Top metros for lyme
Metro,lyme
Hartford & New Haven CT,100
Burlington VT-Plattsburgh NY,49
Portland-Auburn ME,35
Springfield-Holyoke MA,34
Albany-Schenectady-Troy NY,30
Providence RI-New Bedford MA,28
Boston MA-Manchester NH,28
Wilkes Barre-Scranton PA,24
Johnstown-Altoona PA,23
Syracuse NY,20
Harrisburg-Lancaster-Lebanon-York PA,20
Roanoke-Lynchburg VA,16
Baltimore MD,15
Philadelphia PA,15
Washington DC (Hagerstown MD),15
New York NY,13
Richmond-Petersburg VA,13
Pittsburgh PA,13
Rochester NY,11
Norfolk-Portsmouth-Newport News VA,11
Madison WI,10
Minneapolis-St. Paul MN,10
