Web Search interest: lyme symptoms
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme symptoms
2010-12-05 - 2010-12-11,25
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,18
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,26
2011-01-09 - 2011-01-15,24
2011-01-16 - 2011-01-22,25
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,24
2011-02-06 - 2011-02-12,23
2011-02-13 - 2011-02-19,25
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,35
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,34
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,87
2011-05-29 - 2011-06-04,100
2011-06-05 - 2011-06-11,92
2011-06-12 - 2011-06-18,93
2011-06-19 - 2011-06-25,95
2011-06-26 - 2011-07-02,95
2011-07-03 - 2011-07-09,86
2011-07-10 - 2011-07-16,89
2011-07-17 - 2011-07-23,79
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,58
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,48
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,31
2011-10-23 - 2011-10-29,29
2011-10-30 - 2011-11-05,25
2011-11-06 - 2011-11-12,29
2011-11-13 - 2011-11-19,29
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,32
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,28
2011-12-25 - 2011-12-31,29
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,31
2012-01-15 - 2012-01-21,28
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,27
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,22
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,31
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,38
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,65
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,85
2012-05-20 - 2012-05-26,87
2012-05-27 - 2012-06-02,94
2012-06-03 - 2012-06-09,83
2012-06-10 - 2012-06-16,79
2012-06-17 - 2012-06-23,75
2012-06-24 - 2012-06-30,63
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,54
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,42
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,40
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,35
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,27
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,20
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,21
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,24
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,26
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,28
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,57
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,49
2013-04-28 - 2013-05-04,54
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,66
2013-05-26 - 2013-06-01,70
2013-06-02 - 2013-06-08,72
2013-06-09 - 2013-06-15,67
2013-06-16 - 2013-06-22,70
2013-06-23 - 2013-06-29,75
2013-06-30 - 2013-07-06,77
2013-07-07 - 2013-07-13,92
2013-07-14 - 2013-07-20,74
2013-07-21 - 2013-07-27,73
2013-07-28 - 2013-08-03,67
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,93
2013-08-25 - 2013-08-31,61
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,39
