Web Search interest: poison oak
United States Dec 2010 - Feb 2014

Interest over time
Week,poison oak
2010-12-05 - 2010-12-11,10
2010-12-12 - 2010-12-18,9
2010-12-19 - 2010-12-25,8
2010-12-26 - 2011-01-01,10
2011-01-02 - 2011-01-08,12
2011-01-09 - 2011-01-15,12
2011-01-16 - 2011-01-22,13
2011-01-23 - 2011-01-29,12
2011-01-30 - 2011-02-05,12
2011-02-06 - 2011-02-12,14
2011-02-13 - 2011-02-19,17
2011-02-20 - 2011-02-26,17
2011-02-27 - 2011-03-05,15
2011-03-06 - 2011-03-12,18
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,24
2011-03-27 - 2011-04-02,25
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,43
2011-04-17 - 2011-04-23,48
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,71
2011-05-29 - 2011-06-04,94
2011-06-05 - 2011-06-11,83
2011-06-12 - 2011-06-18,81
2011-06-19 - 2011-06-25,81
2011-06-26 - 2011-07-02,86
2011-07-03 - 2011-07-09,92
2011-07-10 - 2011-07-16,81
2011-07-17 - 2011-07-23,68
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,64
2011-08-07 - 2011-08-13,64
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,53
2011-08-28 - 2011-09-03,51
2011-09-04 - 2011-09-10,44
2011-09-11 - 2011-09-17,39
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,31
2011-10-16 - 2011-10-22,25
2011-10-23 - 2011-10-29,22
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,17
2011-11-20 - 2011-11-26,16
2011-11-27 - 2011-12-03,16
2011-12-04 - 2011-12-10,12
2011-12-11 - 2011-12-17,12
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,13
2012-01-01 - 2012-01-07,15
2012-01-08 - 2012-01-14,14
2012-01-15 - 2012-01-21,12
2012-01-22 - 2012-01-28,10
2012-01-29 - 2012-02-04,13
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,16
2012-03-04 - 2012-03-10,18
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,30
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,78
2012-05-20 - 2012-05-26,84
2012-05-27 - 2012-06-02,100
2012-06-03 - 2012-06-09,86
2012-06-10 - 2012-06-16,83
2012-06-17 - 2012-06-23,85
2012-06-24 - 2012-06-30,76
2012-07-01 - 2012-07-07,75
2012-07-08 - 2012-07-14,72
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,62
2012-07-29 - 2012-08-04,64
2012-08-05 - 2012-08-11,61
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,55
2012-08-26 - 2012-09-01,50
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,40
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,21
2012-10-28 - 2012-11-03,18
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,18
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,16
2012-12-02 - 2012-12-08,12
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,10
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,12
2013-01-06 - 2013-01-12,11
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,15
2013-01-27 - 2013-02-02,12
2013-02-03 - 2013-02-09,11
