Web Search interest: lyme disease
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme disease
2010-12-05 - 2010-12-11,27
2010-12-12 - 2010-12-18,23
2010-12-19 - 2010-12-25,20
2010-12-26 - 2011-01-01,21
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,25
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,26
2011-01-30 - 2011-02-05,26
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,29
2011-02-20 - 2011-02-26,31
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,78
2011-05-22 - 2011-05-28,93
2011-05-29 - 2011-06-04,96
2011-06-05 - 2011-06-11,83
2011-06-12 - 2011-06-18,81
2011-06-19 - 2011-06-25,85
2011-06-26 - 2011-07-02,86
2011-07-03 - 2011-07-09,82
2011-07-10 - 2011-07-16,83
2011-07-17 - 2011-07-23,78
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,64
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,46
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,45
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,42
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,47
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,33
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,32
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,38
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,72
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,70
2012-05-06 - 2012-05-12,76
2012-05-13 - 2012-05-19,82
2012-05-20 - 2012-05-26,87
2012-05-27 - 2012-06-02,89
2012-06-03 - 2012-06-09,82
2012-06-10 - 2012-06-16,81
2012-06-17 - 2012-06-23,80
2012-06-24 - 2012-06-30,81
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,73
2012-07-15 - 2012-07-21,71
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,64
2012-08-05 - 2012-08-11,60
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,50
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,40
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,36
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,38
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,29
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,28
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,29
2013-02-10 - 2013-02-16,29
2013-02-17 - 2013-02-23,29
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,34
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,85
2013-03-31 - 2013-04-06,49
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,63
2013-05-05 - 2013-05-11,66
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,77
2013-05-26 - 2013-06-01,81
2013-06-02 - 2013-06-08,88
2013-06-09 - 2013-06-15,87
2013-06-16 - 2013-06-22,89
2013-06-23 - 2013-06-29,96
2013-06-30 - 2013-07-06,89
2013-07-07 - 2013-07-13,99
2013-07-14 - 2013-07-20,85
2013-07-21 - 2013-07-27,78
