Web Search interest: influenza
United States Dec 2010 - Feb 2014

Interest over time
Week,influenza
2010-12-05 - 2010-12-11,21
2010-12-12 - 2010-12-18,20
2010-12-19 - 2010-12-25,16
2010-12-26 - 2011-01-01,17
2011-01-02 - 2011-01-08,23
2011-01-09 - 2011-01-15,22
2011-01-16 - 2011-01-22,27
2011-01-23 - 2011-01-29,34
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,37
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,25
2011-03-20 - 2011-03-26,22
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,18
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,14
2011-04-24 - 2011-04-30,14
2011-05-01 - 2011-05-07,13
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,12
2011-05-22 - 2011-05-28,9
2011-05-29 - 2011-06-04,9
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,7
2011-06-26 - 2011-07-02,8
2011-07-03 - 2011-07-09,7
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,8
2011-07-24 - 2011-07-30,7
2011-07-31 - 2011-08-06,7
2011-08-07 - 2011-08-13,8
2011-08-14 - 2011-08-20,8
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,12
2011-09-04 - 2011-09-10,13
2011-09-11 - 2011-09-17,17
2011-09-18 - 2011-09-24,18
2011-09-25 - 2011-10-01,18
2011-10-02 - 2011-10-08,19
2011-10-09 - 2011-10-15,19
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,19
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,14
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,14
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,10
2012-01-01 - 2012-01-07,12
2012-01-08 - 2012-01-14,14
2012-01-15 - 2012-01-21,14
2012-01-22 - 2012-01-28,16
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,25
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,24
2012-03-25 - 2012-03-31,21
2012-04-01 - 2012-04-07,17
2012-04-08 - 2012-04-14,18
2012-04-15 - 2012-04-21,17
2012-04-22 - 2012-04-28,16
2012-04-29 - 2012-05-05,16
2012-05-06 - 2012-05-12,15
2012-05-13 - 2012-05-19,13
2012-05-20 - 2012-05-26,11
2012-05-27 - 2012-06-02,10
2012-06-03 - 2012-06-09,9
2012-06-10 - 2012-06-16,9
2012-06-17 - 2012-06-23,9
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,6
2012-07-08 - 2012-07-14,7
2012-07-15 - 2012-07-21,7
2012-07-22 - 2012-07-28,7
2012-07-29 - 2012-08-04,8
2012-08-05 - 2012-08-11,8
2012-08-12 - 2012-08-18,9
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,10
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,15
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,18
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,18
