Web Search interest: water pollution
United States Dec 2010 - Feb 2014

Interest over time
Week,water pollution
2010-12-05 - 2010-12-11,80
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,56
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,61
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,65
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,68
2011-02-27 - 2011-03-05,70
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,75
2011-03-27 - 2011-04-02,90
2011-04-03 - 2011-04-09,83
2011-04-10 - 2011-04-16,95
2011-04-17 - 2011-04-23,81
2011-04-24 - 2011-04-30,88
2011-05-01 - 2011-05-07,92
2011-05-08 - 2011-05-14,88
2011-05-15 - 2011-05-21,87
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,25
2011-06-26 - 2011-07-02,24
2011-07-03 - 2011-07-09,21
2011-07-10 - 2011-07-16,26
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,20
2011-07-31 - 2011-08-06,22
2011-08-07 - 2011-08-13,21
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,26
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,59
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,61
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,78
2011-12-04 - 2011-12-10,74
2011-12-11 - 2011-12-17,67
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,14
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,52
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,66
2012-03-04 - 2012-03-10,69
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,69
2012-03-25 - 2012-03-31,70
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,73
2012-04-15 - 2012-04-21,86
2012-04-22 - 2012-04-28,92
2012-04-29 - 2012-05-05,95
2012-05-06 - 2012-05-12,85
2012-05-13 - 2012-05-19,77
2012-05-20 - 2012-05-26,70
2012-05-27 - 2012-06-02,55
2012-06-03 - 2012-06-09,48
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,21
2012-08-05 - 2012-08-11,19
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,53
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,59
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,68
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,9
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,48
