Web Search interest: symptoms of whooping cough
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of whooping cough
2010-12-05 - 2010-12-11,32
2010-12-12 - 2010-12-18,40
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,33
2011-01-30 - 2011-02-05,45
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,34
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,30
2011-04-17 - 2011-04-23,24
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,22
2011-05-08 - 2011-05-14,25
2011-05-15 - 2011-05-21,20
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,23
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,24
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,24
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,22
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,37
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,27
2011-11-20 - 2011-11-26,30
2011-11-27 - 2011-12-03,32
2011-12-04 - 2011-12-10,26
