Web Search interest: pertussis vaccine
United States Dec 2010 - Feb 2014

Interest over time
Week,pertussis vaccine
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,23
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,26
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,27
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,31
2011-02-20 - 2011-02-26,30
2011-02-27 - 2011-03-05,29
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,24
2011-04-03 - 2011-04-09,30
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,31
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,28
2011-05-29 - 2011-06-04,22
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,32
2011-06-19 - 2011-06-25,33
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,19
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,32
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,29
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,24
2011-09-11 - 2011-09-17,37
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,36
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,29
2011-10-23 - 2011-10-29,32
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,34
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,26
2011-11-27 - 2011-12-03,35
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,32
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,26
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,64
2012-04-22 - 2012-04-28,47
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,65
2012-05-13 - 2012-05-19,59
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,43
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,38
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,42
2012-07-15 - 2012-07-21,100
2012-07-22 - 2012-07-28,92
2012-07-29 - 2012-08-04,85
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,72
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,61
2012-09-16 - 2012-09-22,58
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,58
2012-10-07 - 2012-10-13,51
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,47
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,40
2013-01-13 - 2013-01-19,34
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,32
2013-02-10 - 2013-02-16,30
2013-02-17 - 2013-02-23,29
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,27
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,26
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,33
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,33
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,42
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,43
2013-11-03 - 2013-11-09,40
2013-11-10 - 2013-11-16,55
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,47
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,39
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,43
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,29


Top subregions for pertussis vaccine
Subregion,pertussis vaccine
Washington,100
Minnesota,75
Wisconsin,74
Pennsylvania,72
Colorado,70
Maryland,64
Tennessee,61
Oregon,60
Texas,58
Michigan,57
Massachusetts,56
Arizona,56
North Carolina,56
Virginia,55
Ohio,55
Missouri,55
New Jersey,54
Illinois,52
California,48
Georgia,45
New York,45
Florida,41
Alaska,0
Alabama,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Rhode Island,0
South Carolina,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for pertussis vaccine
City,pertussis vaccine
Seattle,100
Denver,64
Washington,51
Dallas,50
San Francisco,43
Chicago,43
Houston,42
Los Angeles,36
New York,34



Top searches for pertussis vaccine
vaccine for pertussis,100
whooping cough vaccine,70
pertussis tetanus vaccine,70
tetanus vaccine,70
tdap vaccine,60
tdap,60
pertussis vaccine adults,55
dtap,35
dtap vaccine,35
what is pertussis,35
diphtheria,35
diphtheria vaccine,35
pertussis vaccine pregnancy,25
pertussis symptoms,25
pertussis vaccine schedule,25
diphtheria tetanus pertussis,25
cdc pertussis,20
pertussis in adults,20
cdc pertussis vaccine,20
bordetella,15
acellular pertussis vaccine,15
acellular pertussis,15
bordetella pertussis vaccine,15
bordetella pertussis,15
walgreens pertussis vaccine,15
bordetella vaccine,15
pertussis vaccine infants,15
pertussis treatment,10
pertussis outbreak,10
cvs pertussis vaccine,10
pertussis vaccine cost,10
pertussis vaccine reaction,10



Rising searches for pertussis vaccine
walgreens pertussis vaccine,Breakout
what is pertussis,+130%
pertussis vaccine pregnancy,+100%
bordetella,+60%
bordetella pertussis vaccine,+60%
pertussis in adults,+60%
tdap vaccine,+60%
bordetella vaccine,+50%
tdap,+50%
bordetella pertussis,+40%



