Web Search interest: whooping cough
United States Dec 2010 - Feb 2014

Interest over time
Week,whooping cough
2010-12-05 - 2010-12-11,37
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,29
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,33
2011-01-30 - 2011-02-05,36
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,35
2011-02-20 - 2011-02-26,36
2011-02-27 - 2011-03-05,32
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,27
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,27
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,25
2011-05-01 - 2011-05-07,22
2011-05-08 - 2011-05-14,23
2011-05-15 - 2011-05-21,21
2011-05-22 - 2011-05-28,21
2011-05-29 - 2011-06-04,20
2011-06-05 - 2011-06-11,21
2011-06-12 - 2011-06-18,19
2011-06-19 - 2011-06-25,23
2011-06-26 - 2011-07-02,22
2011-07-03 - 2011-07-09,18
2011-07-10 - 2011-07-16,19
2011-07-17 - 2011-07-23,19
2011-07-24 - 2011-07-30,21
2011-07-31 - 2011-08-06,22
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,20
2011-08-28 - 2011-09-03,19
2011-09-04 - 2011-09-10,18
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,24
2011-10-02 - 2011-10-08,26
2011-10-09 - 2011-10-15,27
2011-10-16 - 2011-10-22,25
2011-10-23 - 2011-10-29,32
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,30
2011-11-13 - 2011-11-19,32
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,30
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,27
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,32
2012-03-11 - 2012-03-17,25
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,55
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,70
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,36
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,100
2012-07-22 - 2012-07-28,92
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,51
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,54
2012-08-26 - 2012-09-01,47
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,51
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,36
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,42
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,29
