Web Search interest: whooping
United States Dec 2010 - Feb 2014

Interest over time
Week,whooping
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,45
2011-01-09 - 2011-01-15,38
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,36
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,30
2011-04-03 - 2011-04-09,28
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,26
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,24
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,22
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,25
2011-06-26 - 2011-07-02,25
2011-07-03 - 2011-07-09,20
2011-07-10 - 2011-07-16,22
2011-07-17 - 2011-07-23,22
2011-07-24 - 2011-07-30,23
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,32
2011-09-25 - 2011-10-01,28
2011-10-02 - 2011-10-08,30
2011-10-09 - 2011-10-15,30
2011-10-16 - 2011-10-22,29
2011-10-23 - 2011-10-29,37
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,35
2011-11-13 - 2011-11-19,33
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,36
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,40
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,43
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,29
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,38
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,82
2012-05-13 - 2012-05-19,73
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,41
2012-06-10 - 2012-06-16,43
2012-06-17 - 2012-06-23,38
2012-06-24 - 2012-06-30,34
2012-07-01 - 2012-07-07,27
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,100
2012-07-22 - 2012-07-28,96
2012-07-29 - 2012-08-04,68
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,48
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,39
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,56
