Web Search interest: coxiella burnetii
United States Dec 2010 - Feb 2014

Interest over time
Month,coxiella burnetii
2010-12,100
2011-01,90
2011-02,73
2011-03,66
2011-04,97
2011-05,67
2011-06,97
2011-07,58
2011-08,58
2011-09,65
2011-10,68
2011-11,79
2011-12,70
2012-01,57
2012-02,58
2012-03,53
2012-04,64
2012-05,72
2012-06,63
2012-07,55
2012-08,55
2012-09,73
2012-10,55
2012-11,59
2012-12,64
2013-01,59
2013-02,59
2013-03,59
2013-04,73
2013-05,59
2013-06,49
2013-07,57
2013-08,51
2013-09,53
2013-10,50
2013-11,61
2013-12,51
2014-01,49
2014-02,61









