Web Search interest: typhoid
United States Dec 2010 - Feb 2014

Interest over time
Week,typhoid
2010-12-05 - 2010-12-11,40
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,34
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,30
2011-04-03 - 2011-04-09,38
2011-04-10 - 2011-04-16,33
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,35
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,41
2011-05-15 - 2011-05-21,34
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,33
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,39
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,43
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,28
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,26
2011-09-04 - 2011-09-10,28
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,38
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,31
2011-10-09 - 2011-10-15,33
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,32
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,30
2011-11-27 - 2011-12-03,37
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,34
