"date","Haemophilus","Haemophilus_influenzae","Gram-negative_bacteria","Facultative_anaerobic_organism","Epiglottitis","Cellulitis","Meningitis","Pathogenic_bacteria","Hib_vaccine","Osteomyelitis"
"2010-01-01","41.0","318.0","446.0","95.0","87.0","2175.0","3165.0","129.0","91.0","576.0"
"2010-01-02","34.0","346.0","554.0","145.0","113.0","2169.0","3593.0","200.0","70.0","800.0"
"2010-01-03","113.0","384.0","550.0","152.0","158.0","2051.0","3785.0","247.0","85.0","667.0"
"2010-01-04","48.0","518.0","769.0","181.0","142.0","2546.0","4307.0","255.0","180.0","822.0"
"2010-01-05","56.0","628.0","918.0","235.0","133.0","2721.0","4871.0","343.0","157.0","968.0"
"2010-01-06","59.0","757.0","8243.0","252.0","162.0","3079.0","4721.0","336.0","194.0","1176.0"
"2010-01-07","104.0","777.0","1321.0","300.0","170.0","3126.0","5167.0","346.0","233.0","1169.0"
"2010-01-08","68.0","729.0","1181.0","308.0","142.0","2768.0","4777.0","302.0","159.0","1029.0"
"2010-01-09","70.0","513.0","792.0","223.0","107.0","2440.0","3953.0","381.0","138.0","791.0"
"2010-01-10","52.0","537.0","866.0","240.0","136.0","2251.0","3569.0","236.0","163.0","742.0"
"2010-01-11","68.0","723.0","1471.0","348.0","177.0","3102.0","5083.0","341.0","199.0","1131.0"
"2010-01-12","94.0","785.0","1430.0","328.0","161.0","3134.0","5212.0","461.0","237.0","1184.0"
"2010-01-13","84.0","822.0","1443.0","359.0","195.0","3263.0","5106.0","351.0","173.0","1234.0"
"2010-01-14","67.0","741.0","1411.0","308.0","168.0","3012.0","5322.0","381.0","186.0","1170.0"
"2010-01-15","47.0","707.0","1429.0","259.0","189.0","3022.0","5090.0","374.0","176.0","1060.0"
"2010-01-16","52.0","565.0","901.0","240.0","156.0","2535.0","3846.0","234.0","130.0","845.0"
"2010-01-17","70.0","610.0","1034.0","271.0","164.0","2429.0","4043.0","233.0","105.0","940.0"
"2010-01-18","75.0","748.0","1409.0","300.0","199.0","3291.0","5000.0","338.0","178.0","1195.0"
"2010-01-19","84.0","822.0","1609.0","383.0","195.0","3300.0","5693.0","426.0","211.0","1332.0"
"2010-01-20","73.0","786.0","1604.0","388.0","222.0","3255.0","5215.0","389.0","230.0","1381.0"
"2010-01-21","79.0","896.0","1712.0","364.0","181.0","3065.0","5029.0","456.0","192.0","1294.0"
"2010-01-22","83.0","808.0","1563.0","327.0","189.0","3110.0","4973.0","382.0","154.0","1706.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","83.0","863.0","1738.0","451.0","196.0","3581.0","5682.0","355.0","214.0","1338.0"
"2010-01-26","97.0","860.0","1763.0","472.0","184.0","3377.0","5317.0","442.0","199.0","1430.0"
"2010-01-27","92.0","963.0","1961.0","459.0","198.0","3218.0","5411.0","375.0","228.0","1339.0"
"2010-01-28","90.0","849.0","1821.0","489.0","187.0","3061.0","5249.0","452.0","239.0","1302.0"
"2010-01-29","69.0","759.0","1472.0","435.0","170.0","2927.0","4718.0","323.0","203.0","1237.0"
"2010-01-30","63.0","618.0","1086.0","285.0","134.0","2378.0","4115.0","255.0","144.0","940.0"
"2010-01-31","56.0","574.0","1397.0","336.0","205.0","2568.0","4198.0","310.0","144.0","1047.0"
"2010-02-01","87.0","929.0","2109.0","489.0","227.0","3182.0","5519.0","410.0","224.0","1385.0"
"2010-02-02","93.0","986.0","2091.0","603.0","213.0","3489.0","5996.0","493.0","240.0","1542.0"
"2010-02-03","98.0","913.0","2285.0","520.0","236.0","3194.0","5873.0","529.0","276.0","1513.0"
"2010-02-04","117.0","991.0","2297.0","572.0","227.0","3309.0","6582.0","533.0","243.0","1441.0"
"2010-02-05","97.0","971.0","1766.0","460.0","223.0","3044.0","5377.0","404.0","211.0","1268.0"
"2010-02-06","61.0","630.0","1278.0","295.0","152.0","2488.0","4166.0","299.0","200.0","950.0"
"2010-02-07","59.0","669.0","1469.0","396.0","194.0","2399.0","4454.0","275.0","175.0","1046.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","88.0","971.0","2125.0","577.0","241.0","3133.0","5769.0","476.0","212.0","1348.0"
"2010-02-10","74.0","908.0","1968.0","574.0","253.0","2940.0","5506.0","509.0","219.0","1265.0"
"2010-02-11","95.0","894.0","2029.0","628.0","229.0","2994.0","5439.0","446.0","227.0","1414.0"
"2010-02-12","77.0","758.0","1524.0","480.0","171.0","2846.0","5104.0","339.0","188.0","1116.0"
"2010-02-13","35.0","472.0","1025.0","289.0","123.0","2144.0","4134.0","264.0","111.0","897.0"
"2010-02-14","69.0","564.0","1070.0","340.0","163.0","2074.0","4163.0","257.0","120.0","744.0"
"2010-02-15","94.0","868.0","1664.0","500.0","189.0","2967.0","5512.0","352.0","175.0","1144.0"
"2010-02-16","81.0","848.0","1933.0","588.0","202.0","3224.0","5731.0","430.0","199.0","1365.0"
"2010-02-17","88.0","846.0","1937.0","590.0","191.0","3129.0","5516.0","480.0","172.0","1456.0"
"2010-02-18","173.0","890.0","1942.0","529.0","198.0","3229.0","6261.0","449.0","210.0","1505.0"
"2010-02-19","65.0","767.0","1566.0","483.0","157.0","2822.0","5329.0","407.0","177.0","1188.0"
"2010-02-20","62.0","668.0","1186.0","303.0","143.0","2387.0","4481.0","279.0","127.0","931.0"
"2010-02-21","67.0","743.0","1488.0","449.0","204.0","2540.0","4841.0","423.0","161.0","1028.0"
"2010-02-22","114.0","999.0","2077.0","681.0","211.0","3343.0","6153.0","630.0","266.0","1448.0"
"2010-02-23","110.0","968.0","2187.0","703.0","240.0","3345.0","0.0","0.0","223.0","0.0"
"2010-02-24","122.0","881.0","2044.0","684.0","226.0","3147.0","5512.0","461.0","213.0","1340.0"
"2010-02-25","88.0","832.0","1749.0","538.0","228.0","2786.0","5079.0","375.0","193.0","1168.0"
"2010-02-26","84.0","784.0","1523.0","485.0","190.0","2776.0","5085.0","393.0","181.0","1124.0"
"2010-02-27","72.0","671.0","1490.0","368.0","182.0","2550.0","4566.0","289.0","138.0","945.0"
"2010-02-28","71.0","612.0","1587.0","448.0","207.0","2436.0","4059.0","369.0","140.0","967.0"
"2010-03-01","94.0","907.0","2719.0","622.0","212.0","2927.0","5229.0","411.0","182.0","1277.0"
"2010-03-02","93.0","1060.0","3611.0","701.0","191.0","3158.0","5840.0","496.0","218.0","1423.0"
"2010-03-03","111.0","916.0","2197.0","584.0","220.0","3123.0","5583.0","444.0","198.0","1344.0"
"2010-03-04","116.0","943.0","2158.0","666.0","239.0","3392.0","5755.0","445.0","241.0","1422.0"
"2010-03-05","108.0","967.0","1690.0","456.0","212.0","3205.0","5913.0","426.0","219.0","1280.0"
"2010-03-06","80.0","622.0","1148.0","340.0","150.0","2454.0","4105.0","236.0","125.0","1011.0"
"2010-03-07","71.0","635.0","1251.0","436.0","167.0","2448.0","4140.0","301.0","126.0","884.0"
"2010-03-08","102.0","912.0","1825.0","615.0","177.0","3084.0","5272.0","411.0","200.0","1214.0"
"2010-03-09","98.0","907.0","2726.0","638.0","237.0","3307.0","5688.0","402.0","227.0","1235.0"
"2010-03-10","118.0","934.0","1840.0","674.0","224.0","3119.0","5487.0","420.0","240.0","1345.0"
"2010-03-11","116.0","1019.0","1872.0","633.0","201.0","3049.0","6441.0","476.0","206.0","1251.0"
"2010-03-12","107.0","836.0","1683.0","450.0","222.0","2950.0","7809.0","342.0","181.0","1166.0"
"2010-03-13","71.0","578.0","1079.0","377.0","175.0","2676.0","5426.0","306.0","170.0","932.0"
"2010-03-14","78.0","604.0","1285.0","330.0","178.0","2436.0","4727.0","312.0","167.0","973.0"
"2010-03-15","85.0","935.0","1689.0","496.0","188.0","3047.0","5729.0","353.0","200.0","1280.0"
"2010-03-16","102.0","926.0","1831.0","568.0","232.0","3125.0","6247.0","415.0","199.0","1385.0"
"2010-03-17","111.0","957.0","1847.0","557.0","230.0","3267.0","5789.0","467.0","227.0","1332.0"
"2010-03-18","119.0","1019.0","1686.0","546.0","179.0","3296.0","5694.0","439.0","223.0","1386.0"
"2010-03-19","89.0","897.0","1547.0","448.0","188.0","3045.0","5160.0","420.0","208.0","1320.0"
"2010-03-20","45.0","655.0","1044.0","299.0","142.0","2446.0","4213.0","256.0","155.0","1002.0"
"2010-03-21","63.0","648.0","1257.0","376.0","147.0","2564.0","4585.0","267.0","138.0","998.0"
"2010-03-22","86.0","871.0","1810.0","563.0","203.0","3089.0","5675.0","497.0","246.0","1139.0"
"2010-03-23","101.0","1006.0","1918.0","629.0","216.0","3407.0","5961.0","511.0","241.0","1273.0"
"2010-03-24","89.0","929.0","1826.0","566.0","237.0","3231.0","5903.0","519.0","271.0","1324.0"
"2010-03-25","99.0","997.0","1835.0","501.0","218.0","3206.0","5666.0","362.0","224.0","1272.0"
"2010-03-26","85.0","860.0","1565.0","472.0","227.0","3215.0","5343.0","373.0","201.0","1206.0"
"2010-03-27","96.0","574.0","1009.0","328.0","161.0","2789.0","4045.0","294.0","124.0","864.0"
"2010-03-28","68.0","635.0","1152.0","400.0","198.0","2616.0","4097.0","334.0","143.0","856.0"
"2010-03-29","103.0","920.0","1530.0","512.0","203.0","3287.0","5144.0","465.0","180.0","1209.0"
"2010-03-30","87.0","1022.0","1676.0","552.0","215.0","3245.0","5444.0","513.0","214.0","1338.0"
"2010-03-31","90.0","944.0","1685.0","591.0","210.0","3412.0","5480.0","412.0","191.0","1321.0"
"2010-04-01","93.0","944.0","1421.0","462.0","198.0","3152.0","5116.0","400.0","174.0","1201.0"
"2010-04-02","59.0","687.0","1137.0","320.0","183.0","2707.0","4427.0","263.0","136.0","1032.0"
"2010-04-03","63.0","601.0","877.0","296.0","149.0","2932.0","4177.0","305.0","133.0","827.0"
"2010-04-04","63.0","570.0","979.0","297.0","165.0","2985.0","3793.0","298.0","136.0","914.0"
"2010-04-05","84.0","817.0","1441.0","499.0","210.0","3410.0","4690.0","362.0","208.0","1154.0"
"2010-04-06","84.0","896.0","1992.0","584.0","194.0","3267.0","5948.0","422.0","178.0","1133.0"
"2010-04-07","95.0","982.0","2254.0","552.0","203.0","3306.0","5550.0","420.0","213.0","1171.0"
"2010-04-08","112.0","976.0","1974.0","541.0","214.0","3390.0","5829.0","518.0","218.0","1357.0"
"2010-04-09","114.0","895.0","1629.0","402.0","192.0","3336.0","5649.0","536.0","191.0","1215.0"
"2010-04-10","44.0","625.0","1084.0","273.0","194.0","2381.0","4249.0","289.0","149.0","794.0"
"2010-04-11","72.0","708.0","1338.0","396.0","184.0","2627.0","4564.0","343.0","162.0","1007.0"
"2010-04-12","114.0","1063.0","1673.0","534.0","230.0","3165.0","5547.0","511.0","215.0","1271.0"
"2010-04-13","140.0","1135.0","1960.0","616.0","225.0","3476.0","6071.0","894.0","232.0","1384.0"
"2010-04-14","108.0","1076.0","1780.0","576.0","193.0","3143.0","5454.0","648.0","251.0","1318.0"
"2010-04-15","116.0","1138.0","1934.0","515.0","220.0","3367.0","5514.0","550.0","250.0","1355.0"
"2010-04-16","115.0","1128.0","1814.0","473.0","233.0","3285.0","5162.0","487.0","272.0","1264.0"
"2010-04-17","109.0","700.0","1203.0","370.0","150.0","2776.0","4166.0","335.0","180.0","1116.0"
"2010-04-18","77.0","758.0","1220.0","390.0","225.0","2455.0","4121.0","376.0","174.0","1088.0"
"2010-04-19","95.0","1083.0","1877.0","564.0","196.0","3343.0","5198.0","536.0","233.0","1350.0"
"2010-04-20","115.0","1051.0","2047.0","536.0","235.0","3549.0","5360.0","521.0","245.0","1313.0"
"2010-04-21","108.0","1017.0","1982.0","587.0","225.0","3359.0","5538.0","550.0","272.0","1350.0"
"2010-04-22","126.0","1048.0","1886.0","562.0","251.0","3071.0","5412.0","536.0","263.0","1289.0"
"2010-04-23","121.0","943.0","1773.0","489.0","192.0","3314.0","6070.0","537.0","245.0","1245.0"
"2010-04-24","69.0","662.0","1224.0","352.0","223.0","2843.0","4874.0","416.0","197.0","983.0"
"2010-04-25","112.0","805.0","1490.0","438.0","227.0","3055.0","4647.0","379.0","196.0","947.0"
"2010-04-26","120.0","1081.0","1917.0","626.0","245.0","3578.0","6209.0","567.0","278.0","1423.0"
"2010-04-27","153.0","1244.0","2142.0","596.0","252.0","3744.0","6207.0","567.0","338.0","1498.0"
"2010-04-28","149.0","1080.0","2016.0","579.0","284.0","3352.0","6110.0","531.0","273.0","1435.0"
"2010-04-29","116.0","976.0","1917.0","539.0","223.0","3374.0","5969.0","509.0","256.0","1331.0"
"2010-04-30","122.0","976.0","1549.0","498.0","252.0","3328.0","5533.0","464.0","259.0","1334.0"
"2010-05-01","75.0","653.0","1112.0","317.0","204.0","2591.0","4144.0","348.0","179.0","1000.0"
"2010-05-02","98.0","751.0","1267.0","411.0","203.0","2805.0","4512.0","367.0","162.0","1099.0"
"2010-05-03","93.0","1026.0","1981.0","616.0","238.0","3540.0","5833.0","510.0","272.0","1363.0"
"2010-05-04","115.0","1230.0","2195.0","627.0","251.0","3765.0","5975.0","573.0","324.0","1398.0"
"2010-05-05","106.0","1051.0","1988.0","556.0","215.0","3305.0","5414.0","535.0","244.0","1398.0"
"2010-05-06","103.0","1102.0","1905.0","527.0","254.0","3619.0","5397.0","543.0","240.0","1450.0"
"2010-05-07","111.0","984.0","1616.0","416.0","258.0","3294.0","5178.0","440.0","257.0","1201.0"
"2010-05-08","98.0","724.0","1093.0","325.0","201.0","2561.0","4055.0","324.0","187.0","934.0"
"2010-05-09","81.0","788.0","1141.0","332.0","218.0","2512.0","4067.0","364.0","184.0","941.0"
"2010-05-10","94.0","996.0","1681.0","524.0","235.0","3630.0","5557.0","504.0","266.0","1359.0"
