"date","Legionnaires%27_disease","Atypical_pneumonia","Legionella","Legionella_pneumophila","Pontiac_fever","Influenza","Headache","Macrolide","Tetracycline","Anorexia_nervosa"
"2010-01-01","41.0","121.0","202.0","81.0","1.0","1743.0","1657.0","323.0","813.0","2091.0"
"2010-01-02","52.0","92.0","237.0","81.0","3.0","10401.0","1520.0","324.0","873.0","2559.0"
"2010-01-03","64.0","125.0","239.0","79.0","3.0","2317.0","1507.0","361.0","927.0","2622.0"
"2010-01-04","65.0","136.0","296.0","109.0","7.0","2545.0","1552.0","416.0","1076.0","2959.0"
"2010-01-05","60.0","183.0","335.0","120.0","2.0","2970.0","1636.0","501.0","1223.0","3126.0"
"2010-01-06","78.0","166.0","383.0","157.0","6.0","3371.0","1836.0","620.0","1332.0","3547.0"
"2010-01-07","84.0","171.0","700.0","178.0","4.0","3766.0","1892.0","684.0","1469.0","3716.0"
"2010-01-08","163.0","187.0","634.0","194.0","7.0","3065.0","1682.0","551.0","1367.0","3345.0"
"2010-01-09","85.0","175.0","285.0","110.0","6.0","2617.0","1633.0","472.0","1136.0","3078.0"
"2010-01-10","80.0","146.0","320.0","116.0","8.0","2451.0","1595.0","421.0","1002.0","2805.0"
"2010-01-11","78.0","177.0","428.0","169.0","8.0","3659.0","1979.0","612.0","1454.0","3796.0"
"2010-01-12","102.0","211.0","456.0","155.0","13.0","3669.0","1924.0","724.0","1406.0","3811.0"
"2010-01-13","92.0","191.0","466.0","188.0","4.0","3572.0","1955.0","676.0","1367.0","3835.0"
"2010-01-14","100.0","196.0","469.0","179.0","5.0","3735.0","1974.0","560.0","1398.0","3897.0"
"2010-01-15","81.0","171.0","403.0","177.0","6.0","3419.0","1886.0","563.0","1324.0","3640.0"
"2010-01-16","57.0","139.0","295.0","102.0","3.0","2382.0","1671.0","437.0","1085.0","2951.0"
"2010-01-17","71.0","153.0","273.0","108.0","4.0","2511.0","1854.0","436.0","977.0","3217.0"
"2010-01-18","228.0","179.0","1529.0","287.0","7.0","3457.0","2087.0","691.0","1469.0","3985.0"
"2010-01-19","101.0","240.0","575.0","184.0","7.0","4305.0","2076.0","778.0","1551.0","4095.0"
"2010-01-20","80.0","210.0","458.0","215.0","11.0","3494.0","1960.0","643.0","1534.0","4071.0"
"2010-01-21","83.0","280.0","524.0","221.0","4.0","3636.0","1983.0","646.0","1490.0","4124.0"
"2010-01-22","78.0","266.0","441.0","185.0","2.0","3190.0","1953.0","606.0","1489.0","3862.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","105.0","238.0","511.0","171.0","6.0","3475.0","2071.0","678.0","1517.0","4057.0"
"2010-01-26","90.0","250.0","464.0","171.0","8.0","3482.0","2061.0","669.0","1574.0","4056.0"
