"date","Hepatitis","Hepatitis_A#Virology","Jaundice","Hepatitis_B","Hepatitis_C","Hepatitis_A_vaccine","Viral_hepatitis","World_Hepatitis_Day","Picornavirales","Hepatitis_A"
"2010-01-01","1902.0","1127.0","2360.0","1857.0","2552.0","41.0","138.0","20.0","1.0","1127.0"
"2010-01-02","2265.0","1090.0","2644.0","2227.0","2791.0","57.0","216.0","20.0","8.0","1090.0"
"2010-01-03","2275.0","1141.0","2445.0","2266.0","2993.0","46.0","176.0","18.0","7.0","1141.0"
"2010-01-04","2585.0","1604.0","2760.0","3009.0","3506.0","95.0","251.0","30.0","4.0","1604.0"
"2010-01-05","3020.0","1793.0","3069.0","3588.0","3988.0","89.0","259.0","16.0","3.0","1793.0"
"2010-01-06","3722.0","2063.0","3290.0","4051.0","4536.0","115.0","306.0","33.0","7.0","2063.0"
"2010-01-07","3978.0","2234.0","3617.0","4213.0","4781.0","99.0","323.0","46.0","9.0","2234.0"
"2010-01-08","3222.0","1929.0","3108.0","3929.0","4308.0","78.0","283.0","32.0","11.0","1929.0"
"2010-01-09","2677.0","1461.0","2893.0","3076.0","3750.0","71.0","226.0","21.0","13.0","1461.0"
"2010-01-10","2624.0","1395.0","2778.0","2976.0","3167.0","60.0","247.0","13.0","5.0","1395.0"
"2010-01-11","3578.0","1997.0","3563.0","4035.0","4467.0","96.0","327.0","44.0","4.0","1997.0"
"2010-01-12","3682.0","2238.0","3397.0","4578.0","4685.0","110.0","321.0","44.0","11.0","2238.0"
"2010-01-13","3643.0","2175.0","3461.0","4371.0","4499.0","109.0","296.0","32.0","13.0","2175.0"
"2010-01-14","3575.0","2141.0","3361.0","4417.0","4734.0","97.0","329.0","38.0","9.0","2141.0"
"2010-01-15","3838.0","2050.0","3196.0","4253.0","4632.0","95.0","356.0","36.0","7.0","2050.0"
"2010-01-16","2759.0","1535.0","2824.0","3417.0","3609.0","70.0","235.0","33.0","5.0","1535.0"
"2010-01-17","2928.0","1547.0","2886.0","3083.0","3490.0","70.0","289.0","37.0","3.0","1547.0"
"2010-01-18","3713.0","2183.0","3436.0","4450.0","6231.0","124.0","358.0","45.0","11.0","2183.0"
"2010-01-19","3810.0","2605.0","3911.0","4843.0","6339.0","131.0","339.0","44.0","8.0","2605.0"
"2010-01-20","3654.0","2376.0","3799.0","4465.0","5088.0","138.0","322.0","39.0","4.0","2376.0"
"2010-01-21","3666.0","2316.0","3723.0","4534.0","4972.0","120.0","363.0","38.0","7.0","2316.0"
"2010-01-22","3476.0","2357.0","3470.0","4395.0","5049.0","129.0","342.0","30.0","9.0","2357.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","3418.0","2301.0","3811.0","4507.0","5378.0","129.0","376.0","37.0","8.0","2301.0"
"2010-01-26","3728.0","2454.0","3749.0","4657.0","5378.0","128.0","366.0","33.0","6.0","2454.0"
"2010-01-27","3814.0","2369.0","3802.0","4813.0","5502.0","98.0","308.0","45.0","9.0","2369.0"
"2010-01-28","3666.0","2224.0","3655.0","4582.0","5150.0","144.0","301.0","45.0","9.0","2224.0"
"2010-01-29","3368.0","2048.0","3498.0","4179.0","5557.0","91.0","331.0","41.0","6.0","2048.0"
"2010-01-30","2634.0","1792.0","3020.0","3236.0","4234.0","91.0","260.0","24.0","7.0","1792.0"
"2010-01-31","2822.0","1705.0","3107.0","3319.0","4169.0","70.0","299.0","33.0","9.0","1705.0"
"2010-02-01","3786.0","2411.0","3651.0","4582.0","5226.0","115.0","377.0","32.0","11.0","2411.0"
"2010-02-02","3721.0","2390.0","3893.0","5024.0","5411.0","123.0","362.0","40.0","15.0","2390.0"
"2010-02-03","3687.0","2425.0","3998.0","5231.0","5324.0","109.0","385.0","44.0","13.0","2425.0"
"2010-02-04","3987.0","2553.0","4524.0","5025.0","5543.0","148.0","414.0","52.0","6.0","2553.0"
"2010-02-05","3486.0","2252.0","3732.0","4487.0","4958.0","137.0","339.0","42.0","6.0","2252.0"
"2010-02-06","2678.0","1590.0","3096.0","3421.0","3865.0","99.0","263.0","53.0","7.0","1590.0"
"2010-02-07","2729.0","1519.0","3295.0","3123.0","3560.0","109.0","275.0","28.0","5.0","1519.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","3374.0","2211.0","3847.0","4232.0","4421.0","114.0","347.0","32.0","16.0","2211.0"
"2010-02-10","3669.0","2280.0","3760.0","4581.0","4629.0","136.0","276.0","37.0","8.0","2280.0"
"2010-02-11","3335.0","2328.0","3649.0","4382.0","4368.0","105.0","330.0","25.0","6.0","2328.0"
"2010-02-12","3179.0","2176.0","3330.0","4702.0","4359.0","104.0","303.0","45.0","10.0","2176.0"
"2010-02-13","2285.0","1424.0","2722.0","3059.0","3142.0","72.0","215.0","34.0","9.0","1424.0"
"2010-02-14","2222.0","1401.0","2741.0","3051.0","3186.0","72.0","218.0","24.0","6.0","1401.0"
"2010-02-15","3064.0","1944.0","3455.0","3853.0","4221.0","95.0","294.0","30.0","6.0","1944.0"
"2010-02-16","3697.0","2427.0","3775.0","4467.0","5701.0","113.0","349.0","39.0","9.0","2427.0"
"2010-02-17","3448.0","2151.0","3763.0","4495.0","4662.0","116.0","348.0","36.0","15.0","2151.0"
"2010-02-18","3765.0","2414.0","3959.0","4626.0","5179.0","129.0","385.0","31.0","14.0","2414.0"
