"date","Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"2010-01-01","1127.0","1857.0","2552.0","138.0","20.0","2360.0","1902.0","1.0","424.0","112.0"
"2010-01-02","1090.0","2227.0","2791.0","216.0","20.0","2644.0","2265.0","8.0","426.0","161.0"
"2010-01-03","1141.0","2266.0","2993.0","176.0","18.0","2445.0","2275.0","7.0","426.0","128.0"
"2010-01-04","1604.0","3009.0","3506.0","251.0","30.0","2760.0","2585.0","4.0","560.0","170.0"
"2010-01-05","1793.0","3588.0","3988.0","259.0","16.0","3069.0","3020.0","3.0","597.0","221.0"
"2010-01-06","2063.0","4051.0","4536.0","306.0","33.0","3290.0","3722.0","7.0","681.0","242.0"
"2010-01-07","2234.0","4213.0","4781.0","323.0","46.0","3617.0","3978.0","9.0","795.0","301.0"
"2010-01-08","1929.0","3929.0","4308.0","283.0","32.0","3108.0","3222.0","11.0","656.0","230.0"
"2010-01-09","1461.0","3076.0","3750.0","226.0","21.0","2893.0","2677.0","13.0","666.0","190.0"
"2010-01-10","1395.0","2976.0","3167.0","247.0","13.0","2778.0","2624.0","5.0","507.0","193.0"
"2010-01-11","1997.0","4035.0","4467.0","327.0","44.0","3563.0","3578.0","4.0","763.0","238.0"
"2010-01-12","2238.0","4578.0","4685.0","321.0","44.0","3397.0","3682.0","11.0","715.0","225.0"
"2010-01-13","2175.0","4371.0","4499.0","296.0","32.0","3461.0","3643.0","13.0","717.0","266.0"
"2010-01-14","2141.0","4417.0","4734.0","329.0","38.0","3361.0","3575.0","9.0","723.0","307.0"
"2010-01-15","2050.0","4253.0","4632.0","356.0","36.0","3196.0","3838.0","7.0","715.0","203.0"
"2010-01-16","1535.0","3417.0","3609.0","235.0","33.0","2824.0","2759.0","5.0","541.0","196.0"
"2010-01-17","1547.0","3083.0","3490.0","289.0","37.0","2886.0","2928.0","3.0","485.0","211.0"
"2010-01-18","2183.0","4450.0","6231.0","358.0","45.0","3436.0","3713.0","11.0","718.0","236.0"
"2010-01-19","2605.0","4843.0","6339.0","339.0","44.0","3911.0","3810.0","8.0","834.0","313.0"
"2010-01-20","2376.0","4465.0","5088.0","322.0","39.0","3799.0","3654.0","4.0","831.0","288.0"
"2010-01-21","2316.0","4534.0","4972.0","363.0","38.0","3723.0","3666.0","7.0","728.0","283.0"
"2010-01-22","2357.0","4395.0","5049.0","342.0","30.0","3470.0","3476.0","9.0","718.0","275.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","2301.0","4507.0","5378.0","376.0","37.0","3811.0","3418.0","8.0","707.0","257.0"
"2010-01-26","2454.0","4657.0","5378.0","366.0","33.0","3749.0","3728.0","6.0","753.0","316.0"
"2010-01-27","2369.0","4813.0","5502.0","308.0","45.0","3802.0","3814.0","9.0","799.0","313.0"
"2010-01-28","2224.0","4582.0","5150.0","301.0","45.0","3655.0","3666.0","9.0","779.0","298.0"
"2010-01-29","2048.0","4179.0","5557.0","331.0","41.0","3498.0","3368.0","6.0","600.0","236.0"
"2010-01-30","1792.0","3236.0","4234.0","260.0","24.0","3020.0","2634.0","7.0","545.0","210.0"
"2010-01-31","1705.0","3319.0","4169.0","299.0","33.0","3107.0","2822.0","9.0","536.0","202.0"
"2010-02-01","2411.0","4582.0","5226.0","377.0","32.0","3651.0","3786.0","11.0","780.0","301.0"
"2010-02-02","2390.0","5024.0","5411.0","362.0","40.0","3893.0","3721.0","15.0","699.0","256.0"
"2010-02-03","2425.0","5231.0","5324.0","385.0","44.0","3998.0","3687.0","13.0","851.0","300.0"
"2010-02-04","2553.0","5025.0","5543.0","414.0","52.0","4524.0","3987.0","6.0","884.0","284.0"
"2010-02-05","2252.0","4487.0","4958.0","339.0","42.0","3732.0","3486.0","6.0","796.0","270.0"
"2010-02-06","1590.0","3421.0","3865.0","263.0","53.0","3096.0","2678.0","7.0","572.0","216.0"
"2010-02-07","1519.0","3123.0","3560.0","275.0","28.0","3295.0","2729.0","5.0","610.0","184.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","2211.0","4232.0","4421.0","347.0","32.0","3847.0","3374.0","16.0","771.0","253.0"
"2010-02-10","2280.0","4581.0","4629.0","276.0","37.0","3760.0","3669.0","8.0","736.0","236.0"
"2010-02-11","2328.0","4382.0","4368.0","330.0","25.0","3649.0","3335.0","6.0","906.0","240.0"
"2010-02-12","2176.0","4702.0","4359.0","303.0","45.0","3330.0","3179.0","10.0","618.0","210.0"
"2010-02-13","1424.0","3059.0","3142.0","215.0","34.0","2722.0","2285.0","9.0","515.0","166.0"
"2010-02-14","1401.0","3051.0","3186.0","218.0","24.0","2741.0","2222.0","6.0","525.0","175.0"
"2010-02-15","1944.0","3853.0","4221.0","294.0","30.0","3455.0","3064.0","6.0","644.0","267.0"
"2010-02-16","2427.0","4467.0","5701.0","349.0","39.0","3775.0","3697.0","9.0","729.0","256.0"
"2010-02-17","2151.0","4495.0","4662.0","348.0","36.0","3763.0","3448.0","15.0","760.0","253.0"
"2010-02-18","2414.0","4626.0","5179.0","385.0","31.0","3959.0","3765.0","14.0","782.0","297.0"
"2010-02-19","2029.0","4084.0","5127.0","328.0","32.0","3582.0","3196.0","15.0","659.0","249.0"
"2010-02-20","1586.0","3387.0","3949.0","266.0","35.0","3050.0","2667.0","1.0","523.0","186.0"
"2010-02-21","1726.0","3309.0","3910.0","301.0","36.0","3255.0","2699.0","6.0","581.0","212.0"
"2010-02-22","2529.0","4775.0","5049.0","398.0","42.0","4101.0","3592.0","14.0","774.0","276.0"
"2010-02-23","2439.0","4578.0","4853.0","0.0","0.0","0.0","3650.0","0.0","789.0","291.0"
"2010-02-24","2165.0","4392.0","4702.0","354.0","39.0","3711.0","3470.0","11.0","770.0","314.0"
"2010-02-25","1792.0","3892.0","4334.0","305.0","52.0","3433.0","3068.0","7.0","766.0","285.0"
