"date","Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"2010-01-01","2550.0","49.0","97.0","2258.0","18.0","8.0","1657.0","358.0","16.0","775.0"
"2010-01-02","2887.0","82.0","153.0","2734.0","42.0","12.0","1520.0","364.0","32.0","872.0"
"2010-01-03","3225.0","82.0","188.0","2724.0","18.0","3.0","1507.0","431.0","40.0","962.0"
"2010-01-04","3221.0","83.0","183.0","2966.0","32.0","3.0","1552.0","564.0","31.0","1138.0"
"2010-01-05","3415.0","104.0","179.0","3299.0","24.0","6.0","1636.0","670.0","31.0","1380.0"
"2010-01-06","3692.0","116.0","204.0","3491.0","33.0","3.0","1836.0","923.0","25.0","1515.0"
"2010-01-07","4034.0","138.0","243.0","3679.0","27.0","4.0","1892.0","1038.0","26.0","1807.0"
"2010-01-08","3624.0","156.0","219.0","3315.0","30.0","6.0","1682.0","770.0","44.0","1361.0"
"2010-01-09","3017.0","116.0","175.0","3087.0","21.0","3.0","1633.0","670.0","38.0","1074.0"
"2010-01-10","3011.0","103.0","133.0","2837.0","29.0","2.0","1595.0","589.0","32.0","1147.0"
"2010-01-11","5057.0","155.0","220.0","3751.0","33.0","7.0","1979.0","743.0","33.0","1593.0"
"2010-01-12","4688.0","135.0","205.0","3649.0","41.0","26.0","1924.0","862.0","35.0","1826.0"
"2010-01-13","3917.0","160.0","222.0","3496.0","21.0","8.0","1955.0","888.0","30.0","1626.0"
"2010-01-14","3914.0","150.0","200.0","3550.0","52.0","9.0","1974.0","967.0","31.0","1589.0"
"2010-01-15","3644.0","116.0","191.0","3236.0","22.0","3.0","1886.0","853.0","39.0","1551.0"
"2010-01-16","3160.0","104.0","188.0","2836.0","22.0","4.0","1671.0","592.0","27.0","1083.0"
"2010-01-17","3065.0","102.0","160.0","3127.0","18.0","3.0","1854.0","705.0","35.0","1157.0"
"2010-01-18","3679.0","183.0","227.0","3754.0","28.0","6.0","2087.0","918.0","30.0","1464.0"
"2010-01-19","4352.0","198.0","249.0","4113.0","36.0","4.0","2076.0","992.0","94.0","1735.0"
"2010-01-20","4012.0","146.0","196.0","3916.0","34.0","3.0","1960.0","985.0","32.0","1788.0"
"2010-01-21","4094.0","161.0","218.0","3618.0","45.0","6.0","1983.0","1068.0","41.0","1698.0"
"2010-01-22","3998.0","135.0","212.0","3427.0","35.0","6.0","1953.0","901.0","36.0","1696.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","4075.0","135.0","177.0","3895.0","40.0","5.0","2071.0","858.0","53.0","1617.0"
"2010-01-26","4230.0","172.0","184.0","3664.0","25.0","6.0","2061.0","856.0","61.0","1636.0"
"2010-01-27","4201.0","165.0","174.0","3643.0","27.0","4.0","1992.0","884.0","36.0","1674.0"
"2010-01-28","4203.0","161.0","172.0","3849.0","30.0","8.0","1960.0","932.0","38.0","1640.0"
"2010-01-29","4615.0","155.0","190.0","3349.0","43.0","4.0","1700.0","748.0","38.0","1563.0"
"2010-01-30","3378.0","98.0","167.0","2988.0","31.0","1.0","1641.0","747.0","32.0","1204.0"
"2010-01-31","4336.0","138.0","159.0","3247.0","27.0","4.0","1749.0","685.0","32.0","1247.0"
"2010-02-01","4712.0","162.0","229.0","3728.0","37.0","1.0","2050.0","999.0","34.0","1924.0"
"2010-02-02","4431.0","162.0","206.0","3948.0","51.0","4.0","2144.0","901.0","25.0","1903.0"
"2010-02-03","4499.0","169.0","179.0","3954.0","37.0","11.0","2327.0","991.0","30.0","1869.0"
"2010-02-04","4675.0","219.0","225.0","4200.0","58.0","1.0","2340.0","1019.0","40.0","1913.0"
"2010-02-05","4010.0","154.0","192.0","3957.0","24.0","4.0","2041.0","897.0","41.0","1474.0"
"2010-02-06","3276.0","104.0","174.0","3057.0","32.0","6.0","1972.0","709.0","30.0","1039.0"
"2010-02-07","3406.0","171.0","195.0","3429.0","23.0","9.0","2190.0","674.0","43.0","1351.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","4398.0","161.0","257.0","4164.0","36.0","7.0","2088.0","913.0","29.0","1658.0"
"2010-02-10","3931.0","134.0","204.0","4068.0","40.0","6.0","2095.0","873.0","36.0","1562.0"
"2010-02-11","3764.0","168.0","169.0","3868.0","32.0","8.0","2154.0","867.0","33.0","1470.0"
"2010-02-12","3810.0","147.0","152.0","3373.0","52.0","5.0","1894.0","705.0","42.0","1266.0"
"2010-02-13","2803.0","85.0","170.0","2857.0","29.0","4.0","1556.0","543.0","28.0","894.0"
"2010-02-14","3035.0","109.0","164.0","2928.0","50.0","5.0","1632.0","537.0","44.0","861.0"
"2010-02-15","4051.0","123.0","206.0","3702.0","34.0","3.0","1930.0","710.0","39.0","1333.0"
"2010-02-16","3975.0","169.0","202.0","3984.0","29.0","5.0","1958.0","790.0","30.0","1466.0"
"2010-02-17","4129.0","168.0","173.0","4046.0","25.0","5.0","2155.0","836.0","33.0","1542.0"
"2010-02-18","4412.0","134.0","174.0","4206.0","35.0","4.0","2092.0","872.0","46.0","1562.0"
"2010-02-19","3952.0","125.0","205.0","3217.0","28.0","5.0","1975.0","789.0","31.0","1286.0"
"2010-02-20","3189.0","93.0","165.0","3144.0","30.0","3.0","1996.0","648.0","35.0","1053.0"
"2010-02-21","3523.0","147.0","195.0","3670.0","28.0","2.0","2113.0","727.0","31.0","1302.0"
"2010-02-22","4335.0","188.0","239.0","4443.0","30.0","8.0","2379.0","891.0","30.0","1823.0"
"2010-02-23","0.0","157.0","250.0","4329.0","30.0","0.0","2270.0","843.0","43.0","0.0"
"2010-02-24","4233.0","194.0","204.0","4010.0","36.0","18.0","1972.0","927.0","45.0","1761.0"
"2010-02-25","3682.0","166.0","189.0","3397.0","27.0","7.0","1768.0","744.0","29.0","1436.0"
"2010-02-26","3603.0","154.0","164.0","3547.0","33.0","4.0","1769.0","680.0","36.0","1194.0"
"2010-02-27","3157.0","126.0","165.0","3217.0","26.0","7.0","1838.0","580.0","30.0","1170.0"
"2010-02-28","3138.0","133.0","158.0","3334.0","35.0","1.0","1757.0","580.0","46.0","1333.0"
"2010-03-01","3788.0","191.0","197.0","3846.0","32.0","4.0","1873.0","697.0","23.0","1576.0"
"2010-03-02","4063.0","182.0","207.0","4035.0","33.0","4.0","2124.0","824.0","52.0","1757.0"
"2010-03-03","3873.0","174.0","200.0","3935.0","34.0","1.0","2050.0","876.0","38.0","1646.0"
"2010-03-04","4500.0","160.0","204.0","4155.0","47.0","5.0","2101.0","897.0","38.0","1817.0"
"2010-03-05","4191.0","164.0","230.0","3836.0","29.0","6.0","2014.0","794.0","43.0","1474.0"
"2010-03-06","3269.0","107.0","137.0","3297.0","34.0","10.0","1680.0","576.0","49.0","1074.0"
"2010-03-07","3450.0","141.0","194.0","3401.0","46.0","4.0","1807.0","692.0","37.0","1251.0"
"2010-03-08","3933.0","141.0","209.0","4158.0","24.0","4.0","1987.0","805.0","53.0","1609.0"
"2010-03-09","4378.0","184.0","223.0","4107.0","39.0","3.0","2212.0","821.0","29.0","1811.0"
"2010-03-10","3945.0","208.0","221.0","3996.0","25.0","4.0","1990.0","856.0","37.0","1734.0"
"2010-03-11","3988.0","194.0","228.0","3801.0","37.0","5.0","1922.0","774.0","44.0","1683.0"
"2010-03-12","4052.0","182.0","212.0","3794.0","44.0","3.0","2031.0","788.0","48.0","1525.0"
"2010-03-13","3477.0","127.0","213.0","3368.0","27.0","4.0","1758.0","601.0","48.0","1240.0"
"2010-03-14","3024.0","121.0","153.0","3091.0","36.0","6.0","1682.0","578.0","46.0","1214.0"
"2010-03-15","3957.0","163.0","215.0","3884.0","40.0","8.0","2006.0","748.0","37.0","1704.0"
"2010-03-16","4373.0","181.0","278.0","3955.0","51.0","13.0","1965.0","774.0","47.0","1700.0"
"2010-03-17","4144.0","177.0","231.0","3943.0","42.0","3.0","1961.0","783.0","51.0","1680.0"
"2010-03-18","4139.0","174.0","232.0","3889.0","45.0","10.0","1975.0","875.0","45.0","1724.0"
"2010-03-19","4194.0","128.0","214.0","3512.0","27.0","10.0","1891.0","763.0","36.0","1452.0"
"2010-03-20","3472.0","173.0","177.0","3118.0","39.0","8.0","1795.0","579.0","40.0","1007.0"
"2010-03-21","3518.0","135.0","244.0","3409.0","28.0","2.0","1807.0","585.0","60.0","1082.0"
"2010-03-22","4500.0","181.0","231.0","3800.0","36.0","7.0","2029.0","764.0","66.0","1552.0"
"2010-03-23","4541.0","192.0","261.0","3860.0","49.0","10.0","2149.0","768.0","42.0","1600.0"
"2010-03-24","6511.0","219.0","296.0","3707.0","47.0","7.0","2024.0","925.0","53.0","1677.0"
"2010-03-25","5666.0","197.0","251.0","3803.0","39.0","5.0","1906.0","806.0","46.0","1756.0"
"2010-03-26","4714.0","169.0","219.0","3252.0","46.0","11.0","1916.0","701.0","47.0","1511.0"
"2010-03-27","3993.0","151.0","207.0","3148.0","34.0","10.0","1687.0","634.0","49.0","1086.0"
"2010-03-28","3467.0","132.0","209.0","3114.0","35.0","4.0","1830.0","595.0","60.0","1134.0"
"2010-03-29","4838.0","141.0","259.0","3766.0","45.0","18.0","2131.0","727.0","66.0","1554.0"
"2010-03-30","4719.0","161.0","289.0","3712.0","48.0","7.0","1996.0","725.0","48.0","1479.0"
"2010-03-31","4754.0","160.0","278.0","3641.0","54.0","6.0","1891.0","749.0","66.0","1493.0"
"2010-04-01","4661.0","138.0","248.0","3356.0","42.0","6.0","1805.0","766.0","62.0","1327.0"
"2010-04-02","4281.0","123.0","270.0","3198.0","43.0","7.0","1734.0","570.0","35.0","1040.0"
"2010-04-03","4230.0","113.0","250.0","2881.0","34.0","8.0","1801.0","523.0","65.0","934.0"
"2010-04-04","4552.0","124.0","263.0","3032.0","36.0","7.0","1731.0","609.0","61.0","1005.0"
"2010-04-05","5325.0","188.0","321.0","3391.0","50.0","10.0","1934.0","659.0","58.0","1273.0"
"2010-04-06","5313.0","186.0","336.0","3588.0","59.0","6.0","1905.0","617.0","70.0","1394.0"
"2010-04-07","5526.0","190.0","334.0","3581.0","78.0","10.0","1776.0","819.0","81.0","1505.0"
"2010-04-08","5678.0","182.0","374.0","3558.0","54.0","11.0","2008.0","825.0","69.0","1451.0"
"2010-04-09","5500.0","161.0","337.0","3371.0","41.0","7.0","2034.0","819.0","73.0","1365.0"
"2010-04-10","3945.0","128.0","240.0","2752.0","43.0","15.0","1705.0","588.0","76.0","1087.0"
"2010-04-11","4556.0","139.0","271.0","3148.0","61.0","14.0","1816.0","590.0","68.0","1146.0"
"2010-04-12","5963.0","183.0","358.0","3523.0","75.0","28.0","2008.0","746.0","55.0","1711.0"
