"date","Malaria","Malaria_vaccine","Protozoa","Plasmodium","Fever","Jaundice","Epileptic_seizure","Anopheles","Plasmodium_falciparum","Sepsis"
"2010-01-01","2264.0","85.0","555.0","157.0","2258.0","2360.0","53.0","147.0","210.0","1655.0"
"2010-01-02","3283.0","82.0","656.0","244.0","2734.0","2644.0","62.0","206.0","253.0","1908.0"
"2010-01-03","2807.0","95.0","734.0","204.0","2724.0","2445.0","44.0","121.0","252.0","1944.0"
"2010-01-04","3433.0","124.0","1013.0","268.0","2966.0","2760.0","40.0","134.0","264.0","2371.0"
"2010-01-05","3917.0","162.0","1085.0","417.0","3299.0","3069.0","49.0","186.0","347.0","2705.0"
"2010-01-06","4325.0","149.0","1369.0","446.0","3491.0","3290.0","53.0","220.0","411.0","3640.0"
"2010-01-07","5071.0","151.0","1288.0","467.0","3679.0","3617.0","50.0","300.0","441.0","4273.0"
"2010-01-08","4489.0","150.0","1068.0","340.0","3315.0","3108.0","69.0","188.0","360.0","2880.0"
"2010-01-09","3272.0","95.0","935.0","295.0","3087.0","2893.0","53.0","203.0","290.0","2371.0"
"2010-01-10","3655.0","128.0","1075.0","299.0","2837.0","2778.0","55.0","204.0","370.0","2157.0"
"2010-01-11","4813.0","144.0","1436.0","410.0","3751.0","3563.0","62.0","229.0","453.0","3168.0"
"2010-01-12","5357.0","170.0","1653.0","427.0","3649.0","3397.0","67.0","249.0","404.0","3159.0"
"2010-01-13","5233.0","169.0","1590.0","455.0","3496.0","3461.0","55.0","215.0","506.0","3256.0"
"2010-01-14","5196.0","155.0","1578.0","510.0","3550.0","3361.0","49.0","234.0","490.0","3045.0"
"2010-01-15","4998.0","192.0","1390.0","406.0","3236.0","3196.0","59.0","230.0","399.0","3043.0"
"2010-01-16","3453.0","117.0","1010.0","319.0","2836.0","2824.0","51.0","191.0","338.0","2455.0"
"2010-01-17","4087.0","138.0","1215.0","333.0","3127.0","2886.0","198.0","205.0","339.0","2410.0"
"2010-01-18","5123.0","193.0","1340.0","471.0","3754.0","3436.0","72.0","263.0","473.0","3174.0"
"2010-01-19","6160.0","260.0","1784.0","711.0","4113.0","3911.0","83.0","280.0","793.0","3668.0"
"2010-01-20","5664.0","274.0","1661.0","538.0","3916.0","3799.0","112.0","270.0","541.0","3347.0"
"2010-01-21","5353.0","213.0","1568.0","525.0","3618.0","3723.0","104.0","272.0","535.0","4310.0"
"2010-01-22","4535.0","189.0","1430.0","472.0","3427.0","3470.0","63.0","248.0","489.0","4363.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","5968.0","187.0","1772.0","559.0","3895.0","3811.0","55.0","299.0","590.0","3294.0"
"2010-01-26","6112.0","333.0","1703.0","645.0","3664.0","3749.0","53.0","303.0","609.0","3421.0"
"2010-01-27","5579.0","162.0","1859.0","606.0","3643.0","3802.0","51.0","349.0","631.0","3216.0"
"2010-01-28","5320.0","206.0","1726.0","584.0","3849.0","3655.0","38.0","287.0","641.0","3503.0"
"2010-01-29","4589.0","174.0","1463.0","561.0","3349.0","3498.0","56.0","237.0","560.0","3479.0"
"2010-01-30","3724.0","193.0","1128.0","360.0","2988.0","3020.0","50.0","223.0","344.0","2889.0"
"2010-01-31","4377.0","158.0","1642.0","480.0","3247.0","3107.0","54.0","188.0","431.0","2726.0"
"2010-02-01","5857.0","239.0","1972.0","686.0","3728.0","3651.0","43.0","285.0","555.0","3457.0"
"2010-02-02","11558.0","163.0","2025.0","779.0","3948.0","3893.0","49.0","280.0","639.0","3567.0"
"2010-02-03","6183.0","228.0","2098.0","713.0","3954.0","3998.0","46.0","282.0","596.0","3538.0"
"2010-02-04","6512.0","258.0","2155.0","849.0","4200.0","4524.0","51.0","323.0","706.0","3826.0"
"2010-02-05","5055.0","183.0","1572.0","519.0","3957.0","3732.0","85.0","261.0","595.0","3544.0"
"2010-02-06","3946.0","130.0","1187.0","391.0","3057.0","3096.0","70.0","223.0","408.0","2725.0"
"2010-02-07","4400.0","139.0","1563.0","518.0","3429.0","3295.0","69.0","264.0","406.0","2743.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","6078.0","194.0","2134.0","779.0","4164.0","3847.0","71.0","400.0","713.0","3529.0"
"2010-02-10","5608.0","164.0","1865.0","765.0","4068.0","3760.0","46.0","355.0","639.0","3465.0"
"2010-02-11","5620.0","172.0","1806.0","726.0","3868.0","3649.0","61.0","341.0","610.0","3169.0"
"2010-02-12","4641.0","169.0","1462.0","575.0","3373.0","3330.0","68.0","308.0","460.0","2931.0"
"2010-02-13","3225.0","127.0","982.0","300.0","2857.0","2722.0","44.0","194.0","358.0","2394.0"
"2010-02-14","3338.0","116.0","1001.0","466.0","2928.0","2741.0","45.0","213.0","399.0","2323.0"
"2010-02-15","4805.0","166.0","1522.0","583.0","3702.0","3455.0","55.0","302.0","654.0","3214.0"
"2010-02-16","7745.0","178.0","1780.0","691.0","3984.0","3775.0","53.0","461.0","820.0","3174.0"
"2010-02-17","8604.0","223.0","1719.0","682.0","4046.0","3763.0","53.0","371.0","969.0","3347.0"
"2010-02-18","6023.0","222.0","1852.0","788.0","4206.0","3959.0","35.0","313.0","748.0","3371.0"
"2010-02-19","4615.0","150.0","1321.0","566.0","3217.0","3582.0","62.0","291.0","596.0","3058.0"
"2010-02-20","4066.0","125.0","1129.0","474.0","3144.0","3050.0","43.0","275.0","416.0","2527.0"
"2010-02-21","4855.0","159.0","1409.0","543.0","3670.0","3255.0","58.0","380.0","495.0","3062.0"
"2010-02-22","6715.0","266.0","1903.0","924.0","4443.0","4101.0","60.0","379.0","690.0","5154.0"
"2010-02-23","0.0","0.0","0.0","0.0","4329.0","0.0","46.0","410.0","0.0","0.0"
"2010-02-24","5924.0","188.0","1789.0","765.0","4010.0","3711.0","45.0","340.0","632.0","3620.0"
"2010-02-25","5796.0","144.0","1436.0","677.0","3397.0","3433.0","40.0","251.0","516.0","2837.0"
"2010-02-26","4722.0","145.0","1329.0","576.0","3547.0","3239.0","61.0","275.0","507.0","2729.0"
"2010-02-27","3989.0","116.0","983.0","362.0","3217.0","3130.0","47.0","186.0","390.0","2477.0"
"2010-02-28","4148.0","150.0","1130.0","493.0","3334.0","2933.0","47.0","245.0","498.0","2387.0"
"2010-03-01","5918.0","186.0","1607.0","620.0","3846.0","3447.0","56.0","336.0","582.0","3283.0"
"2010-03-02","5925.0","181.0","1843.0","764.0","4035.0","3676.0","63.0","375.0","698.0","3288.0"
"2010-03-03","5851.0","177.0","1639.0","684.0","3935.0","3817.0","57.0","373.0","592.0","3258.0"
"2010-03-04","5989.0","196.0","1792.0","762.0","4155.0","3987.0","49.0","422.0","637.0","3421.0"
"2010-03-05","5439.0","199.0","1491.0","625.0","3836.0","3618.0","53.0","303.0","531.0","3232.0"
"2010-03-06","3783.0","123.0","1020.0","389.0","3297.0","3096.0","44.0","251.0","424.0","2390.0"
"2010-03-07","4010.0","110.0","1306.0","494.0","3401.0","3211.0","51.0","266.0","487.0","2509.0"
"2010-03-08","5945.0","211.0","1612.0","701.0","4158.0","3940.0","64.0","374.0","612.0","3197.0"
"2010-03-09","5948.0","220.0","1751.0","696.0","4107.0","3911.0","53.0","321.0","667.0","3352.0"
"2010-03-10","5499.0","200.0","1591.0","816.0","3996.0","4008.0","58.0","360.0","611.0","3265.0"
"2010-03-11","5964.0","183.0","1612.0","757.0","3801.0","3608.0","61.0","428.0","580.0","3113.0"
"2010-03-12","5453.0","177.0","1456.0","638.0","3794.0","3759.0","59.0","314.0","551.0","3215.0"
"2010-03-13","3962.0","149.0","1167.0","443.0","3368.0","3410.0","69.0","286.0","409.0","5940.0"
"2010-03-14","4186.0","161.0","1175.0","566.0","3091.0","3188.0","57.0","285.0","454.0","2375.0"
"2010-03-15","5505.0","195.0","1433.0","653.0","3884.0","3838.0","65.0","379.0","591.0","3104.0"
"2010-03-16","5814.0","184.0","1623.0","760.0","3955.0","4049.0","53.0","359.0","589.0","3188.0"
"2010-03-17","5646.0","196.0","1578.0","679.0","3943.0","3798.0","78.0","386.0","613.0","3073.0"
"2010-03-18","5760.0","177.0","1638.0","635.0","3889.0","3764.0","64.0","372.0","597.0","3163.0"
"2010-03-19","7489.0","205.0","1278.0","540.0","3512.0","3608.0","782.0","445.0","524.0","3001.0"
"2010-03-20","4714.0","124.0","1046.0","428.0","3118.0","2994.0","56.0","399.0","421.0","2349.0"
"2010-03-21","7032.0","141.0","1208.0","505.0","3409.0","3274.0","53.0","319.0","495.0","2448.0"
"2010-03-22","5864.0","179.0","1503.0","802.0","3800.0","3789.0","55.0","386.0","682.0","3116.0"
"2010-03-23","5438.0","163.0","1579.0","666.0","3860.0","3648.0","57.0","359.0","560.0","5578.0"
"2010-03-24","5663.0","183.0","1604.0","658.0","3707.0","3730.0","58.0","309.0","632.0","4019.0"
"2010-03-25","5382.0","190.0","1665.0","564.0","3803.0","3754.0","59.0","316.0","507.0","3448.0"
"2010-03-26","4729.0","144.0","1366.0","634.0","3252.0","3281.0","67.0","312.0","520.0","3217.0"
"2010-03-27","3543.0","141.0","1061.0","352.0","3148.0","3078.0","72.0","234.0","360.0","2620.0"
"2010-03-28","3724.0","140.0","1200.0","449.0","3114.0","2942.0","64.0","273.0","378.0","2493.0"
"2010-03-29","5127.0","218.0","1457.0","571.0","3766.0","3561.0","67.0","347.0","592.0","3220.0"
"2010-03-30","5044.0","193.0","1853.0","596.0","3712.0","3608.0","63.0","380.0","546.0","3212.0"
"2010-03-31","4967.0","184.0","1578.0","575.0","3641.0","3732.0","69.0","320.0","545.0","3162.0"
"2010-04-01","4820.0","186.0","1304.0","525.0","3356.0","3406.0","76.0","271.0","525.0","3085.0"
"2010-04-02","3831.0","144.0","940.0","419.0","3198.0","3021.0","67.0","235.0","426.0","2630.0"
"2010-04-03","3118.0","100.0","1106.0","367.0","2881.0","2932.0","62.0","207.0","329.0","2492.0"
"2010-04-04","3562.0","106.0","1082.0","454.0","3032.0","3003.0","61.0","243.0","392.0","2453.0"
"2010-04-05","4651.0","150.0","1345.0","732.0","3391.0","3491.0","54.0","289.0","471.0","3051.0"
"2010-04-06","4790.0","177.0","1316.0","580.0","3588.0","3609.0","55.0","278.0","586.0","2919.0"
"2010-04-07","5003.0","180.0","1471.0","575.0","3581.0","3791.0","45.0","348.0","586.0","3730.0"
"2010-04-08","5043.0","183.0","1422.0","557.0","3558.0","3676.0","52.0","326.0","523.0","21847.0"
"2010-04-09","4610.0","153.0","1462.0","620.0","3371.0","3206.0","60.0","283.0","530.0","8808.0"
"2010-04-10","3508.0","107.0","997.0","388.0","2752.0","2923.0","48.0","266.0","367.0","3571.0"
"2010-04-11","3737.0","120.0","1125.0","511.0","3148.0","3125.0","45.0","298.0","417.0","3375.0"
"2010-04-12","5057.0","185.0","1578.0","618.0","3523.0","3828.0","48.0","380.0","492.0","3717.0"
"2010-04-13","5477.0","188.0","1688.0","701.0","3814.0","4143.0","62.0","404.0","640.0","3854.0"
"2010-04-14","5361.0","161.0","1703.0","606.0","3471.0","3779.0","45.0","369.0","552.0","3519.0"
"2010-04-15","6248.0","335.0","1604.0","721.0","3611.0","3969.0","63.0","411.0","633.0","3485.0"
"2010-04-16","5591.0","221.0","1529.0","664.0","3646.0","3879.0","62.0","316.0","594.0","3462.0"
"2010-04-17","3858.0","140.0","1172.0","515.0","3101.0","3380.0","82.0","286.0","456.0","2792.0"
"2010-04-18","4098.0","143.0","1280.0","516.0","3188.0","3155.0","69.0","298.0","467.0","2553.0"
"2010-04-19","6165.0","183.0","1695.0","758.0","3618.0","3849.0","48.0","388.0","766.0","3452.0"
"2010-04-20","6097.0","215.0","1755.0","632.0","3997.0","3673.0","69.0","362.0","694.0","3586.0"
"2010-04-21","5735.0","205.0","1926.0","653.0","3973.0","3811.0","68.0","426.0","619.0","3115.0"
"2010-04-22","11787.0","683.0","1911.0","717.0","3746.0","3646.0","48.0","510.0","619.0","3119.0"
"2010-04-23","5551.0","184.0","1545.0","557.0","3866.0","3737.0","62.0","470.0","603.0","3298.0"
"2010-04-24","4050.0","132.0","1063.0","414.0","3389.0","3321.0","73.0","305.0","469.0","2780.0"
"2010-04-25","5120.0","191.0","1460.0","558.0","3659.0","3277.0","52.0","375.0","568.0","2863.0"
"2010-04-26","6406.0","193.0","2017.0","835.0","4697.0","4050.0","72.0","487.0","712.0","3753.0"
"2010-04-27","6814.0","232.0","1976.0","862.0","4560.0","4351.0","69.0","504.0","720.0","3589.0"
"2010-04-28","6477.0","264.0","1945.0","746.0","4455.0","4075.0","71.0","485.0","713.0","3505.0"
"2010-04-29","6429.0","211.0","1798.0","847.0","4041.0","3866.0","78.0","390.0","654.0","3233.0"
"2010-04-30","5659.0","176.0","1705.0","622.0","3770.0","3592.0","81.0","436.0","629.0","3353.0"
"2010-05-01","4098.0","152.0","1166.0","459.0","3140.0","3001.0","65.0","267.0","425.0","2585.0"
"2010-05-02","4539.0","166.0","1396.0","535.0","3502.0","3103.0","64.0","365.0","542.0","2668.0"
"2010-05-03","6704.0","253.0","1895.0","776.0","4214.0","4278.0","67.0","466.0","634.0","3501.0"
"2010-05-04","6974.0","227.0","2032.0","727.0","4018.0","4005.0","96.0","517.0","639.0","3400.0"
"2010-05-05","6078.0","220.0","1866.0","654.0","3649.0","3630.0","138.0","427.0","605.0","3137.0"
"2010-05-06","6264.0","170.0","1970.0","675.0","3645.0","3793.0","873.0","443.0","607.0","3238.0"
"2010-05-07","5672.0","160.0","1606.0","692.0","3633.0","3658.0","1287.0","383.0","673.0","2932.0"
"2010-05-08","3894.0","99.0","1139.0","438.0","3029.0","2997.0","903.0","336.0","419.0","2391.0"
"2010-05-09","4079.0","104.0","1278.0","474.0","2813.0","3064.0","972.0","264.0","529.0","2668.0"
"2010-05-10","6434.0","224.0","1956.0","853.0","3767.0","3986.0","1398.0","423.0","700.0","3373.0"
"2010-05-11","6426.0","203.0","1846.0","700.0","3493.0","3638.0","1301.0","442.0","589.0","2992.0"
"2010-05-12","5911.0","219.0","1662.0","663.0","3438.0","3696.0","1084.0","349.0","588.0","3012.0"
"2010-05-13","5101.0","152.0","1244.0","594.0","2970.0","3151.0","1096.0","337.0","530.0","2419.0"
"2010-05-14","4698.0","134.0","1341.0","492.0","2935.0","3033.0","1413.0","342.0","511.0","2537.0"
"2010-05-15","3952.0","113.0","1142.0","419.0","2845.0","3074.0","1344.0","306.0","430.0","2552.0"
"2010-05-16","4136.0","130.0","1166.0","466.0","2952.0","2988.0","1366.0","309.0","479.0","2455.0"
"2010-05-17","5633.0","174.0","1527.0","561.0","3407.0","3389.0","1552.0","353.0","557.0","2865.0"
"2010-05-18","4701.0","158.0","1314.0","495.0","2821.0","3024.0","1279.0","326.0","486.0","2610.0"
