"date","Measles","Sneeze","Measles_virus","Measles_vaccine","MMR_vaccine","MMRV_vaccine","Fever","Rhinitis","Conjunctivitis","Airborne_disease"
"2010-01-01","1386.0","670.0","13.0","15.0","424.0","31.0","2258.0","868.0","2489.0","23.0"
"2010-01-02","1561.0","779.0","8.0","19.0","516.0","24.0","2734.0","946.0","2761.0","14.0"
"2010-01-03","1657.0","761.0","26.0","15.0","513.0","26.0","2724.0","981.0","2595.0","29.0"
"2010-01-04","2003.0","798.0","26.0","29.0","882.0","45.0","2966.0","1281.0","2938.0","23.0"
"2010-01-05","2008.0","880.0","21.0","19.0","994.0","39.0","3299.0","1259.0","3211.0","24.0"
"2010-01-06","2377.0","944.0","30.0","20.0","1122.0","56.0","3491.0","1419.0","3739.0","24.0"
"2010-01-07","2498.0","999.0","41.0","16.0","1142.0","46.0","3679.0","1495.0","3901.0","55.0"
"2010-01-08","2152.0","971.0","21.0","12.0","903.0","34.0","3315.0","1232.0","3311.0","24.0"
"2010-01-09","1821.0","825.0","27.0","23.0","594.0","40.0","3087.0","1127.0","3127.0","23.0"
"2010-01-10","1975.0","826.0","29.0","18.0","601.0","18.0","2837.0","1085.0","2916.0","18.0"
"2010-01-11","2747.0","1001.0","29.0","28.0","1272.0","46.0","3751.0","1493.0","3656.0","49.0"
"2010-01-12","2693.0","1013.0","27.0","14.0","1290.0","50.0","3649.0","1800.0","3638.0","21.0"
"2010-01-13","2532.0","977.0","30.0","23.0","1163.0","65.0","3496.0","1465.0","3224.0","31.0"
"2010-01-14","2732.0","913.0","30.0","23.0","1250.0","64.0","3550.0","1465.0","3257.0","40.0"
"2010-01-15","2563.0","960.0","40.0","22.0","1212.0","48.0","3236.0","1327.0","3253.0","20.0"
"2010-01-16","2026.0","786.0","44.0","19.0","699.0","37.0","2836.0","985.0","2951.0","18.0"
"2010-01-17","2146.0","895.0","49.0","18.0","742.0","32.0","3127.0","1088.0","3042.0","46.0"
"2010-01-18","2756.0","988.0","25.0","15.0","1112.0","43.0","3754.0","1484.0","3753.0","53.0"
"2010-01-19","2865.0","967.0","39.0","22.0","1446.0","46.0","4113.0","1601.0","3890.0","47.0"
"2010-01-20","2736.0","915.0","38.0","17.0","1359.0","48.0","3916.0","1657.0","3507.0","37.0"
"2010-01-21","2807.0","989.0","32.0","16.0","1260.0","65.0","3618.0","1598.0","3520.0","49.0"
"2010-01-22","2548.0","968.0","43.0","22.0","1191.0","47.0","3427.0","1426.0","3676.0","48.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","3010.0","920.0","36.0","23.0","1367.0","80.0","3895.0","1577.0","3795.0","38.0"
"2010-01-26","2721.0","940.0","24.0","37.0","1250.0","58.0","3664.0","1554.0","3832.0","41.0"
"2010-01-27","2783.0","989.0","32.0","27.0","1391.0","57.0","3643.0","1542.0","3955.0","46.0"
"2010-01-28","3131.0","949.0","33.0","27.0","2290.0","72.0","3849.0","1543.0","3656.0","32.0"
"2010-01-29","2661.0","952.0","20.0","20.0","1883.0","57.0","3349.0","1541.0","3345.0","42.0"
"2010-01-30","2034.0","823.0","31.0","18.0","853.0","44.0","2988.0","1108.0","3206.0","33.0"
"2010-01-31","3809.0","876.0","18.0","28.0","1019.0","36.0","3247.0","1249.0","3423.0","19.0"
"2010-02-01","3361.0","1012.0","25.0","33.0","1486.0","56.0","3728.0","1579.0","4096.0","41.0"
"2010-02-02","3656.0","1013.0","32.0","39.0","3946.0","95.0","3948.0","1577.0","4115.0","54.0"
"2010-02-03","4591.0","1048.0","31.0","30.0","11786.0","181.0","3954.0","1587.0","3714.0","54.0"
"2010-02-04","3586.0","1114.0","39.0","38.0","6350.0","119.0","4200.0","1610.0","4043.0","53.0"
"2010-02-05","3032.0","935.0","47.0","34.0","3368.0","110.0","3957.0","1512.0","3643.0","45.0"
"2010-02-06","2553.0","832.0","43.0","33.0","2164.0","70.0","3057.0","1173.0","3034.0","66.0"
"2010-02-07","2906.0","856.0","45.0","30.0","2339.0","66.0","3429.0","1325.0","3169.0","55.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","3097.0","994.0","46.0","27.0","1646.0","81.0","4164.0","1619.0","4028.0","69.0"
"2010-02-10","2991.0","927.0","24.0","27.0","1561.0","69.0","4068.0","1570.0","3704.0","73.0"
"2010-02-11","3134.0","840.0","38.0","22.0","1340.0","55.0","3868.0","1525.0","3534.0","53.0"
"2010-02-12","2631.0","896.0","26.0","12.0","1280.0","54.0","3373.0","1516.0","3412.0","37.0"
"2010-02-13","1889.0","779.0","26.0","16.0","725.0","31.0","2857.0","1004.0","2876.0","49.0"
