"date","Meningococcal_disease","Saliva","Neisseria_meningitidis","Meningitis","Meningococcal_vaccine","Common_cold","Gram-negative_bacteria","Disseminated_intravascular_coagulation","Sepsis","Rash"
"2010-01-01","164.0","615.0","172.0","3165.0","16.0","2234.0","446.0","581.0","1655.0","1812.0"
"2010-01-02","178.0","754.0","215.0","3593.0","18.0","2551.0","554.0","583.0","1908.0","2070.0"
"2010-01-03","207.0","750.0","207.0","3785.0","29.0","2739.0","550.0","672.0","1944.0","2028.0"
"2010-01-04","245.0","816.0","297.0","4307.0","43.0","3313.0","769.0","772.0","2371.0","2162.0"
"2010-01-05","305.0","872.0","288.0","4871.0","48.0","3422.0","918.0","1251.0","2705.0","2193.0"
"2010-01-06","315.0","977.0","363.0","4721.0","41.0","3667.0","8243.0","1285.0","3640.0","2478.0"
"2010-01-07","339.0","1022.0","423.0","5167.0","65.0","4029.0","1321.0","1342.0","4273.0","2587.0"
"2010-01-08","256.0","1012.0","409.0","4777.0","56.0","3351.0","1181.0","1181.0","2880.0","2228.0"
"2010-01-09","287.0","942.0","300.0","3953.0","77.0","2772.0","792.0","1147.0","2371.0","2027.0"
"2010-01-10","192.0","899.0","324.0","3569.0","23.0","2577.0","866.0","938.0","2157.0","2084.0"
"2010-01-11","338.0","1083.0","430.0","5083.0","53.0","3314.0","1471.0","1185.0","3168.0","2490.0"
"2010-01-12","323.0","1151.0","376.0","5212.0","65.0","3294.0","1430.0","1106.0","3159.0","2407.0"
"2010-01-13","297.0","1060.0","446.0","5106.0","62.0","3150.0","1443.0","1150.0","3256.0","2193.0"
"2010-01-14","302.0","961.0","417.0","5322.0","64.0","3001.0","1411.0","1233.0","3045.0","2054.0"
"2010-01-15","327.0","1052.0","358.0","5090.0","74.0","2814.0","1429.0","1180.0","3043.0","2318.0"
"2010-01-16","274.0","900.0","295.0","3846.0","42.0","2180.0","901.0","918.0","2455.0","1983.0"
"2010-01-17","273.0","941.0","399.0","4043.0","43.0","2250.0","1034.0","1008.0","2410.0","2156.0"
"2010-01-18","402.0","1241.0","372.0","5000.0","54.0","2909.0","1409.0","1261.0","3174.0","2511.0"
"2010-01-19","359.0","1244.0","452.0","5693.0","62.0","3227.0","1609.0","1412.0","3668.0","2379.0"
"2010-01-20","323.0","1134.0","430.0","5215.0","55.0","2889.0","1604.0","1357.0","3347.0","2523.0"
