"date","Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2010-01-01","532.0","129.0","2234.0","2258.0","69.0","23.0","10.0","34.0","757.0","113.0"
"2010-01-02","615.0","200.0","2551.0","2734.0","102.0","14.0","5.0","33.0","719.0","126.0"
"2010-01-03","684.0","247.0","2739.0","2724.0","99.0","29.0","9.0","50.0","738.0","133.0"
"2010-01-04","848.0","255.0","3313.0","2966.0","141.0","23.0","11.0","60.0","777.0","168.0"
"2010-01-05","929.0","343.0","3422.0","3299.0","171.0","24.0","19.0","65.0","957.0","229.0"
"2010-01-06","1303.0","336.0","3667.0","3491.0","183.0","24.0","15.0","63.0","1003.0","202.0"
"2010-01-07","1484.0","346.0","4029.0","3679.0","225.0","55.0","22.0","79.0","1129.0","261.0"
"2010-01-08","1302.0","302.0","3351.0","3315.0","207.0","24.0","26.0","72.0","926.0","255.0"
"2010-01-09","831.0","381.0","2772.0","3087.0","112.0","23.0","18.0","44.0","784.0","167.0"
"2010-01-10","781.0","236.0","2577.0","2837.0","154.0","18.0","11.0","60.0","794.0","159.0"
"2010-01-11","1311.0","341.0","3314.0","3751.0","193.0","49.0","24.0","78.0","1056.0","257.0"
"2010-01-12","1146.0","461.0","3294.0","3649.0","230.0","21.0","11.0","75.0","1020.0","280.0"
"2010-01-13","1070.0","351.0","3150.0","3496.0","215.0","31.0","19.0","70.0","1028.0","246.0"
"2010-01-14","1072.0","381.0","3001.0","3550.0","205.0","40.0","24.0","61.0","1201.0","292.0"
"2010-01-15","1055.0","374.0","2814.0","3236.0","207.0","20.0","27.0","69.0","1037.0","260.0"
"2010-01-16","772.0","234.0","2180.0","2836.0","120.0","18.0","8.0","70.0","897.0","227.0"
"2010-01-17","763.0","233.0","2250.0","3127.0","131.0","46.0","13.0","62.0","926.0","223.0"
"2010-01-18","1063.0","338.0","2909.0","3754.0","211.0","53.0","17.0","70.0","1101.0","257.0"
"2010-01-19","1287.0","426.0","3227.0","4113.0","229.0","47.0","18.0","75.0","1203.0","313.0"
"2010-01-20","1129.0","389.0","2889.0","3916.0","261.0","37.0","16.0","79.0","1080.0","294.0"
"2010-01-21","1204.0","456.0","2880.0","3618.0","214.0","49.0","16.0","72.0","1229.0","329.0"
"2010-01-22","1079.0","382.0","2886.0","3427.0","231.0","48.0","19.0","66.0","1068.0","274.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","1174.0","355.0","2925.0","3895.0","243.0","38.0","17.0","96.0","1192.0","294.0"
"2010-01-26","1151.0","442.0","2989.0","3664.0","266.0","41.0","17.0","89.0","1125.0","308.0"
"2010-01-27","1141.0","375.0","3028.0","3643.0","264.0","46.0","21.0","84.0","1102.0","313.0"
"2010-01-28","1173.0","452.0","3049.0","3849.0","271.0","32.0","16.0","76.0","1158.0","304.0"
"2010-01-29","1072.0","323.0","2697.0","3349.0","224.0","42.0","12.0","80.0","979.0","292.0"
"2010-01-30","1001.0","255.0","2289.0","2988.0","167.0","33.0","12.0","57.0","857.0","218.0"
"2010-01-31","967.0","310.0","2770.0","3247.0","166.0","19.0","16.0","73.0","993.0","207.0"
"2010-02-01","1257.0","410.0","3295.0","3728.0","245.0","41.0","13.0","82.0","1136.0","289.0"
"2010-02-02","1315.0","493.0","3436.0","3948.0","315.0","54.0","19.0","95.0","1344.0","360.0"
"2010-02-03","1430.0","529.0","3229.0","3954.0","304.0","54.0","39.0","102.0","1156.0","307.0"
"2010-02-04","1501.0","533.0","3392.0","4200.0","312.0","53.0","23.0","126.0","1321.0","366.0"
"2010-02-05","1452.0","404.0","2914.0","3957.0","312.0","45.0","43.0","94.0","1112.0","354.0"
"2010-02-06","962.0","299.0","2493.0","3057.0","187.0","66.0","34.0","80.0","947.0","272.0"
"2010-02-07","934.0","275.0","2941.0","3429.0","208.0","55.0","25.0","67.0","1045.0","263.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","1215.0","476.0","3141.0","4164.0","357.0","69.0","31.0","106.0","1144.0","336.0"
"2010-02-10","1202.0","509.0","3153.0","4068.0","259.0","73.0","17.0","134.0","1215.0","324.0"
"2010-02-11","1058.0","446.0","3158.0","3868.0","316.0","53.0","26.0","96.0","1088.0","318.0"
"2010-02-12","1022.0","339.0","2782.0","3373.0","218.0","37.0","15.0","109.0","1172.0","280.0"
"2010-02-13","756.0","264.0","2254.0","2857.0","150.0","49.0","13.0","56.0","820.0","232.0"
"2010-02-14","813.0","257.0","2279.0","2928.0","138.0","44.0","8.0","69.0","863.0","191.0"
"2010-02-15","1113.0","352.0","3039.0","3702.0","209.0","32.0","17.0","94.0","1191.0","259.0"
"2010-02-16","1147.0","430.0","2906.0","3984.0","237.0","39.0","17.0","121.0","1199.0","296.0"
"2010-02-17","1326.0","480.0","3192.0","4046.0","270.0","39.0","20.0","88.0","1172.0","307.0"
"2010-02-18","1289.0","449.0","3380.0","4206.0","289.0","51.0","17.0","110.0","1216.0","334.0"
"2010-02-19","1027.0","407.0","2717.0","3217.0","214.0","36.0","14.0","80.0","1049.0","269.0"
"2010-02-20","892.0","279.0","2346.0","3144.0","187.0","54.0","13.0","87.0","911.0","217.0"
"2010-02-21","936.0","423.0","2625.0","3670.0","200.0","49.0","25.0","89.0","961.0","231.0"
"2010-02-22","1466.0","630.0","3633.0","4443.0","310.0","54.0","22.0","126.0","1313.0","346.0"
"2010-02-23","0.0","0.0","3343.0","4329.0","281.0","52.0","0.0","0.0","0.0","0.0"
"2010-02-24","1210.0","461.0","3151.0","4010.0","265.0","57.0","20.0","141.0","1130.0","337.0"
"2010-02-25","1076.0","375.0","2755.0","3397.0","221.0","32.0","26.0","104.0","931.0","266.0"
"2010-02-26","991.0","393.0","2560.0","3547.0","255.0","44.0","10.0","145.0","944.0","293.0"
"2010-02-27","855.0","289.0","2448.0","3217.0","184.0","21.0","20.0","78.0","873.0","213.0"
"2010-02-28","847.0","369.0","2293.0","3334.0","220.0","32.0","12.0","87.0","866.0","189.0"
"2010-03-01","1080.0","411.0","2825.0","3846.0","241.0","36.0","17.0","112.0","1094.0","274.0"
"2010-03-02","1155.0","496.0","3056.0","4035.0","253.0","31.0","11.0","120.0","1131.0","310.0"
"2010-03-03","1183.0","444.0","2946.0","3935.0","249.0","55.0","15.0","114.0","1112.0","322.0"
"2010-03-04","1273.0","445.0","2996.0","4155.0","318.0","47.0","16.0","112.0","1152.0","269.0"
"2010-03-05","1144.0","426.0","2976.0","3836.0","309.0","45.0","24.0","109.0","1159.0","356.0"
"2010-03-06","893.0","236.0","2175.0","3297.0","180.0","15.0","17.0","67.0","929.0","201.0"
"2010-03-07","922.0","301.0","2423.0","3401.0","211.0","58.0","10.0","88.0","962.0","215.0"
"2010-03-08","1167.0","411.0","2832.0","4158.0","278.0","44.0","17.0","95.0","1071.0","264.0"
"2010-03-09","1324.0","402.0","3049.0","4107.0","279.0","46.0","14.0","120.0","1094.0","302.0"
"2010-03-10","1184.0","420.0","2880.0","3996.0","317.0","29.0","24.0","90.0","1007.0","385.0"
"2010-03-11","1160.0","476.0","2730.0","3801.0","320.0","34.0","26.0","106.0","1090.0","319.0"
"2010-03-12","1064.0","342.0","2622.0","3794.0","300.0","35.0","26.0","88.0","1002.0","359.0"
"2010-03-13","845.0","306.0","2324.0","3368.0","178.0","20.0","28.0","74.0","965.0","283.0"
"2010-03-14","722.0","312.0","2186.0","3091.0","202.0","46.0","40.0","71.0","843.0","229.0"
"2010-03-15","921.0","353.0","2598.0","3884.0","285.0","46.0","24.0","95.0","1149.0","284.0"
"2010-03-16","1066.0","415.0","2790.0","3955.0","356.0","48.0","21.0","108.0","1140.0","363.0"
"2010-03-17","1226.0","467.0","2685.0","3943.0","264.0","42.0","16.0","96.0","1143.0","310.0"
"2010-03-18","1184.0","439.0","2510.0","3889.0","318.0","40.0","19.0","106.0","1228.0","315.0"
"2010-03-19","1015.0","420.0","2358.0","3512.0","279.0","69.0","31.0","98.0","1010.0","314.0"
"2010-03-20","674.0","256.0","1918.0","3118.0","194.0","38.0","22.0","75.0","927.0","230.0"
"2010-03-21","795.0","267.0","1983.0","3409.0","202.0","34.0","16.0","102.0","928.0","212.0"
"2010-03-22","969.0","497.0","2596.0","3800.0","268.0","37.0","20.0","110.0","1155.0","285.0"
"2010-03-23","1179.0","511.0","2593.0","3860.0","265.0","53.0","25.0","98.0","1075.0","290.0"
"2010-03-24","1131.0","519.0","2574.0","3707.0","252.0","43.0","30.0","105.0","1144.0","315.0"
"2010-03-25","1079.0","362.0","2281.0","3803.0","256.0","47.0","26.0","123.0","1124.0","289.0"
"2010-03-26","1046.0","373.0","2210.0","3252.0","226.0","31.0","25.0","101.0","1015.0","288.0"
"2010-03-27","815.0","294.0","1822.0","3148.0","193.0","39.0","17.0","77.0","874.0","206.0"
"2010-03-28","769.0","334.0","1803.0","3114.0","178.0","40.0","23.0","71.0","905.0","177.0"
"2010-03-29","1155.0","465.0","2420.0","3766.0","296.0","66.0","18.0","102.0","1125.0","247.0"
"2010-03-30","1122.0","513.0","2338.0","3712.0","314.0","34.0","20.0","108.0","1210.0","311.0"
"2010-03-31","1008.0","412.0","2404.0","3641.0","335.0","25.0","24.0","103.0","1118.0","304.0"
"2010-04-01","966.0","400.0","2128.0","3356.0","282.0","23.0","20.0","100.0","1010.0","272.0"
"2010-04-02","827.0","263.0","1750.0","3198.0","256.0","31.0","12.0","82.0","980.0","244.0"
"2010-04-03","739.0","305.0","1638.0","2881.0","184.0","28.0","18.0","66.0","805.0","196.0"
"2010-04-04","700.0","298.0","1848.0","3032.0","129.0","19.0","24.0","76.0","892.0","191.0"
"2010-04-05","786.0","362.0","1899.0","3391.0","195.0","36.0","16.0","110.0","1081.0","229.0"
"2010-04-06","1023.0","422.0","1997.0","3588.0","275.0","66.0","29.0","100.0","1033.0","292.0"
"2010-04-07","1039.0","420.0","3127.0","3581.0","253.0","60.0","19.0","110.0","1159.0","309.0"
"2010-04-08","1013.0","518.0","2192.0","3558.0","298.0","34.0","19.0","106.0","1115.0","310.0"
"2010-04-09","962.0","536.0","1885.0","3371.0","276.0","50.0","17.0","87.0","975.0","297.0"
"2010-04-10","795.0","289.0","1639.0","2752.0","147.0","43.0","17.0","74.0","808.0","220.0"
"2010-04-11","804.0","343.0","1795.0","3148.0","212.0","45.0","30.0","76.0","855.0","212.0"
"2010-04-12","1007.0","511.0","2145.0","3523.0","339.0","51.0","16.0","111.0","1266.0","273.0"
"2010-04-13","1142.0","894.0","2402.0","3814.0","313.0","59.0","23.0","106.0","1085.0","338.0"
"2010-04-14","1238.0","648.0","2215.0","3471.0","330.0","42.0","24.0","85.0","1050.0","310.0"
"2010-04-15","1318.0","550.0","2241.0","3611.0","349.0","40.0","28.0","100.0","1092.0","358.0"
"2010-04-16","1210.0","487.0","2181.0","3646.0","290.0","70.0","24.0","122.0","1160.0","283.0"
"2010-04-17","946.0","335.0","1704.0","3101.0","219.0","67.0","27.0","83.0","948.0","258.0"
"2010-04-18","857.0","376.0","1787.0","3188.0","250.0","43.0","27.0","64.0","939.0","208.0"
"2010-04-19","1299.0","536.0","2282.0","3618.0","323.0","67.0","31.0","115.0","1147.0","273.0"
"2010-04-20","1352.0","521.0","2194.0","3997.0","329.0","30.0","32.0","125.0","1066.0","263.0"
"2010-04-21","1377.0","550.0","2174.0","3973.0","309.0","62.0","28.0","90.0","1215.0","282.0"
"2010-04-22","1277.0","536.0","2026.0","3746.0","289.0","74.0","22.0","110.0","1042.0","267.0"
"2010-04-23","1474.0","537.0","2204.0","3866.0","299.0","57.0","24.0","116.0","1120.0","264.0"
"2010-04-24","1126.0","416.0","1836.0","3389.0","268.0","83.0","21.0","69.0","930.0","259.0"
"2010-04-25","922.0","379.0","1854.0","3659.0","246.0","45.0","27.0","87.0","999.0","234.0"
"2010-04-26","1285.0","567.0","2357.0","4697.0","343.0","65.0","33.0","107.0","1274.0","351.0"
"2010-04-27","1355.0","567.0","2399.0","4560.0","394.0","93.0","52.0","108.0","1222.0","355.0"
"2010-04-28","1785.0","531.0","2323.0","4455.0","348.0","44.0","37.0","125.0","1170.0","342.0"
"2010-04-29","1503.0","509.0","2285.0","4041.0","336.0","55.0","25.0","118.0","1213.0","351.0"
"2010-04-30","1313.0","464.0","2157.0","3770.0","314.0","51.0","32.0","94.0","1129.0","260.0"
"2010-05-01","968.0","348.0","1739.0","3140.0","215.0","24.0","26.0","84.0","879.0","197.0"
"2010-05-02","1043.0","367.0","1639.0","3502.0","242.0","50.0","20.0","104.0","988.0","202.0"
"2010-05-03","1465.0","510.0","2291.0","4214.0","331.0","52.0","40.0","101.0","1245.0","298.0"
"2010-05-04","1562.0","573.0","2484.0","4018.0","393.0","73.0","39.0","115.0","1425.0","312.0"
"2010-05-05","1373.0","535.0","2287.0","3649.0","327.0","44.0","36.0","104.0","1199.0","351.0"
"2010-05-06","1319.0","543.0","2206.0","3645.0","396.0","49.0","22.0","103.0","1160.0","309.0"
"2010-05-07","1307.0","440.0","2048.0","3633.0","302.0","45.0","31.0","85.0","1138.0","291.0"
"2010-05-08","999.0","324.0","1699.0","3029.0","244.0","41.0","26.0","84.0","864.0","222.0"
"2010-05-09","949.0","364.0","1759.0","2813.0","230.0","38.0","23.0","65.0","931.0","198.0"
"2010-05-10","1433.0","504.0","2633.0","3767.0","351.0","69.0","38.0","104.0","1301.0","305.0"
"2010-05-11","1506.0","468.0","2213.0","3493.0","311.0","49.0","23.0","108.0","1110.0","322.0"
"2010-05-12","1545.0","511.0","2388.0","3438.0","303.0","62.0","29.0","102.0","1181.0","309.0"
"2010-05-13","1137.0","373.0","1950.0","2970.0","207.0","34.0","17.0","88.0","953.0","244.0"
"2010-05-14","1224.0","346.0","1962.0","2935.0","235.0","29.0","17.0","79.0","1041.0","296.0"
"2010-05-15","1082.0","267.0","1724.0","2845.0","207.0","38.0","23.0","91.0","1006.0","188.0"
"2010-05-16","970.0","321.0","1869.0","2952.0","180.0","39.0","21.0","82.0","1060.0","176.0"
"2010-05-17","1396.0","395.0","2297.0","3407.0","228.0","51.0","31.0","92.0","1165.0","262.0"
"2010-05-18","1189.0","313.0","1884.0","2821.0","209.0","51.0","19.0","71.0","1057.0","220.0"
"2010-05-19","1276.0","357.0","1852.0","2749.0","207.0","28.0","23.0","66.0","969.0","257.0"
"2010-05-20","1458.0","444.0","2047.0","3403.0","264.0","44.0","26.0","86.0","1283.0","286.0"
"2010-05-21","1544.0","343.0","2008.0","3153.0","212.0","53.0","24.0","77.0","1060.0","262.0"
"2010-05-22","1156.0","284.0","1697.0","2963.0","212.0","38.0","54.0","80.0","990.0","223.0"
